Question	Animal cells obtain energy by	question
Answer	absorbing nutrients.	answer
0	a cell absorbs nutrients	gold
1	to obtain means to get	nongold
2	to gain means to obtain	nongold
3	taking in something means receiving; absorbing; getting something	nongold
4	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
5	absorbing is similar to obtaining	gold
6	all cells require energy	nongold
7	nutrients are a source of energy for living things	gold
8	all cells take in energy	nongold
9	a food contains nutrients for living things	nongold
10	obtain is similar to receive	nongold
11	an animal cell is a kind of cell	nongold
12	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
13	receive means get	nongold
14	food is a source of energy for animals; plants	nongold
15	if something transfers energy to something else then that something else absorbs that energy	nongold
16	the ability to access; to acquire; to find resources has a positive impact on an organism's survival; health	nongold
17	an animal is a kind of living thing	gold
18	an animal is a kind of organism	nongold
19	all cells perform cellular respiration	nongold
20	an animal; living thing requires nutrients for survival	nongold
21	taking in something means acquiring that something	nongold
22	take in means absorb	nongold
23	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
24	cellular respiration is cellular digestion	nongold
25	cellular energy is a kind of chemical energy	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	cellular respiration is a source of energy for cell activities	nongold
28	an animal needs to eat food for nutrients	nongold
29	if something gains something from something else then that something else is a source of that something	nongold
30	carbohydrates are a vehicle for storing;transporting energy	nongold
31	if an object is a source of something for something else then that something else can obtain that something from that object	gold
32	a living thing is made of cells	nongold
33	carbohydrates are used for storing;transporting energy	nongold
34	nutrients are a kind of substance	nongold
35	a plant cell is a kind of cell	nongold
36	an organism is a living thing	nongold
37	food is a kind of chemical energy	nongold
38	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
39	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
40	a plant is made of plant cells	nongold
41	carbohydrates store chemical energy	nongold
42	an organism requires energy for growth; repair	nongold
43	oxygen; glucose is used for providing energy to cells by mitochondrion	nongold
44	green plants are a kind of producer	nongold
45	solar energy is a kind of energy	nongold
46	food contains carbohydrates	nongold
47	living things all require energy for survival	nongold
48	to depend on; to rely on; to need means to require	nongold
49	a mammal is a kind of animal	nongold
50	if something is passed down to something else then that something else receives that something	nongold
51	absorption is a kind of process	nongold
52	to absorb means to capture	nongold
53	resources sometimes are used for energy	nongold
54	a plant; living thing requires food for survival	nongold
55	a human cell is a kind of cell	nongold
56	transferring is similar to giving	nongold
57	living things require respiration to use energy	nongold
58	collecting is similar to absorbing	nongold
59	absorbing is a kind of function	nongold
60	if something absorbs something else then that something will contain that something else	nongold
61	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
62	chemical energy is a kind of energy	nongold
63	photosynthesis stores; captures energy	nongold
64	a plant is a kind of organism	nongold
65	cellular respiration is a kind of process	nongold
66	food is a kind of substance	nongold
67	a plant is a kind of living thing	nongold
68	digestion is when food is absorbed into the blood stream	nongold
69	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
70	a producer is a source of sugar; food energy in an ecosystem	nongold
71	a human is a kind of animal	nongold
72	food is what an animal eats	nongold
73	the Earth absorbs more energy than it loses	nongold
74	absorption is a kind of event	nongold
75	In the cellular respiration process heat is a by-product in animals	nongold
76	a producer is a kind of living thing	nongold
77	energy flows in an ecosystem through food chains	nongold
78	a protozoan is a kind of animal	nongold
79	if something transfers something else then that something is a source of something else	nongold
80	sound is a kind of energy	nongold
81	if food is not immediately used by the body for energy then that food will be stored for future use	nongold
82	to eat means to consume food	nongold
83	a single-cell organism cannot specialize	nongold
84	respiration releases energy	nongold
85	can be means able to be	nongold
86	a single-celled organism is a kind of living thing	nongold
87	animals are a part of the biological kingdom Animalia	nongold
88	absorbing something harmful has a negative impact on a thing	nongold
89	if something generates energy for something else then that something powers that something else	nongold
90	a body cell means a somatic cell	nongold
91	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
92	basic life functions occur in the cells of organisms	nongold
93	nitrogen is a kind of nutrient for plant growth	nongold
94	a source of something increases the amount of that something	nongold
95	a worm is a kind of animal	nongold
96	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
97	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
98	a single-celled organism is a kind of organism	nongold
99	transferring is similar to adding	nongold
