Question	During sexual reproduction, a sperm cell fertilizes an egg cell to form a fertilized egg. The fertilized egg then develops into a new organism. Which statement describes the primary advantage of sexual reproduction over asexual reproduction?	question
Answer	Sexual reproduction results in genetic variation in offspring.	answer
0	fertilization is when an egg cell becomes fertilized	nongold
1	fertilization is a stage in the sexual reproduction process	nongold
2	asexual reproduction is not a source of genetic variation in offspring	gold
3	fertilization is not a stage in the asexual reproduction process	nongold
4	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	gold
5	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	gold
6	fertilization is a kind of process	nongold
7	a fertilized egg cell is a source of an embryo by dividing	nongold
8	a sperm cell is a kind of  sex cell	nongold
9	advantage has a positive impact on something	gold
10	an asexually produced offspring is genetically identical to its parent	nongold
11	an egg cell is a kind of sex cell	nongold
12	reproduction produces; produce offspring	nongold
13	a fertilized egg cell is a kind of somatic cell	nongold
14	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
15	the reproductive system produces sperm; egg cells	nongold
16	to cause means to result in	gold
17	a disadvantage is  a negative impact	nongold
18	sexual reproduction is a kind of reproduction	nongold
19	sexual reproduction increases genetic diversity	nongold
20	one parent is the source of 50% of the genes in a fertilized egg through sexual reproduction	nongold
21	an animal requires a mate to fertilize an egg	nongold
22	in sexual reproduction the egg is a vehicle for the genes from the mother to the offspring	nongold
23	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
24	sexual reproduction in animals is when egg; sperm join together	nongold
25	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
26	genetic variation is similar to trait variation	nongold
27	to reproduce means to have; to produce offspring	nongold
28	in sexual reproduction sperm is a vehicle for the genes from the father to the offspring	nongold
29	to impact means to affect	nongold
30	develop is similar to form	nongold
31	male animals require sperm cells to reproduce	nongold
32	variation means change	nongold
33	animals require fertilization to reproduce	nongold
34	reproduction is a kind of process	nongold
35	to produce means to result in	nongold
36	a positive impact is  a benefit	nongold
37	an organism is a living thing	nongold
38	each sex cell provides half the number of chromosomes in a fertilized egg through sexual reproduction	nongold
39	an adaptation is an advantage	nongold
40	if a living thing requires something then that something has a positive impact on that living thing	nongold
41	some animals have offspring by laying eggs	nongold
42	reproduction is a stage in the life cycle process	nongold
43	children; young is synonymous with offspring	nongold
44	an increase is the opposite of a decrease	nongold
45	negative impact is the opposite of positive impact	nongold
46	to be made of something means to be formed of that something	nongold
47	parents produce offspring	nongold
48	if an animal hatches from an egg then that animal is born	nongold
49	impact means effect	nongold
50	result means outcome	nongold
51	live birth means developing inside the mother instead of an egg	nongold
52	a mother births offspring	nongold
53	an egg is a kind of object	nongold
54	if something causes a process then that something is required for that process	nongold
55	An example of reproduction is laying eggs	nongold
56	having a positive impact on reproduction increases the chance of reproduction	nongold
57	reproduction increases the number; population of a living thing	nongold
58	offspring receives half of the genes from each parent	nongold
59	to change into means to form	nongold
60	high is similar to increase	nongold
61	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
62	gamete development is a stage in the sexual reproduction process	nongold
63	causing is a kind of affecting	nongold
64	a factor impacts something	nongold
65	a human sperm cell has 23; twenty-three chromosomes	nongold
66	an egg requires warmth to survive; hatch; develop	nongold
67	to change means to have an effect	nongold
68	to vary means to change	nongold
69	to vary means to differ	nongold
70	a living thing is made of cells	nongold
71	to change means to become different	nongold
72	to cause means to have an effect	nongold
73	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
74	reproduction is when an organism passes genetic information from itself to its offspring	nongold
75	harming something has a  negative impact on; effect on that something	nongold
76	helping something has a  positive impact on that something	nongold
77	if something causes an increase in something else then that something produces that something else	nongold
78	to be used for something means to be required by that something	nongold
79	if two organisms produce fertile offspring together then those two organisms belong to the same species	nongold
80	desirable result means positive impact	nongold
81	different organisms reproduce differently	nongold
82	low is similar to decrease	nongold
83	if something is required for a process then that something positively impacts that process	nongold
84	solution is similar to a positive impact	nongold
85	An example of growth is an organism developing a new part	nongold
86	to cause the formation of means to form	nongold
87	an increase is a kind of change	nongold
88	to be good for means to have a positive impact on	nongold
89	to make means to form	nongold
90	an animal is a kind of living thing	nongold
91	evolution is a kind of process	nongold
92	developing means growing	nongold
93	newly hatched is similar to just born	nongold
94	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
95	the properties of something are used for describing that something	nongold
96	genes are able to determine the inherited characteristics of a living thing	nongold
97	a positive impact is a helpful effect	nongold
98	both means two	nongold
99	an animal is a kind of eukaryote	nongold
