Question	Phobos is one of two large objects that orbit the planet Mars. Because Phobos orbits Mars, Phobos should be classified as which type of body?	question
Answer	moon	answer
0	Mars is a kind of planet	gold
1	Mars is a kind of inner planet	nongold
2	classifying is when one sorts something by kind; type	gold
3	Mars is the planet that is fourth closest to the  Sun	nongold
4	moons orbit planets	gold
5	a type is synonymous with a kind	nongold
6	a kind of something is classified as that something	nongold
7	a moon is a kind of celestial object; body	gold
8	a planet is a kind of celestial object; body	nongold
9	classifying means grouping objects; materials by their properties	nongold
10	the moon orbits the Earth	nongold
11	planets orbit stars	nongold
12	gravity causes orbits	nongold
13	category means kind	nongold
14	moons are large; solid; spherical	nongold
15	revolving  around something means orbiting that something	nongold
16	a moon is a kind of satellite	nongold
17	the Moon is Earth's moon	nongold
18	Earth is greater in mass than Mars	nongold
19	the moon orbiting the Earth occurs approximately 13 times per year	nongold
20	to categorize means to classify	nongold
21	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
22	the Mars Rover is a kind of vehicle	nongold
23	a type of something is a kind of property of that something	nongold
24	an animal is a kind of living thing	nongold
25	classify is similar to characterize	nongold
26	a planet's  moon is smaller than that planet	nongold
27	type of moon; kind of moon means moon phase	nongold
28	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
29	Mars contains ice	nongold
30	the moon's orbit is elliptical	nongold
31	moons; comets; planets are part of the solar system	nongold
32	a living thing is a kind of object	nongold
33	to belong to a class means to be a kind of something	nongold
34	planetary orbits are mostly elliptical	nongold
35	orbit means orbital path	nongold
36	classifying requires comparing	nongold
37	a star is a kind of celestial object; celestial body	nongold
38	planets in the solar system orbit the Sun	nongold
39	a planet completes one orbit around its star over a period of one planetary year	nongold
40	orbiting is a kind of action	nongold
41	a kind of something is an example of that something	nongold
42	to belong to a group means to be classified in that group	nongold
43	orbit is a kind of characteristic	nongold
44	larger means greater; higher; more; increase in size	nongold
45	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
46	form is similar to body	nongold
47	a moon is located in space	nongold
48	massive is similar to large	nongold
49	both means two	nongold
50	an object is made of its parts	nongold
51	the moon orbiting the Earth occurs once per month	nongold
52	Celestial bodies move in orbits in space around other celestial bodies	nongold
53	the solar system contains the moon	nongold
54	Jupiter is a kind of planet	nongold
55	two objects are usually different in size	nongold
56	smaller means less; lower in size	nongold
57	an part of an object is smaller than the entire object	nongold
58	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
59	form means kind	nongold
60	the moon rotates on its axis	nongold
61	a landform is a kind of object	nongold
62	if something is made of something else then that something can be broken down into that something else	nongold
63	Jupiter is a kind of outer planet	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	composed of means made of	nongold
66	the properties of something can be used to identify; used to describe that something	nongold
67	an animal is a kind of organism	nongold
68	objects are made of materials; substances; matter	nongold
69	a structure of something is synonymous with a part of that something	nongold
70	small is the opposite of large	nongold
71	can be means able to be	nongold
72	the parts of something make up that something	nongold
73	Earth is a kind of planet	nongold
74	to classify means to decide what class something belongs to	nongold
75	a body system is a kind of object	nongold
76	the Sun is a kind of star	nongold
77	the asteroid belt is located between Mars and Jupiter	nongold
78	Pluto is a kind of dwarf planet	nongold
79	usually craters on planets; craters on moons are formed by asteroids;meteoroids impacting that planet or moon's surface	nongold
80	astronomy is the study of celestial (objects, bodies)	nongold
81	to create means to make	nongold
82	larger; bigger is the opposite of smaller	nongold
83	classifying is a kind of science process	nongold
84	the moon does not contain air; water	nongold
85	planets have cleared their orbits	nongold
86	little means small	nongold
87	a satellite orbits a planet	nongold
88	particles in objects are a kind of matter	nongold
89	to produce means to create	nongold
90	each is simiar to one	nongold
91	a particle is a kind of object	nongold
92	the properties of something are used for describing that something	nongold
93	to tell the difference between things means to classify those things	nongold
94	the earth has more mass than the moon	nongold
95	the mass of a planet causes the pull of gravity on that planet	nongold
96	mass is similar to size	nongold
97	the moon is the celestial object that is closest to the  Earth	nongold
98	the body is a part of an organism	nongold
99	classifying is a kind of skill	nongold
