Question	Soda water is a liquid that has bubbles of carbon dioxide in it. Which term best describes soda water?	question
Answer	a mixture	answer
0	soda water is a kind of carbonated beverage	gold
1	soda is a kind of carbonated beverage	nongold
2	a bubble contains gas	nongold
3	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
4	water contains dissolved oxygen	nongold
5	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
6	water is a kind of liquid at room temperature	nongold
7	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
8	a mixture is a kind of substance	nongold
9	water is a kind of substance	nongold
10	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
11	a solid is a kind of substance	nongold
12	a solution is a kind of mixture	gold
13	a carbonated beverage contains dissolved carbon dioxide	gold
14	a liquid is a kind of substance	gold
15	an mixture is formed by two or more substances combined together physically	nongold
16	a mixture of solids can be easily separated	nongold
17	if something is dissolved , then that something is the solute	nongold
18	a beverage is a kind of liquid	nongold
19	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
20	carbon dioxide is a kind of gas	gold
21	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
22	combining; mixing two substances chemically causes chemical reactions	nongold
23	a solution is formed by one substance being dissolved in another substance	gold
24	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
25	a solution is made of one substance dissolved in another substance	nongold
26	mixture means solids combined together that maintain their physical properties	nongold
27	all elements are a kind of pure substance	nongold
28	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
29	a solute can be dissolved in a solvent when they are combined	nongold
30	soft drink means soda	nongold
31	evaporation can be used for separating a mixture of a liquid and a solid	nongold
32	a mixture usually is made of objects with different physical properties	nongold
33	to contain something means to have that something	nongold
34	boiling is when liquids are heated above their boiling point	nongold
35	carbon dioxide can be found in the air	nongold
36	vapor is synonymous with gas	nongold
37	made of is similar to contains	nongold
38	when one substance is dissolved in another substance then the molecules of that other substance exist in solution	nongold
39	best means most positive	nongold
40	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
41	liquid; solid means nongaseous	nongold
42	to add means to combine	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	a bubble is a kind of object	nongold
45	temperature is a measure of heat energy	nongold
46	if something is made of something; a material then that something contains that something; that material	nongold
47	moisture means liquid; liquid water	nongold
48	to add means to increase	nongold
49	substances are made of elements	nongold
50	made up of means contains; made of	nongold
51	oxygen is a kind of gas at room temperature	nongold
52	to be made of something means to be formed of that something	nongold
53	a beverage is a kind of food	nongold
54	to be a combination of means to be made of	nongold
55	humans drink beverages	nongold
56	to contain means to have inside	nongold
57	heat means heat energy	nongold
58	the properties of something are used for describing that something	nongold
59	humidity is a kind of water vapor	nongold
60	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
61	carbon is a kind of element	nongold
62	material means substance	nongold
63	composed of means made of	nongold
64	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
65	dissolving is a kind of  mixing	nongold
66	water is made of hydrogen and oxygen	nongold
67	substances have chemical properties	nongold
68	foam; bubble is made of pockets of gas trapped in a liquid or solid	nongold
69	gas is a kind of nonmetal	nongold
70	water vapor is found in the atmosphere	nongold
71	a  solute is a part of a solution	nongold
72	carbon dioxide is more dense than air	nongold
73	solution is a kind of liquid	nongold
74	water vapor;steam cooling causes that water vapor;steam to condense	nongold
75	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
76	can be means able to be	nongold
77	if something is used to dissolve substances , then that something is the solvent	nongold
78	a body of water contains water	nongold
79	gaseous means of gas	nongold
80	An example of moisture is water vapor in the atmosphere	nongold
81	a container contains objects; material; substances	nongold
82	the atmosphere contains gases; liquids; solids	nongold
83	to be filled with means to contain	nongold
84	to be made of means to consist of	nongold
85	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
86	a component means a part of	nongold
87	substances are made of molecules	nongold
88	if something transfers something else then that something is a source of something else	nongold
89	carbon dioxide is a kind of greenhouse gas	nongold
90	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
91	if a substance is made of one element , then the substance is called an element	nongold
92	water is a kind of matter	nongold
93	composition is a property of an object; matter	nongold
94	sugar dissolves in water when they are combined	nongold
95	gas is a kind of substance	gold
96	products are formed; are produced; are created	nongold
97	form means kind	nongold
98	if something is a source of something else then that something usually contains that something else	nongold
99	if a container contains something then that container touches that something	nongold
