Question	Which is a nonrenewable natural resource that is used to make electrical energy?	question
Answer	coal	answer
0	coal is a nonrenewable resource	gold
1	coal is a kind of fossil fuel	gold
2	coal is used to produce electricity by burning in coal-fire power stations	gold
3	a fossil fuel is a kind of natural resource	gold
4	electricity means electrical energy	gold
5	coal is a kind of fuel	nongold
6	natural gas is a nonrenewable resource	nongold
7	coal is used for generating heat by burning	nongold
8	fossil fuels are a nonrenewable resource	nongold
9	electrical energy is a kind of energy	nongold
10	an energy source is a kind of resource	nongold
11	using coal requires burning coal	nongold
12	make means produce	gold
13	renewable is the opposite of nonrenewable	nongold
14	fossil fuels are a kind of energy resource	nongold
15	coal is a kind of object	nongold
16	a renewable resource is a kind of natural resource	nongold
17	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
18	natural gas is a kind of fossil fuel	nongold
19	producing renewable electric energy requires renewable resources	nongold
20	resources sometimes are used for energy	nongold
21	providing something means making;delivering something	nongold
22	electricity is used as an energy source by electrical devices	nongold
23	to be used for something means to be required by that something	nongold
24	to power means to provide energy for	nongold
25	electric devices require electrical energy to function	nongold
26	to cause means to make	nongold
27	electricity sometimes is used for heating buildings; substances	nongold
28	electrical devices are used for industrial purposes; household purposes by humans	nongold
29	coal is a kind of rock	nongold
30	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
31	a nonrenewable resource is limited in supply	nongold
32	plants are a kind of resource	nongold
33	manufacture means make	nongold
34	a fuel is used to make energy	nongold
35	making something requires resources	nongold
36	manufacturing means making	nongold
37	natural gas is used for generating electricity by burning in a power plant	nongold
38	an inexhaustible resource is a kind of renewable resource	nongold
39	a renewable resource is a kind of naturally replaced resource	nongold
40	oil is a nonrenewable resource	nongold
41	provide is similar to give; make	nongold
42	a coal mine is a source of coal under the ground	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	if something is powered by something else then that something requires a source of that something else	nongold
45	to create means to make	nongold
46	heat is a kind of energy	nongold
47	electrical current means electrical energy	nongold
48	burning coal is a source of air pollution	nongold
49	to provide something means to be the source of that something	nongold
50	if something is a raw material in a process then that something is required for that process	nongold
51	fossil fuels have high potential energy	nongold
52	developing means making	nongold
53	natural resources are found in nature	nongold
54	if something causes a process then that something is required for that process	nongold
55	to be formed by is similar to being produced by	nongold
56	producing is a kind of process	nongold
57	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
58	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
59	natural gas is a source of heat by burning	nongold
60	a complete electrical circuit is a source of  electrical energy	nongold
61	metal is a nonrenewable resource	nongold
62	to produce means to provide	nongold
63	thermal energy is a kind of energy	nongold
64	emit means produce	nongold
65	production is similar to making	nongold
66	creating means making	nongold
67	nature is the source of natural resources	nongold
68	a producer is a source of energy for consumers	nongold
69	give off is similar to make	nongold
70	fossil fuel contains chemical energy	nongold
71	an electrical device requires electricity to turn on	nongold
72	a circuit is a kind of electrical component	nongold
73	a producer is a kind of living thing	nongold
74	if something is a raw material then that something comes directly from a source	nongold
75	the function of something is what that something  is used to do	nongold
76	fuel is a kind of energy source	nongold
77	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
78	power station means power plant	nongold
79	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
80	oil is a kind of fossil fuel	nongold
81	biofuel is used to produce electricity by burning	nongold
82	being buried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time	nongold
83	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
84	An electrical conductor is a vehicle for the flow of electricity	nongold
85	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
86	heat means heat energy	nongold
87	heat energy is synonymous with thermal energy	nongold
88	affected means changed	nongold
89	form means kind	nongold
90	nature means a natural environment	nongold
91	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
92	where something  comes from is a source of that something	nongold
93	can be means able to be	nongold
94	green plants are a kind of producer	nongold
95	synthesize means to make	nongold
96	temperature is a measure of heat energy	nongold
97	coal; uranium is acquired by mining the lithosphere	nongold
98	to make means to build	nongold
99	generate means produce	nongold
