Question	If a solid object is taken from Earth far into space, which of the following measurements of the object will change most?	question
Answer	weight	answer
0	a solid is a kind of substance	nongold
1	a weight is a kind of object	nongold
2	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
3	weight is a property of objects; matter	nongold
4	weight is a measure of the force of the gravity on the mass of an object	gold
5	as the force  of gravity changes , the weight of the object will change	nongold
6	mass; weight is a property of matter; objects; materials	nongold
7	Earth is a kind of planet	nongold
8	a planet is a kind of celestial object; body	nongold
9	as amount; size of something increases , the intensive properties of that something will not change	nongold
10	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
11	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
12	size; amount of space means volume	nongold
13	weight means the force of gravity acting on an object	nongold
14	distance is a property of space and includes ordered values of close; far	nongold
15	affected means changed	nongold
16	solid is a kind of state of matter	nongold
17	far means great in distance	gold
18	celestial bodies; celestial objects are found in space	nongold
19	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
20	as the force of gravity increases , the weight of objects will increase	gold
21	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
22	an increase is a kind of change	nongold
23	density is a measure of mass of an object over volume; divided by volume	nongold
24	furthest; farthest means greatest; most; highest in distance	nongold
25	to change means to become different	nongold
26	objects are made of materials; substances; matter	nongold
27	if the component of something changed , then the whole thing will change	nongold
28	heavy means a large amount of weight	nongold
29	matter; materials; substances are made of atoms; particles	nongold
30	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
31	Weight is  the  force of gravity acting on an object	nongold
32	weight is a kind of property	gold
33	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
34	property is similar to measurement	nongold
35	variable means able to change	nongold
36	a measurement is a kind of data	nongold
37	greatest means largest; highest; most amount of something	nongold
38	material means substance	nongold
39	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
40	mass is a measure of the amount of matter in an object	nongold
41	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
42	gravity causes orbits	nongold
43	a scale is used for measuring weight	nongold
44	calculation means measurement	nongold
45	mass; weight are the same on Earth	nongold
46	a balance is a kind of instrument for measuring mass; measuring weight	nongold
47	to vary means to change	nongold
48	a decrease is a kind of change	gold
49	to change means to cause a change	nongold
50	far is the opposite of close	nongold
51	Celestial bodies move in orbits in space around other celestial bodies	nongold
52	to add means to increase	nongold
53	to remain means to not change	nongold
54	mass; weight is an extensive property	nongold
55	measuring is used for describing an object	nongold
56	celestial objects are located in outer space	nongold
57	measuring requires reading a measurement	gold
58	constant means not changing	nongold
59	largest amount means most	nongold
60	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
61	high is similar to increase	nongold
62	as distance from an object decreases , the the pull of gravity on that object increases	gold
63	stay the same means not changing	nongold
64	Earth is greater in mass than Mars	nongold
65	same means identical; equal in value; amount; number; quantity	nongold
66	a balance is used for measuring mass;weight of an object; of a substance	nongold
67	as the mass of an object increases ,  the weight of that object will increase	nongold
68	mostly means being the most	nongold
69	temperature changing does not cause mass to change	nongold
70	can be means able to be	nongold
71	to convert means to change	nongold
72	to turn means to change	nongold
73	Earth is a planet that is closer to the  Sun than Jupiter	nongold
74	as state of matter changes , mass will not change	nongold
75	if something used to be in the past then that something  has changed	nongold
76	usually means most of the time	nongold
77	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
78	gravitational potential energy is a measure of the product of weight and height	nongold
79	form means kind	nongold
80	particles in objects are a kind of matter	nongold
81	newton ( N ) is an SI unit used for measuring weight	nongold
82	adding something is a kind of change	nongold
83	length is a part of size	nongold
84	mass is a property of objects; matter	nongold
85	as the force  of gravity decreases , the weight of the object will decrease	nongold
86	as the amount; size of something increases , the extensive properties of that something will increase	nongold
87	taking is the opposite of giving; leaving	nongold
88	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
89	instrument means device	nongold
90	place means space	nongold
91	meters;centimeters;kilometers are used to describe distance; describe length	nongold
92	a gram  is a kind of unit for measuring mass	nongold
93	astronomy is the study of celestial (objects, bodies)	nongold
94	if an object is made of a material then that object has the properties of that material	nongold
95	a meter is a kind of unit for measuring distance; measuring length	nongold
96	higher means greater; above in value; amount; number	nongold
97	length is a measure of distance from one end of an object to the other end of that object	nongold
98	light means low  in weight	nongold
99	angstrom ( Å ) is a metric unit used for measuring wavelength; interatomic distance; length; distance	nongold
