Question	During which of the processes below does water vapor change to liquid water?	question
Answer	condensation	answer
0	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
1	condensation is a kind of process	gold
2	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
3	condensing is when gasses are  cooled below their boiling point	nongold
4	water vapor;steam cooling causes that water vapor;steam to condense	nongold
5	condensing is a kind of process	nongold
6	In the water cycle , condensation always follows evaporation	nongold
7	condensing is a kind of  phase change	nongold
8	condensation is a stage in the water cycle process	nongold
9	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
10	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
11	water is a kind of liquid at room temperature	nongold
12	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
13	condensing means liquid water coming together in the air	nongold
14	condensing causes a liquid to form	nongold
15	water is a kind of substance	nongold
16	a liquid is a kind of substance	nongold
17	vapor is synonymous with gas	nongold
18	In the water cycle , condensation always follows transpiration	nongold
19	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
20	change is a kind of process	nongold
21	to add means to increase	nongold
22	temperature is a measure of heat energy	nongold
23	gas is a kind of state of matter	nongold
24	liquid is a kind of state of matter	nongold
25	a solid is a kind of substance	nongold
26	below is the opposite of above	nongold
27	a phase change is a kind of physical change	nongold
28	boiling is a kind of phase change	nongold
29	an increase is a kind of change	nongold
30	solid is a kind of state of matter	nongold
31	In the water cycle , precipitation can follow condensation	nongold
32	water is a kind of matter	nongold
33	a part of a process means a stage in a process	nongold
34	below means lower down	nongold
35	heat means heat energy	nongold
36	evaporating is a kind of phase change	nongold
37	An example of moisture is water vapor in the atmosphere	nongold
38	moisture means liquid; liquid water	nongold
39	In the water cycle , transportation can follow condensation	nongold
40	variable means able to change	nongold
41	dew is a kind of condensation	nongold
42	a process is a kind of event	nongold
43	gas is a kind of substance	nongold
44	adding something is a kind of change	nongold
45	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
46	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
47	gas is a kind of material	nongold
48	water contains dissolved oxygen	nongold
49	temperature changing can cause phase changes	nongold
50	if something is dissolved , then that something is the solute	nongold
51	water vapor is found in the atmosphere	nongold
52	affected means changed	nongold
53	a decrease is a kind of change	nongold
54	boiling is when liquids are heated above their boiling point	nongold
55	humidity is a kind of water vapor	nongold
56	gaseous means of gas	nongold
57	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
58	formation of a state of matter is a kind of process	nongold
59	a step in a process means a stage in a process	nongold
60	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
61	a change is a kind of event	nongold
62	all elements are a kind of pure substance	nongold
63	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
64	a  gas is a kind of  element	nongold
65	to change means to cause a change	nongold
66	a process usually requires all of the stages in that process	nongold
67	state of matter means physical state	nongold
68	state means form	nongold
69	steam;water vapor is a kind of water above 100 degrees celsius	nongold
70	heating means adding heat	nongold
71	gas is a kind of nonmetal	nongold
72	to convert means to change	nongold
73	ability to undergo a phase change is a property of a substance; material	nongold
74	material means substance	nongold
75	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
76	state of matter is a kind of physical property	nongold
77	melting point means temperature at which a solid melts; above which a solid melts	nongold
78	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
79	oxygen is a kind of gas at room temperature	nongold
80	water is a kind of water phase	nongold
81	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
82	adding heat means increasing temperature	nongold
83	forming something is a kind of change	nongold
84	a source of something emits; produces; generates; provides that something	nongold
85	producing is a kind of process	nongold
86	steam; water vapor is a kind of water phase	nongold
87	physical state means state of matter	nongold
88	phase means state	nongold
89	can be means able to be	nongold
90	a cycle is a kind of process	nongold
91	an event is a kind of action	nongold
92	a body of water contains water	nongold
93	a liquid is a kind of fluid	nongold
94	if something emits something else then that something increases the amount of that something else	nongold
95	solution is a kind of liquid	nongold
96	freezing is a kind of phase change	nongold
97	a physical property is a kind of property	nongold
98	a chemical reaction is a kind of process	nongold
99	Earth contains water; ice; (steam, water vapor)	nongold
