Question	When a tadpole grows, its gills change into lungs. What does it now need to survive?	question
Answer	Air	answer
0	an animal; bacterium requires oxygen for survival; to breathe	gold
1	a tadpole requires water to breathe	nongold
2	gills are used for breathing water by aquatic animals	nongold
3	a gill is a kind of organ for breathing water	nongold
4	to depend on; to rely on; to need means to require	gold
5	gills are a part of a fish used for breathing water	nongold
6	an animal; living thing requires nutrients for survival	nongold
7	breathing is when a gill converts from oxygen in water into oxygen in blood	nongold
8	a tadpole lives in water	nongold
9	an animal requires air for survival	nongold
10	gills are a part of trout	nongold
11	gills are a kind of adaptation for getting oxygen underwater	nongold
12	a plant; living thing requires food for survival	nongold
13	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
14	animals; living things require water for survival	nongold
15	a lung is a kind of organ for breathing air	nongold
16	lungs are used for breathing air by land animals; birds	nongold
17	requiring something means needing that something	nongold
18	a tadpole is a kind of young; baby frog	gold
19	a plants; living things require water for survival; to grow	nongold
20	a plant; living thing requires nutrients to grow	nongold
21	the lungs are a part of the body of an animal used for breathing air	gold
22	exhaling  is when an animal expels air from the lungs	nongold
23	when a tadpole changes into an adult frog , that tadpole grows lungs to breath air	nongold
24	young amphibians breathe through gills	nongold
25	breathing in is when animals inhale air into their lungs	nongold
26	an animal is a kind of living thing	nongold
27	an aquatic animal is a kind of animal	nongold
28	requiring is similar to needing help	nongold
29	the lungs are a part of the respiratory system	nongold
30	reptiles have lungs	nongold
31	breathing  is when a lung converts from oxygen in air into oxygen in blood	gold
32	an organism is a living thing	nongold
33	life means living things	nongold
34	an animal is a kind of organism	nongold
35	survival means to survive	nongold
36	aquatic animals; plants live in bodies of water	nongold
37	aquatic animal means water animal	nongold
38	if something causes a process then that something is required for that process	nongold
39	atmosphere means  air	nongold
40	survive means live	nongold
41	survive means live	nongold
42	organism requires liquid water to survive	nongold
43	death means to die	nongold
44	an animal needs to eat food for nutrients	nongold
45	air is a kind of gas	nongold
46	a fish is a kind of aquatic animal	nongold
47	to be required means to be necessary	nongold
48	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
49	a living thing is a kind of object	nongold
50	needing something means depending on that something	nongold
51	all animals breathe	nongold
52	all living things grow	nongold
53	air is a part of the environment	nongold
54	to be used for something means to be required by that something	nongold
55	what something needs is a property of that something	nongold
56	if a living thing dies then that living thing is dead	nongold
57	if a living thing requires something then that something has a positive impact on that living thing	nongold
58	a tadpole changes from  a tadpole into a frog through metamorphosis	nongold
59	an increase is a kind of change	nongold
60	the respiratory system is a kind of human; organ; body system	nongold
61	breathing is a kind of process	nongold
62	a fish is a kind of animal	nongold
63	growth is a kind of change	nongold
64	a plant is a kind of organism	nongold
65	a plant is a kind of living thing	nongold
66	to exhale means to release	nongold
67	the increase of something required by an organism has a positive impact on that organism's survival	nongold
68	a human is a kind of animal	nongold
69	high is similar to increase	nongold
70	nonliving; non-living; die is the opposite of living; alive; live	nongold
71	a fish lives in water	nongold
72	dying is the opposite of living; surviving	nongold
73	killing means harming something causing death	nongold
74	a body of water is a kind of environment	nongold
75	water is a part of an environment	nongold
76	killing means changing a living thing from alive to dead by harming	nongold
77	a tadpole is the immature form of a frog	nongold
78	blood absorbs oxygen in the lungs	nongold
79	if something is required for a process then that something positively impacts that process	nongold
80	breathing is a kind of  function	nongold
81	a fish is a kind of predator	nongold
82	a source of something emits; produces; generates; provides that something	nongold
83	breathing is when animals convert oxygen into carbon dioxide	nongold
84	a predator is a kind of animal	nongold
85	organisms are a part of an environment	nongold
86	a decrease is a kind of change	nongold
87	the respiratory system takes in oxygen from the air	nongold
88	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
89	the air is a kind of substance	nongold
90	becoming is similar to changing	nongold
91	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
92	increase means more	nongold
93	organisms mean life	nongold
94	predators; carnivores; omnivores eat other animals	nongold
95	to change means to become different	nongold
96	to lower means to decrease	nongold
97	a food contains nutrients for living things	nongold
98	dead means not alive	nongold
99	to breathe in means to absorb air	nongold
