Question	Which of these materials on the walls of a room would work best to keep sound from making an echo?	question
Answer	carpet	answer
0	an echo is a kind of sound	nongold
1	carpet absorbs sound	gold
2	carpet is a kind of material	gold
3	carpet has a rough surface	nongold
4	a wall is a kind of object	nongold
5	echo is when sound reflects off of a surface	gold
6	a wall is a kind of surface	nongold
7	when a sound is produced inside of a room , there is sometimes an echo after the sound	nongold
8	a room is a kind of object	nongold
9	room contains walls	nongold
10	to keep something occurring means to cause that something to occur	nongold
11	noise means sound	nongold
12	vibrations are a source of sound	nongold
13	loud means high in sound energy;sound intensity	nongold
14	echolocation is when some animals detect objects by hearing echoes by emitting sound	nongold
15	vibration is a kind of motion	nongold
16	the floor is a kind of object	nongold
17	matter; molecules vibrating can cause sound	nongold
18	vibrating matter can produce sound	nongold
19	best means most positive	nongold
20	sound means sound energy	nongold
21	volume means the loudness of a sound	nongold
22	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
23	a surface is a part of an object	nongold
24	a vibration is similar to a wave	nongold
25	objects are made of materials; substances; matter	nongold
26	a living thing is a kind of object	nongold
27	a surface is a part of a material	gold
28	a covering is a kind of object	nongold
29	a hum is a kind of sound	nongold
30	oscillation means physical vibration	nongold
31	hearing is used for sensing sound by animals	nongold
32	material means substance	nongold
33	human voice is a kind of sound	nongold
34	if an object is made of a material then that object has the properties of that material	nongold
35	if something is required for a process then keeping that something from reaching that process can stop that process	nongold
36	to keep a process or event happening is similar to causing that process or event to happen	nongold
37	musical instruments make sound when they are played	nongold
38	when two objects are touched; are contacted; move against each other , sound is produced	nongold
39	sound is a kind of air vibration	nongold
40	materials are made of matter	nongold
41	particles in objects are a kind of matter	nongold
42	texture means how an object feels	nongold
43	to cause means to make	nongold
44	structure is a property of an object; a material; a substance	nongold
45	sound is a kind of sound energy	nongold
46	distorting is a kind of affecting	nongold
47	a room is a kind of container	nongold
48	louder means higher; greater in volume	nongold
49	sound requires matter to travel	nongold
50	a particle is a kind of object	nongold
51	acoustic signal is a kind of sound wave	nongold
52	sound can be used for communication by animals	nongold
53	sound wave is similar to sound	nongold
54	a structure of something is synonymous with a part of that something	nongold
55	the floor is at the bottom of a room	nongold
56	reflection is when particles bounce off a surface	nongold
57	amplitude is  a measure of the loudness of the sound wave	nongold
58	a person speaking is a source of sound	nongold
59	if the frequency  of a sound wave is too high , then human cannot hear  the sound	nongold
60	sound waves means sound energy	nongold
61	substances are made of matter	nongold
62	to keep something from happening means to prevent that something	nongold
63	felt is high in roughness	nongold
64	when sound reaches the ear , that sound can be heard	nongold
65	a wave is formed by the vibration of the source spreading around from the source	nongold
66	smooth is a kind of texture	nongold
67	an part of an object is smaller than the entire object	nongold
68	a door is a kind of object	nongold
69	sound wave is a kind of mechanical wave	nongold
70	sound is produced when mechanical energy is transformed into sound energy	nongold
71	an animal is a kind of living thing	nongold
72	a musical instrument is a kind of object	nongold
73	intense sound energy can move objects	nongold
74	answering questions requires information	nongold
75	a surface is a kind of object	nongold
76	if sound is absorbed then that sound can not be heard	nongold
77	reflecting light; sound is the opposite of absorbing light; sound	gold
78	sound travels fastest through solid	nongold
79	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
80	a part of a living thing is a natural structure	nongold
81	high-frequency sound waves have low; short wavelengths	nongold
82	texture is a kind of physical property	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	frequency is a property of a wave; a particel of light; an event	nongold
85	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
86	ground means floor	nongold
87	hearing is a kind of sense	nongold
88	inhibitor means something that prevents something from happening	nongold
89	an object is made of its parts	nongold
90	to try means to make an effort	nongold
91	a human is a kind of animal	nongold
92	sound energy is transferred by vibrational waves	nongold
93	low means down	nongold
94	high is similar to increase	nongold
95	thickness is  a measure of how thick an object  is	nongold
96	an object has properties	nongold
97	conductivity is a property of a material; substance	nongold
98	hard objects can vibrate more than soft objects	nongold
99	can be means able to be	nongold
