Question	Which characteristic is not an inherited trait?	question
Answer	personality	answer
0	inherited characteristics are the opposite of learned characteristics; acquired characteristics	gold
1	personality is an acquired characteristic	gold
2	an inherited characteristic is a kind of characteristic	nongold
3	intelligence is an acquired characteristic	nongold
4	trait is synonymous with characteristic	gold
5	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
6	not is similar to the opposite of	nongold
7	a human is a kind of animal	nongold
8	an animal is a kind of organism	nongold
9	a type is synonymous with a kind	nongold
10	senses are an inherited characteristic	nongold
11	a learned characteristic is a kind of acquired characteristic	nongold
12	a part of something means a characteristic of something	nongold
13	characteristic means property	nongold
14	a behavior is a kind of characteristic	nongold
15	what an object is made of is a kind of characteristic	nongold
16	feature is synonymous with characteristic	nongold
17	style is an acquired characteristic	nongold
18	human is a kind of organism	nongold
19	an animal is a kind of living thing	nongold
20	person is synonymous with human	nongold
21	unique  is the opposite of diverse	nongold
22	reproductive behavior is an inherited characteristic	nongold
23	eye color is an inherited characteristic	nongold
24	human is similar to individual	nongold
25	the condition of parts of an organism are acquired characteristics	nongold
26	the color of; coloration of fur is an inherited characteristic	nongold
27	preferences are generally learned characteristics	nongold
28	conditioned behavior is a kind of learned behavior	nongold
29	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
30	blood type is an inherited characteristic	nongold
31	an organism is a living thing	nongold
32	a person is a kind of animal	nongold
33	the shape of body parts is an inherited characteristic	nongold
34	to impact means to affect	nongold
35	a dog is a kind of animal	nongold
36	skills are learned characteristics; behaviors	nongold
37	children; young is synonymous with offspring	nongold
38	trait means property	nongold
39	the  diet of an animal is an inherited characteristic	nongold
40	sound of voice is an inherited characteristic	nongold
41	ability is a kind of characteristic	nongold
42	the colors of parts of an organism are inherited characteristics	nongold
43	the length of body parts is an inherited characteristic	nongold
44	sense is a kind of characteristic of an animal	nongold
45	genes are able to determine the inherited characteristics of a living thing	nongold
46	a living thing is a kind of object	nongold
47	affected means changed	nongold
48	if something affects a part of something else then that something affects that something else	nongold
49	a brain is a part of an animal	nongold
50	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
51	a child is a kind of young human	nongold
52	learned behaviors are learned over the  lifetime of the animal	nongold
53	the number of body parts of an organism is an inherited characteristic	nongold
54	animal instinct means instinctive behavior	nongold
55	physical fitness is an acquired characteristic	nongold
56	a cat is a kind of animal	nongold
57	a scar is an acquired characteristic	nongold
58	actions mean behavior	nongold
59	a baby is the offspring of a parent	nongold
60	a baby is the offspring of a parent	nongold
61	a structure is a kind of feature	nongold
62	answering questions requires information	nongold
63	impact means effect	nongold
64	genetic; hereditary means of genes; heredity	nongold
65	inherited characteristics are a kind of hereditary information	nongold
66	the size of an organism is an inherited characteristic	nongold
67	a girl is a kind of organism	nongold
68	a structure of something is synonymous with a part of that something	nongold
69	an ear is a kind of body part	nongold
70	a face is often a part of an animal	nongold
71	shelter building is an inherited characteristic	nongold
72	curly hair is an inherited characteristic	nongold
73	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
74	causing is a kind of affecting	nongold
75	an organism's environment affects that organism's acquired characteristics	nongold
76	freckles are an inherited characteristic	nongold
77	antler growth is an inherited characteristic	nongold
78	to be characterized by  a property means to have that property	nongold
79	species is an inherited characteristic	nongold
80	a wolf is a kind of animal	nongold
81	an adaptation is a kind of characteristic	nongold
82	to change means to become different	nongold
83	aspect of something is similar to part of something	nongold
84	parents produce offspring	nongold
85	animals learn some behaviors from watching their parents	nongold
86	the brain is a part of the body	nongold
87	variable means able to change	nongold
88	Anna is a name for a human	nongold
89	to cause means to have an effect	nongold
90	identical means copy	nongold
91	the body is a part of an organism	nongold
92	an increase is the opposite of a decrease	nongold
93	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
94	an animal knows how to do  instinctive behaviors when it is born	nongold
95	a factor impacts something	nongold
96	cause is similar to influence	nongold
97	inability is the opposite of ability	nongold
98	hibernation is an inherited behavior	nongold
99	the length of the hair of an animal is an acquired characteristic	nongold
