Question	Frogs and salamanders compete with each other for insects. Both frogs and salamanders catch flying insects with their tongues. Which feature would most likely help both animals compete for flying insects?	question
Answer	sticky tongues	answer
0	a sticky tongue is a kind of adaptation for catching insects	gold
1	a salamander is a kind of amphibian	gold
2	a salamander eats insects	gold
3	salamanders are sometimes aquatic animals	nongold
4	a salamander is a kind of aquatic animal	nongold
5	a frog eats insects	gold
6	helping something has a  positive impact on that something	gold
7	a frog is a kind of aquatic animal	nongold
8	a frog is a kind of animal	nongold
9	if two animals eat the same prey then those animals compete for that prey	gold
10	an insect is a kind of animal	nongold
11	a frog is a kind of amphibian	gold
12	to help means to aid	nongold
13	to be used  for something means to help to do that something	nongold
14	an insect is a kind of prey	gold
15	if two animals have the same food source then those two animals compete for food	nongold
16	an animal is a kind of living thing	nongold
17	both means two	nongold
18	an aquatic animal is a kind of animal	nongold
19	an animal is a member of an animal species	nongold
20	a frog is an adult form of a frog	nongold
21	a living thing is a kind of object	nongold
22	sticky is similar to moist	nongold
23	flying is a kind of locomotion	nongold
24	feature is synonymous with characteristic	nongold
25	an organism is a living thing	nongold
26	predators; carnivores; omnivores eat other animals	nongold
27	a structure is a kind of feature	nongold
28	flying is a kind of motion through air; space	nongold
29	eating prey requires catching prey	nongold
30	an insect usually has a small size	nongold
31	an animal is a kind of organism	nongold
32	if a living thing requires something then that something has a positive impact on that living thing	nongold
33	an insect has three body parts	nongold
34	some predators move  quickly to  catch prey	nongold
35	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
36	feeling is when an living thing senses through touch	nongold
37	a living thing surviving has a positive impact on that living thing's ability to compete for resources	nongold
38	a plant is a kind of living thing	nongold
39	to help; to benefit means to be of use	nongold
40	competition may cause animals to fight; to make threatening sounds; to act aggressively towards members of their own species	nongold
41	a property of something is a feature of that something	nongold
42	a plant is a member of a plant species	nongold
43	landform means surface feature; physical feature; land feature	nongold
44	alligators eat frogs; turtles; fish; mice; birds	nongold
45	high is similar to increase	nongold
46	predators eat prey	nongold
47	carnivores; omnivores; herbivores are a kind of animal	nongold
48	carnivores; omnivores are predators	nongold
49	An insect is a pollinating animal	nongold
50	an animal; living thing requires nutrients for survival	nongold
51	if one is holding an object then one is touching that object	nongold
52	an increase is the opposite of a decrease	nongold
53	a reptile is a kind of animal	nongold
54	to slow; to slow down decreases speed	nongold
55	a plant is a kind of organism	nongold
56	an insect has six legs	nongold
57	catching something is synonymous with obtaining that something	nongold
58	an amphibian is a kind of animal	gold
59	as the population of prey decreases , competition between predators will increase	nongold
60	help means advantage	nongold
61	motion; movement means moving; to move	nongold
62	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
63	to touch means to contact	nongold
64	low is similar to decrease	nongold
65	when two objects are touched; are contacted; move against each other , sound is produced	nongold
66	touching something means feeling that something	nongold
67	insect bites cause harm to living things	nongold
68	to lower means to decrease	nongold
69	an part of an object is smaller than the entire object	nongold
70	living things eat their food source	nongold
71	aquatic animal means water animal	nongold
72	harming something has a  negative impact on; effect on that something	nongold
73	touching is when a body part makes contact with the surface of an object	nongold
74	a bird is a kind of living thing	nongold
75	if an organism's prey moves quickly then that organism may need to move quickly to catch its prey	nongold
76	increase means more	nongold
77	aquatic animals; plants live in bodies of water	nongold
78	answering questions requires information	nongold
79	strong beaks; sharp beaks are a kind of adaptation for catching prey	nongold
80	helping means something can be done; completed more easily; better	nongold
81	omnivores eat plants; animals	nongold
82	characteristic means property	nongold
83	species means a group of like organisms	nongold
84	if two things have the same features then those two things are alike	nongold
85	soft is a kind of touch sensation	nongold
86	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
87	being  on something; placed in something; placed over something means touching  that something	nongold
88	affected means changed	nongold
89	eating an animal; a plant means killing that animal; that plant	nongold
90	pull is similar to attract	nongold
91	a body part is a kind of object	nongold
92	often is similar to likely	nongold
93	prey  is a kind of animal	nongold
94	prey is a kind of food for predators	nongold
95	if an object is made of something then the parts of that object are made of that something	nongold
96	to absorb means to capture	nongold
97	trait is synonymous with characteristic	nongold
98	as the sharpness of a bird's beak increases , the ability of the bird to compete for food will increase	nongold
99	a tree frog is a kind of animal	nongold
