Question	Which body system's primary function is the continuation of the species?	question
Answer	reproductive	answer
0	continuation of a species means survival of that species	nongold
1	the reproductive system is used for continuing the species	gold
2	reproduction ensures the continuation of a plant or animal species	nongold
3	role means function	nongold
4	the reproductive system is a kind of body system	gold
5	the function of something is what that something  is used to do	gold
6	the reproductive system produces sperm; egg cells	nongold
7	a body system is a part of the body; an animal	nongold
8	an animal is a member of an animal species	nongold
9	a function is an activity	nongold
10	organ system means body system	nongold
11	to be a vehicle for is a kind of function	nongold
12	causing is a kind of function	nongold
13	an animal is a kind of organism	nongold
14	animals reproduce sexually	nongold
15	an animal is a kind of living thing	nongold
16	the body is a part of an organism	nongold
17	an organism is a living thing	nongold
18	reproduction is a stage in the life cycle process	nongold
19	pollinating is a kind of function	nongold
20	reproduction produces; produce offspring	nongold
21	producing is a kind of function	nongold
22	function is similar to purpose	nongold
23	a body system is a kind of object	nongold
24	a function is a kind of characteristic	nongold
25	providing is a kind of function	nongold
26	if something performs a task then that task is that something's function	nongold
27	the ovaries are used in reproduction	nongold
28	the ovaries are a kind of organ	nongold
29	internal organs are a part of the body	nongold
30	converting is a kind of function	nongold
31	reproduction is a kind of process	nongold
32	sexual reproduction is a kind of reproduction	nongold
33	living things can all reproduce	nongold
34	a sperm cell is a kind of  sex cell	nongold
35	a mechanism is a kind of system that performs a function	nongold
36	a role in the ecosystem is a role in the food chain process	nongold
37	sexual reproduction in animals is when egg; sperm join together	nongold
38	to have a function is similar to to be responsible for	nongold
39	cells are a part of the body	nongold
40	adult is similar to mature	nongold
41	a part of a process means a stage in a process	nongold
42	organisms move through the stages of the life cycle	nongold
43	a process usually requires all of the stages in that process	nongold
44	evolution causes significant trait changes in a species	nongold
45	gamete development is a stage in the sexual reproduction process	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	In the mammal life cycle , birth start	nongold
48	a body cell means a somatic cell	nongold
49	a living thing is made of cells	nongold
50	reproductive behavior is an inherited characteristic	nongold
51	if two organisms produce fertile offspring together then those two organisms belong to the same species	nongold
52	most insects reproduce by sexual reproduction	nongold
53	a plant is a member of a plant species	nongold
54	the excretory system is a kind of body system	nongold
55	evolution is a kind of process	nongold
56	providing structure is a kind of function	nongold
57	absorbing is a kind of function	nongold
58	animals require fertilization to reproduce	nongold
59	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
60	trait is synonymous with characteristic	nongold
61	regulating is a kind of function	nongold
62	male animals require sperm cells to reproduce	nongold
63	a component means a part of	nongold
64	an organ system is made of different parts of the body working together	nongold
65	gamete means sex cell	nongold
66	producer is a kind of role in the food chain process; in an ecosystem	nongold
67	volvox reproduces sexually	nongold
68	a process is a kind of event	nongold
69	breaking down is a kind of function	nongold
70	to work means to function	nongold
71	part means role	nongold
72	living things perform biological processes	nongold
73	a component of something means a part of that something	nongold
74	a frog is an adult form of a frog	nongold
75	a cycle happens; occurs repeatedly	nongold
76	a step in a process means a stage in a process	nongold
77	an asexually produced offspring is genetically identical to its parent	nongold
78	to reproduce means to have; to produce offspring	nongold
79	reproduction increases the number; population of a living thing	nongold
80	organs are a smaller level of organization than organ systems in living things	nongold
81	the endocrine system is a kind of body; organ system	nongold
82	releasing energy is a kind of function	nongold
83	the body of an animal contains arteries; veins	nongold
84	a living thing is a kind of object	nongold
85	role means niche	nongold
86	system is similar to structure	nongold
87	an event is a kind of action	nongold
88	species is an inherited characteristic	nongold
89	parents produce offspring	nongold
90	life means living things	nongold
91	an egg cell is a kind of sex cell	nongold
92	In the mammal life cycle , reproduction can follows growth	nongold
93	an animal is a kind of eukaryote	nongold
94	a cycle is a kind of process	nongold
95	attracting is a kind of function; activity	nongold
96	to be used for something means to be required by that something	nongold
97	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
98	to contribute is similar to produce	nongold
99	an animal; living thing requires nutrients for survival	nongold
