Question	Which of these best defines the term "pollutant"?	question
Answer	any substance that is harmful to the environment	answer
0	polluting means something harmful; something poisonous is added in an environment causes harm in the environment	nongold
1	pollutants have a negative impact on the environment; air quality	gold
2	a pollutant is a kind of substance	gold
3	polluting means something poisonous is added to an environment	nongold
4	water is when humans pollute the environment with pollutants	nongold
5	pollution is a source of pollutants	gold
6	harming an environment causes harm to the living things; to the organisms in that environment	nongold
7	best means most positive	nongold
8	living things in a polluted environment often contain pollutants	nongold
9	eating something that contains pollutants has a negative impact on an organism's survival; health; ability to reproduce	nongold
10	contaminated means polluted	nongold
11	An example of protecting the environment is reducing the amount of waste; the amount of pollutants	nongold
12	harming something has a  negative impact on; effect on that something	gold
13	pollution has a negative impact on the environment; air quality; water quality; society	nongold
14	polluting gasses are a kind of pollution	nongold
15	something harmful can cause harm	nongold
16	chemicals can be pollutants	nongold
17	adverse effect means negative impact	nongold
18	humans cause pollution	nongold
19	poisoning an environment means poisoning the organisms in that environment	nongold
20	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
21	oil is a kind of pollutant	nongold
22	an environment is similar to an ecosystem	nongold
23	negative impact is the opposite of positive impact	nongold
24	the atmosphere is a part of nature; the environment	nongold
25	cleaner means less; lower in pollutants	nongold
26	an environment means an area	nongold
27	surroundings means environment	nongold
28	runoff contains chemicals; fertilizer; pollutants; pesticides from cropland	nongold
29	organisms are a part of an environment	nongold
30	to impact means to affect	nongold
31	human waste often causes harm to an environment	nongold
32	impact means effect	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	toxic means poisonous	nongold
35	pesticides can cause pollution	nongold
36	an animal is a kind of organism	nongold
37	a pollutions standard is a kind of standard for reducing pollutants emitted by vehicles; by factories	nongold
38	an organism is a living thing	nongold
39	an animal is a kind of living thing	nongold
40	objects in an environment are a part of that environment	nongold
41	material means substance	nongold
42	nature means a natural environment	nongold
43	polluting is a kind of activity	nongold
44	decreasing something negative has a positive impact on a thing	nongold
45	decreasing something positive has a negative impact on a thing	nongold
46	killing means harming something causing death	nongold
47	a human is a kind of animal	nongold
48	chemicals means substances	nongold
49	protecting nature has a positive impact on the environment	nongold
50	plants are a part of the environment	nongold
51	a negative impact is a kind of consequence; risk	nongold
52	a bacterium is a kind of organism	nongold
53	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
54	a plant is a kind of organism	nongold
55	to be a source of something means to cause that something	nongold
56	harming an organism can cause that organism to die	nongold
57	eating food that contains pesticides can have a negative impact on humans	nongold
58	damage means harm	nongold
59	to reduce means to decrease	nongold
60	good means positive	nongold
61	protecting something means preventing harm to that something	nongold
62	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
63	a living thing is a kind of object	nongold
64	carbon dioxide is a kind of greenhouse gas	nongold
65	food is a kind of substance	nongold
66	high is similar to increase	nongold
67	if a living thing requires something then that something has a positive impact on that living thing	nongold
68	to hurt means to harm	nongold
69	death means to die	nongold
70	better means good	nongold
71	ethanol is a kind of substance	nongold
72	waste has a  negative impact on the environment	nongold
73	humans discarding waste in an environment causes harm to that environment	nongold
74	to give is similar to to cause	nongold
75	if something is required for a process then that something positively impacts that process	nongold
76	a plant is a kind of living thing	nongold
77	pollution is a kind of environmental problem	nongold
78	water is a part of an environment	nongold
79	odor is made of gas	nongold
80	to be used for something means to be required by that something	nongold
81	if something is made by something else then that something is affected by that something else	nongold
82	to cause means to have an effect	nongold
83	a fungus is a kind of organism	nongold
84	a climate is synonymous with an environment	nongold
85	damage has a negative impact on a thing	nongold
86	an event is a kind of action	nongold
87	answering questions requires information	nongold
88	air is a part of the environment	nongold
89	to depend on; to rely on; to need means to require	nongold
90	to give off means to be the source of	nongold
91	odor is a property of gas	nongold
92	burning gasoline; oil is a source of air pollution	nongold
93	fossil fuels burning causes pollution	nongold
94	human is a kind of organism	nongold
95	causing is a kind of affecting	nongold
96	if something causes an increase in something else then that something produces that something else	nongold
97	bacteria; molds; yeast cause food to spoil	nongold
98	can be means able to be	nongold
99	burning a living thing usually causes harm to that living thing	nongold
