Question	When prehistoric animals died and their soft parts decayed, which product was formed?	question
Answer	oil	answer
0	products are formed; are produced; are created	gold
1	oil is a kind of substance; matter	nongold
2	dead organisms decay	gold
3	fossil fuels; fossils are formed from dead organisms over time	nongold
4	oil is a kind of liquid	nongold
5	oil is a kind of liquid	nongold
6	to decompose means to decay	nongold
7	a product is a kind of object	nongold
8	remains mean parts of a dead organism	nongold
9	natural gas is formed by heat and pressure acting on the remains of prehistoric animals	nongold
10	an animal is a kind of living thing	gold
11	an organism is a living thing	gold
12	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
13	remains is similar to dead organisms	nongold
14	a living thing is a kind of object	nongold
15	to be formed by is similar to being produced by	nongold
16	death means to die	nongold
17	to be made of something means to be formed of that something	nongold
18	being buried under soil and mud changes dead plant matter; dead animal matter into oil; natural gas through extreme heat and pressure at the bottom of the sea over a long period of time	nongold
19	if a living thing dies then that living thing is dead	nongold
20	a decomposer is a kind of living thing	nongold
21	form means kind	nongold
22	decomposition is when a decomposer breaks down dead organisms	nongold
23	state means form	nongold
24	an animal is a kind of organism	nongold
25	oil is  insoluble in water	nongold
26	oil is a kind of fossil fuel	gold
27	an object is made of its parts	nongold
28	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	gold
29	a body part is a kind of object	nongold
30	fossil means preserved remains of ancient organisms	nongold
31	to cause the formation of means to form	nongold
32	life means living things	nongold
33	live means to be alive	nongold
34	to make means to form	nongold
35	a worm is a kind of decomposer	nongold
36	formation of a state of matter is a kind of process	nongold
37	a producer is a kind of living thing	nongold
38	if an object is made of something then the parts of that object are made of that something	nongold
39	killing means changing a living thing from alive to dead by harming	nongold
40	dead organisms are the source of nutrients for decomposers	nongold
41	petroleum is a kind of fossil fuel	nongold
42	emit means produce	nongold
43	the body is a part of an organism	nongold
44	prehistoric means before 300000000 years ago	gold
45	a source of something emits; produces; generates; provides that something	nongold
46	to form means to create	nongold
47	material means substance	nongold
48	chemical reactions cause new substances; different substances to form	nongold
49	decay has a negative impact on a thing	nongold
50	killing means harming something causing death	nongold
51	nonliving; non-living; die is the opposite of living; alive; live	nongold
52	dead means not alive	nongold
53	a part of a process means a stage in a process	nongold
54	the formation of something is a kind of process	nongold
55	a fossil is not usually made of skin	nongold
56	condensing causes a liquid to form	nongold
57	dead organisms are a kind of waste	nongold
58	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
59	a structure of something is synonymous with a part of that something	nongold
60	objects are made of materials; substances; matter	nongold
61	oil is formed by layers of sediment pushing down on decomposing algae	nongold
62	decomposition is a kind of process	nongold
63	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
64	a whole is formed by its parts	nongold
65	a process is a kind of event	nongold
66	make means produce	nongold
67	organisms mean life	nongold
68	product means result	nongold
69	to produce means to create	nongold
70	a microorganism is a kind of decomposer	nongold
71	dying is the opposite of living; surviving	nongold
72	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
73	to cause means to make	nongold
74	if something causes a process then that something is required for that process	nongold
75	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
76	a decomposer is usually a bacterium; fungus	nongold
77	if something is a raw material in a process then that something is required for that process	nongold
78	to generate means to form	nongold
79	producing is a kind of process	nongold
80	a reptile is a kind of animal	nongold
81	forming something is a kind of change	nongold
82	to create means to make	nongold
83	petroleum is a source of raw material for the production of plastics	nongold
84	meat means dead animal for eating	nongold
85	dead organisms rot	nongold
86	preserved means from the past; from long ago	nongold
87	moisture means liquid; liquid water	nongold
88	materials are made of matter	nongold
89	substances are made of matter	nongold
90	a liquid is a kind of substance	nongold
91	forming is similar to converting	nongold
92	a worm is a kind of living thing	nongold
93	to give off means to be the source of	nongold
94	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
95	a process usually requires all of the stages in that process	nongold
96	a human is a kind of animal	nongold
97	a worm is a kind of animal	nongold
98	a part of a living thing is a natural structure	nongold
99	combustion is a kind of chemical change	nongold
