Question	Campers shouted toward a canyon wall. What characteristic of sound best explains why the campers heard an echo?	question
Answer	Sound waves reflected off the canyon wall.	answer
0	echo is when sound reflects off of a surface	gold
1	an echo is a kind of sound	nongold
2	a canyon is a kind of landform	gold
3	a canyon is made of rock	nongold
4	a canyon is a kind of place	nongold
5	a shout is a kind of sound	gold
6	a camper is a kind of human	gold
7	characteristic means property	nongold
8	a canyon is a very deep valley	nongold
9	sound wave is a kind of wave	nongold
10	feature is synonymous with characteristic	nongold
11	a wall is a kind of surface	nongold
12	a canyon is a very big crack in the ground	nongold
13	noise means sound	nongold
14	sound wave is similar to sound	nongold
15	a wall is a kind of object	nongold
16	sound waves means sound energy	gold
17	echolocation is when some animals detect objects by hearing echoes by emitting sound	nongold
18	the ability to reflect off of a surface is a kind of characteristic	gold
19	loud means high in sound energy;sound intensity	nongold
20	a vibration is similar to a wave	nongold
21	a part of something means a characteristic of something	nongold
22	the ability to reflect is a property of sound wave	nongold
23	sound means sound energy	nongold
24	reflecting light; sound is the opposite of absorbing light; sound	nongold
25	a wave is a kind of object	nongold
26	acoustic signal is a kind of sound wave	nongold
27	vibration is a kind of motion	nongold
28	vibrations are a source of sound	nongold
29	reflection is when particles bounce off a surface	nongold
30	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
31	trait is synonymous with characteristic	nongold
32	a canyon forming occurs over a period of millions of years	nongold
33	what an object is made of is a kind of characteristic	nongold
34	hearing is used for sensing sound by animals	gold
35	to bounce back means to reflect	nongold
36	best means most positive	nongold
37	reflection is when light is reflected from one object; one place to  another object; another place	nongold
38	frequency is a property of a wave; a particel of light; an event	nongold
39	waves travel outward from the source	nongold
40	sound is a kind of sound energy	gold
41	amplitude is  a measure of the loudness of the sound wave	nongold
42	most canyons are formed by flowing rivers through erosion over long periods of time	nongold
43	sound can be used for communication by animals	nongold
44	high-frequency sound waves have low; short wavelengths	nongold
45	sense is a kind of characteristic of an animal	nongold
46	toward is a kind of direction	nongold
47	the Grand Canyon is a kind of canyon	nongold
48	trait means property	nongold
49	a wave is formed by the vibration of the source spreading around from the source	nongold
50	a living thing is a kind of object	nongold
51	sound wave is a kind of mechanical wave	nongold
52	sound waves spread in all directions away from their source	nongold
53	a function is a kind of characteristic	nongold
54	if the frequency  of a sound wave is too high , then human cannot hear  the sound	nongold
55	a river is a kind of flowing body of water	nongold
56	a rock is a kind of object	nongold
57	amplitude is a property of wave	nongold
58	landform means surface feature; physical feature; land feature	nongold
59	an animal is a kind of living thing	nongold
60	human voice is a kind of sound	nongold
61	surface type is a kind of characteristic	nongold
62	reflection is a property of light	nongold
63	a surface is a part of an object	gold
64	a behavior is a kind of characteristic	nongold
65	a human is a kind of animal	gold
66	a hum is a kind of sound	nongold
67	the ability to refract is a property of waves	nongold
68	a land feature is a kind of physical characteristic	nongold
69	sound requires matter to travel	nongold
70	wavelength is a property of wave	nongold
71	a structure is a kind of feature	nongold
72	an animal is a kind of organism	nongold
73	impact means effect	nongold
74	sound is a kind of air vibration	nongold
75	motion is when moves an object; something to a direction	nongold
76	to reflect light means to scatter light	nongold
77	hearing is a kind of sense	nongold
78	sound wave with frequency range in 20-20000 hertz  can be heard by human	nongold
79	waves are made of moving water	nongold
80	volume means the loudness of a sound	nongold
81	low means down	nongold
82	structure is a property of an object; a material; a substance	nongold
83	a structure of something is synonymous with a part of that something	nongold
84	a landform is a kind of object	gold
85	an earthquake wave is a kind of wave	nongold
86	objects are made of materials; substances; matter	nongold
87	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
88	a property of something is a feature of that something	nongold
89	louder means higher; greater in volume	nongold
90	light reflecting off of an object causes that object to be visible to the observer	nongold
91	intense sound energy can move objects	nongold
92	a learned characteristic is a kind of acquired characteristic	nongold
93	aspect of something is similar to part of something	nongold
94	the effects of something is a property of that something	nongold
95	when a sound is produced inside of a room , there is sometimes an echo after the sound	nongold
96	a person speaking is a source of sound	nongold
97	waves can travel through matter	nongold
98	sound energy is transferred by vibrational waves	nongold
99	water is a kind of object	nongold
