Question	Wind turbines are being used to generate electricity in many parts of the United States. One advantage of wind turbines is that no fossil fuels are burned. Which of the following is a disadvantage of wind turbines?	question
Answer	Wind turbine farms require a lot of area compared to how much energy they produce.	answer
0	a disadvantage is  a negative impact	gold
1	wind turbine farms require a lot of area	gold
2	advantage has a positive impact on something	nongold
3	to depend on; to rely on; to need means to require	nongold
4	requiring something means needing that something	nongold
5	wind is used for producing electricity	nongold
6	an adaptation is an advantage	nongold
7	an environment means an area	nongold
8	wind is a source of energy	nongold
9	producing renewable electric energy requires renewable resources	nongold
10	a lot means large in amount; quantity	nongold
11	to be used for something means to be required by that something	nongold
12	if something is powered by something else then that something requires a source of that something else	nongold
13	wind is a renewable; inexhaustible resource	nongold
14	generate means produce	nongold
15	if something requires something else then that something requires a source of that something else	nongold
16	less is similar to decrease	nongold
17	area; space is a kind of resource	gold
18	helping something has a  positive impact on that something	nongold
19	fossil fuels are a kind of energy resource	nongold
20	help means advantage	nongold
21	windmills require high wind force to generate electricity	nongold
22	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
23	to be required means to be necessary	nongold
24	if something causes a process then that something is required for that process	nongold
25	fire causes burning	nongold
26	fossil fuels burning causes pollution	nongold
27	a producer is a kind of living thing	nongold
28	requiring is similar to needing help	nongold
29	generating power is a kind of positive impact	nongold
30	fossil fuels are a nonrenewable resource	nongold
31	electricity means electrical energy	nongold
32	high means a lot of something	nongold
33	lots means much	nongold
34	resources sometimes are used for energy	nongold
35	a source of something emits; produces; generates; provides that something	nongold
36	the United States is a kind of country	nongold
37	area is similar to location	nongold
38	a fossil fuel is a kind of natural resource	nongold
39	an increase is the opposite of a decrease	nongold
40	green plants are a kind of producer	nongold
41	if something is required for a process then that something positively impacts that process	nongold
42	a wind turbine is a kind of windmill	nongold
43	fossil fuels have high potential energy	nongold
44	natural gas is used for generating electricity by burning in a power plant	nongold
45	running requires a lot of energy	nongold
46	to power means to provide energy for	nongold
47	if an industry requires a resource then that industry predominates in areas with an abundance of that resource	nongold
48	if something causes an increase in something else then that something produces that something else	nongold
49	requiring too much of a resource has a negative impact on the availiability of that resource	gold
50	to contribute is similar to produce	nongold
51	burning fossil fuels increases the carbon in the atmosphere	nongold
52	producing electricity sometimes requires burning oil	nongold
53	less means a reduced amount	nongold
54	high is similar to increase	nongold
55	producing is a kind of process	nongold
56	renewable is the opposite of nonrenewable	nongold
57	a producer is a source of energy for consumers	nongold
58	a source of something increases the amount of that something	nongold
59	using resources decreases those resources	nongold
60	must have means require	nongold
61	less is the opposite of more	nongold
62	burning is a kind of action	nongold
63	United States is located in the northern hemisphere	nongold
64	if something is a raw material in a process then that something is required for that process	nongold
65	electricity is used as an energy source by electrical devices	nongold
66	negative impact is the opposite of positive impact	nongold
67	converting is similar to producing	nongold
68	to combust means to catch fire	nongold
69	resources becoming available has a positive impact on the things that need those resources	nongold
70	a factor impacts something	nongold
71	electrical energy is a kind of energy	nongold
72	low is similar to decrease	nongold
73	to produce means to provide	nongold
74	if something generates energy for something else then that something powers that something else	nongold
75	plants are a kind of resource	nongold
76	greatest means largest; highest; most amount of something	nongold
77	little is similar to decrease	nongold
78	a positive impact is  a benefit	nongold
79	coal is used to produce electricity by burning in coal-fire power stations	nongold
80	fire destroys plants in an environment	nongold
81	fuel is a kind of energy source	nongold
82	fuel is a source of energy	nongold
83	producing crops requires using farm land	nongold
84	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
85	converting is similar to generating	nongold
86	comparing requires measuring	nongold
87	natural gas is a kind of fossil fuel	nongold
88	to lower means to decrease	nongold
89	affected means changed	nongold
90	if something emits something else then that something increases the amount of that something else	nongold
91	causing is similar to generating	nongold
92	electric devices require electrical energy to function	nongold
93	land area means land mass	nongold
94	an energy source is a kind of resource	nongold
95	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
96	a fuel is used to make energy	nongold
97	increase means more	nongold
98	many means high in number	nongold
99	needing something means depending on that something	nongold
