Question	What process forms an image in a mirror?	question
Answer	reflecting light	answer
0	an image in a mirror is formed by reflecting light	gold
1	a mirror reflects light	gold
2	a mirror is used for reflecting light	nongold
3	a mirror is a kind of reflective object	nongold
4	shiny things; objects reflect light	nongold
5	reflection is when light is reflected from one object; one place to  another object; another place	nongold
6	reflection is a property of light	nongold
7	reflection is a kind of process	gold
8	glass; objects made of glass cause refraction of light	nongold
9	to be made of something means to be formed of that something	nongold
10	glass is a kind of object	nongold
11	form means kind	nongold
12	formation of a state of matter is a kind of process	nongold
13	to change into means to form	nongold
14	state means form	nongold
15	objects are made of materials; substances; matter	nongold
16	light is made of photons	nongold
17	sunlight is a kind of light	nongold
18	glass is a kind of material	nongold
19	a mirror has a shiny surface	nongold
20	to form means to create	nongold
21	light is a kind of wave	nongold
22	to cause the formation of means to form	nongold
23	to make means to form	nongold
24	to reflect light means to scatter light	nongold
25	eyes are a part of a human for seeing	nongold
26	forming is similar to converting	nongold
27	refraction is a kind of process	nongold
28	image means visual depiction of an object	nongold
29	light means light energy	nongold
30	reflection is when particles bounce off a surface	nongold
31	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
32	if an object reflects a light of a certain color then the object appears to be that color	nongold
33	to be formed by is similar to being produced by	nongold
34	a star is a kind of celestial object; celestial body	nongold
35	reflecting light; sound is the opposite of absorbing light; sound	nongold
36	the formation of something is a kind of process	nongold
37	if an object reflects light toward the eye then that object can be seen	nongold
38	a surface is a part of an object	nongold
39	glass is a kind of medium	nongold
40	light reflecting off of an object causes that object to be visible to the observer	nongold
41	a reflector is used to reflect light especially on vehicles	nongold
42	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	nongold
43	forming something is a kind of change	nongold
44	a white object reflects all visible light	nongold
45	eyes are usually part of an animal for seeing	nongold
46	the eyes are part of the head used for seeing	nongold
47	water causes refraction of light	nongold
48	eyes are used for seeing by animals by sensing light	nongold
49	to generate means to form	nongold
50	form is similar to body	nongold
51	refraction is when light passes from one medium to another medium	nongold
52	a surface is a part of a material	nongold
53	can be means able to be	nongold
54	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
55	glass is a kind of solid at room temperature	nongold
56	materials are made of matter	nongold
57	a wave is a kind of object	nongold
58	phase means state	nongold
59	a surface is a kind of object	nongold
60	matter; materials; substances are made of atoms; particles	nongold
61	seeing requires light	nongold
62	eyes can sense;detect light energy for seeing	nongold
63	emit means produce	nongold
64	to illuminate means to light up	nongold
65	refraction is a property of light	nongold
66	a glass contains water	nongold
67	color is a kind of physical; visual property	nongold
68	water is a kind of matter	nongold
69	a blue object reflects only blue light	nongold
70	liquid is a kind of state of matter	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	substances are made of matter	nongold
73	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
74	to shine means to emit light	nongold
75	if an object is white then that object reflects all visible light	nongold
76	the ability to reflect off of a surface is a kind of characteristic	nongold
77	refracting sunlight; light causes sunlight; light to split into different colors	nongold
78	to look like means to have the visual properties of	nongold
79	to see means to look	nongold
80	answering questions requires information	nongold
81	a part of a process means a stage in a process	nongold
82	a living thing is a kind of object	nongold
83	a process is a kind of event	nongold
84	color is a property of  an object; a material	nongold
85	high is similar to increase	nongold
86	water is a kind of medium for light	nongold
87	to produce means to create	nongold
88	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
89	if an object is made of a material then that object has the properties of that material	nongold
90	to increase is similar to to create	nongold
91	affected means changed	nongold
92	an object has properties	nongold
93	refraction causes something to appear; to look different	nongold
94	a photon is a kind of  particles	nongold
95	an part of an object is smaller than the entire object	nongold
96	an animal is a kind of living thing	nongold
97	if something causes a process then that something is required for that process	nongold
98	light is a kind of energy	nongold
99	light is a kind of energy	nongold
