Question	What travels through the stem of a plant?	question
Answer	water and food	answer
0	travel means to move	nongold
1	a stem is often a part of plant	nongold
2	to pass through means to move through	nongold
3	a plant stem contains a system of tubes for transporting water and nutrients to other parts of the plant	nongold
4	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant	gold
5	special tissues in plants transport food; water; minerals throughout the plant	nongold
6	to pass means to travel	nongold
7	transport means to move; to make travel	gold
8	a food contains nutrients for living things	nongold
9	a stem is used to store water by some plants	nongold
10	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
11	a plant is a kind of living thing	nongold
12	moving is similar to travelling	nongold
13	media; medium means the material something travel through	nongold
14	green plants are a kind of producer	nongold
15	arteries; veins transport nutrients; water; minerals throughout the body	nongold
16	a plant; living thing requires food for survival	nongold
17	water is a kind of substance	nongold
18	to run through means to transfer	nongold
19	an animal is a kind of living thing	nongold
20	living things eat their food source	nongold
21	answering questions requires information	nongold
22	an organism is a living thing	nongold
23	distance moved; distance travelled is a measure of how far an object moves	nongold
24	both means two	nongold
25	a tree is a kind of plant	nongold
26	animals; living things require water for survival	nongold
27	a plant is a kind of organism	nongold
28	a plants; living things require water for survival; to grow	nongold
29	food is a kind of substance	nongold
30	passage is passing	nongold
31	a leaf is a part of a  green plant	nongold
32	a leaf is a kind of plant	nongold
33	water is a kind of object	nongold
34	to undergo is similar to to pass through	nongold
35	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
36	a tree is a kind of living thing	nongold
37	food is a kind of object	nongold
38	water is a kind of water phase	nongold
39	a living thing is a kind of object	nongold
40	a source of something emits; produces; generates; provides that something	nongold
41	food is what an animal eats	nongold
42	motion is when moves an object; something to a direction	nongold
43	an animal is a kind of organism	nongold
44	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
45	a vegetable is a kind of food	nongold
46	a leaf is a part of a tree	nongold
47	vegetation means plants	nongold
48	an animal; living thing requires nutrients for survival	nongold
49	a leaf is a kind of object	nongold
50	water is a kind of matter	nongold
51	producers pass materials they use through the food chain	nongold
52	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
53	organisms mean life	nongold
54	a pathway is a kind of plane	nongold
55	a vegetable is a kind of plant	nongold
56	to transfer is similar to transport	nongold
57	life means living things	nongold
58	travelling requires  navigation	nongold
59	food contains carbohydrates	nongold
60	In the food chain process a  green plant has the role of  producer	nongold
61	furthest; farthest means greatest; most; highest in distance	nongold
62	a branch is a part of a tree	nongold
63	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
64	water is a part of an environment	nongold
65	waves can travel through matter	nongold
66	plant and animal matter means organic matter	nongold
67	xylem carries water from the roots of a plant to the leaves of a plant	nongold
68	food is a source of energy for animals; plants	nongold
69	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
70	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
71	an object; material; substance comes from that object or material's source	nongold
72	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
73	a tree is a kind of matter	nongold
74	path is a kind of pathway	nongold
75	xylem transports materials through the plant	nongold
76	motion; movement means moving; to move	nongold
77	a motion is a kind of event; action	nongold
78	energy flows in an ecosystem through food chains	nongold
79	a body of water contains water	nongold
80	a plant; living thing requires nutrients to grow	nongold
81	a human is a kind of animal	nongold
82	high is similar to increase	nongold
83	phloem transports materials through the plant	nongold
84	nutrients are a kind of matter	nongold
85	producer is a kind of role in the food chain process; in an ecosystem	nongold
86	water is a kind of liquid at room temperature	nongold
87	something that contains water is similar to a body of water	nongold
88	a producer is a kind of living thing	nongold
89	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
90	an animal is a kind of consumer	nongold
91	the body of an animal contains arteries; veins	nongold
92	a plant is a member of a plant species	nongold
93	affected means changed	nongold
94	feeling is when an living thing senses through touch	nongold
95	to eat means to consume food	nongold
96	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
97	an event is a kind of action	nongold
98	roots are a part of a plant; tree	nongold
99	events occur at a specific place; at a specific time; with a specific frequency	nongold
