Question	Which of the following is one reason that quartz is classified as a mineral?	question
Answer	It has a specific crystal structure.	answer
0	a mineral usually has a crystal structure	gold
1	a kind of something is classified as that something	nongold
2	quartz is a kind of mineral	nongold
3	being made of crystals is synonymous with having a crystal structure	gold
4	classifying is when one sorts something by kind; type	nongold
5	classifying means grouping objects; materials by their properties	gold
6	to belong to a class means to be a kind of something	nongold
7	a quartzite is a kind of metamorphic rock	nongold
8	a quartz is made of six-sided transparent crystals	gold
9	a structure of something is synonymous with a part of that something	nongold
10	category means kind	nongold
11	the properties of something can be used to identify; used to describe that something	nongold
12	classify is similar to characterize	nongold
13	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
14	structure is a property of an object; a material; a substance	gold
15	to classify means to decide what class something belongs to	nongold
16	a mineral is a kind of object	nongold
17	classifying requires comparing	nongold
18	rock is made of minerals	nongold
19	unique  is the opposite of diverse	nongold
20	crystal is a kind of  solid	nongold
21	a mineral is a kind of solid; natural material	gold
22	to be made of something means to be formed of that something	nongold
23	classification is a kind of process	nongold
24	certain is similar to specific	nongold
25	the properties of something are used for describing that something	nongold
26	class is a measure of how a rock is formed	nongold
27	calcium is a kind of element	nongold
28	sometimes rocks are formed by quartz; feldspar mixed together	nongold
29	system is similar to structure	nongold
30	a rock is a kind of object	nongold
31	to categorize means to classify	nongold
32	to tell the difference between things means to classify those things	nongold
33	identifying is similar to determining	nongold
34	an object has properties	nongold
35	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
36	different classes of rocks are formed by different methods	nongold
37	all minerals are formed by natural geological processes	nongold
38	a structure is a kind of feature	nongold
39	can be means able to be	nongold
40	composed of means made of	nongold
41	something's function can be used to describe; identify that something	nongold
42	a type is synonymous with a kind	nongold
43	to be characterized by  a property means to have that property	nongold
44	identifying sometimes requires examining	nongold
45	sorting is similar to classifying	nongold
46	a type of something is a kind of property of that something	nongold
47	a cause of something is a reason for that something	nongold
48	including means containing	nongold
49	rock is a kind of material	nongold
50	diamond is a kind of mineral	nongold
51	objects are made of materials; substances; matter	nongold
52	a part of a living thing is a natural structure	nongold
53	classifying is a kind of science process	nongold
54	made up of means contains; made of	nongold
55	if something is made of something; a material then that something contains that something; that material	nongold
56	the shape of the crystal of a substance can be used for identifying the substance	nongold
57	metamorphic is a kind of rock	nongold
58	matter; materials; substances are made of atoms; particles	nongold
59	made of is similar to contains	nongold
60	characteristic means property	nongold
61	to identify means to discover	nongold
62	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
63	metamorphic rock is a kind of rock	nongold
64	rock means stone	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	answering questions requires information	nongold
67	composition is a property of an object; matter	nongold
68	a physical property is a kind of property	nongold
69	affected means changed	nongold
70	grouping means putting; placing in different groups	nongold
71	an object is made of its parts	nongold
72	granite is a kind of nonmetal	nongold
73	tellurium is a kind of metalloid	nongold
74	if an object is made of a material then that object has the properties of that material	nongold
75	stars can be classified by temperature; color; chemical composition; brightness	nongold
76	a kind of something is an example of that something	nongold
77	if something is a part of something else then that something else contains that something	nongold
78	mica is a kind of mineral	nongold
79	form means kind	nongold
80	a component of something means a part of that something	nongold
81	events occur at a specific place; at a specific time; with a specific frequency	nongold
82	to belong to a group means to be classified in that group	nongold
83	to change means to become different	nongold
84	measuring is used for describing an object	nongold
85	if something is made of something else then that something can be broken down into that something else	nongold
86	variability of shape; variability of volume is a kind of physical property	nongold
87	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
88	strong means high in strength	nongold
89	a property is similar to a factor	nongold
90	definite is the opposite of variable	nongold
91	variable means able to change	nongold
92	to contain something means to have that something	nongold
93	high is similar to increase	nongold
94	gypsum is a kind of mineral	nongold
95	a rock is usually a solid	nongold
96	if an object is made of something then the parts of that object are made of that something	nongold
97	metamorphosed rock is a kind of rock	nongold
98	contains means located in	nongold
99	structure is similar to shape	nongold
