Question	Which pair together could cause a rainbow?	question
Answer	Sunshine and rain	answer
0	sunlight and rain can cause a rainbow	gold
1	sunshine means sunlight	gold
2	sunlight is made of all colors in the rainbow	nongold
3	pair means two	nongold
4	rain is a kind of precipitation	nongold
5	rain is a kind of water	nongold
6	sunlight is a kind of light	nongold
7	precipitation is when water falls from the sky	nongold
8	refracting sunlight; light causes sunlight; light to split into different colors	nongold
9	precipitation is a kind of natural occurrence; cause	nongold
10	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	nongold
11	both means two	nongold
12	a sunny day has  lots of sunlight	nongold
13	clouds produce rain	nongold
14	sunny is a kind of weather	nongold
15	sunlight produces heat	nongold
16	apart is the opposite of together	nongold
17	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
18	the sun is a source of light; light energy called sunlight	nongold
19	the rainbow is made of all different colors in visible light	nongold
20	precipitation is a property of weather	nongold
21	precipitation is a kind of weather	nongold
22	the Sun is a kind of star	nongold
23	rainfall means precipitation	nongold
24	the sun is the source of solar energy called sunlight	nongold
25	rain is a source of water	nongold
26	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
27	rain; snow falls	nongold
28	water vapor condensing in clouds causes rain	nongold
29	pair is a kind of combination	nongold
30	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
31	the sun rising and setting causes cycles of day and night	nongold
32	clouds produce precipitation	nongold
33	the sunlight occurs during the day	nongold
34	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
35	a living thing is a kind of object	nongold
36	to be a source of something means to cause that something	nongold
37	a star produces light and heat	nongold
38	an animal is a kind of living thing	nongold
39	a star is a kind of celestial object; celestial body	nongold
40	sunlight means solar energy	nongold
41	a cloud is a kind of object	nongold
42	rainfall means the amount of precipitation	nongold
43	can be means able to be	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	solar energy causes the weather patterns	nongold
46	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
47	the sun setting is a kind of event	nongold
48	an event is a kind of action	nongold
49	a plant is a kind of living thing	nongold
50	amount of sunlight causes changing weather patterns	nongold
51	precipitation is a kind of  natural process	nongold
52	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
53	being in the sun is synonymous with being in the sunlight	nongold
54	a cloudy day has little sunlight	nongold
55	clouds are made of water vapor; rain droplets	nongold
56	the sun rising; setting occurs once per day	nongold
57	to cause means to have an effect	nongold
58	together means in a group	nongold
59	a cloud is a kind of weather	nongold
60	creating is similar to causing	nongold
61	sunlight is a kind of solar energy	nongold
62	hail is a kind of precipitation; ice	nongold
63	to be in the sun means to be in the sunlight	nongold
64	if two objects move apart from each other then those two objects separate from each other	nongold
65	if it is night then the sun has set	nongold
66	a tree is a kind of plant	nongold
67	Earth is a kind of planet	nongold
68	rays of the sun means sunlight	nongold
69	the day time is part of one day	nongold
70	rainstorm means rain storm	nongold
71	rainfall is the amount of rain an area receives	nongold
72	to be made of something means to be formed of that something	nongold
73	to change means to cause a change	nongold
74	a moon is a kind of celestial object; body	nongold
75	the sun rising is a kind of event	nongold
76	a flower is a kind of plant	nongold
77	the intensity of sunlight is a kind of seasonal weather pattern	nongold
78	clear weather means sunny; not cloudy; not rainy weather	nongold
79	the moon reflects sunlight towards the Earth	nongold
80	an object is made of its parts	nongold
81	daylight means sunlight	nongold
82	intensity of sunlight is similar to amount of sunlight	nongold
83	summer has the most sunlight	nongold
84	a motion is a kind of event; action	nongold
85	a storm is a source of precipitation	nongold
86	absorbing sunlight causes objects to heat	nongold
87	to cause means to make	nongold
88	not is similar to the opposite of	nongold
89	a human is a kind of animal	nongold
90	receiving sunlight  is synonymous with absorbing sunlight	nongold
91	causing means influencing	nongold
92	to cause something means to contribute to that something happening	nongold
93	the Earth revolves around the sun	nongold
94	the sun rises in the east	nongold
95	color is a kind of physical; visual property	nongold
96	shade means low sunlight	nongold
97	a leaf is a kind of plant	nongold
98	a tree is a kind of living thing	nongold
99	color is a property of  an object; a material	nongold
