Question	Physical and chemical properties can be used to classify substances. Which of these shows a chemical property?	question
Answer	Magnesium burns.	answer
0	magnesium is a kind of substance	gold
1	magnesium is a kind of alkaline earth metal	nongold
2	a chemical property is the opposite of a physical property	nongold
3	a physical property is a kind of property	nongold
4	classifying means grouping objects; materials by their properties	gold
5	classifying is when one sorts something by kind; type	nongold
6	a  chemical property is a kind of  property	nongold
7	fire causes burning	gold
8	substances have chemical properties	nongold
9	to combust means to catch fire	nongold
10	magnesium oxide is a kind of compound	nongold
11	classify is similar to characterize	nongold
12	structure is a property of an object; a material; a substance	nongold
13	to categorize means to classify	nongold
14	a flame are a part of a fire	nongold
15	a type of something is a kind of property of that something	nongold
16	sodium is a kind of metal	nongold
17	metal is a kind of substance	nongold
18	classifying requires comparing	nongold
19	fire is a kind of chemical reaction	nongold
20	magnesium fluoride; MgF2 is a kind of substance	nongold
21	chemicals means substances	nongold
22	a kind of something is classified as that something	nongold
23	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
24	a metal is a kind of element	nongold
25	tungsten is a kind of metal	nongold
26	the chemical symbol for magnesium is Mg	nongold
27	the effects of something is a property of that something	nongold
28	to belong to a class means to be a kind of something	nongold
29	zinc is a kind of metal	nongold
30	sodium is a kind of element	nongold
31	the properties of something can be used to identify; used to describe that something	nongold
32	to tell the difference between things means to classify those things	nongold
33	magnesium fluoride; MgF2 is made of magnesium metal and fluorine	nongold
34	state of matter at room temperature is a kind of physical property	nongold
35	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
36	an element is a kind of  substance	nongold
37	chromium is a kind of metal	nongold
38	An example of a chemical property is the elements a compound is made of	nongold
39	state of matter is a kind of physical property	nongold
40	chemical change is the opposite of physical change	nongold
41	fire gives off light; heat; smoke	nongold
42	combustion means fire converts chemical energy into light energy and heat energy	gold
43	a burner is a kind of object; surface	nongold
44	An example of a chemical property is how a material reacts chemically	nongold
45	iron is a kind of element	nongold
46	to classify means to decide what class something belongs to	nongold
47	potassium is a kind of element	nongold
48	a property of something is a feature of that something	nongold
49	to show means to display	nongold
50	substances are made of elements	nongold
51	an alkaline earth metal is a kind of element	nongold
52	a burner is made of metal	nongold
53	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
54	can be means able to be	nongold
55	metal is a kind of material	nongold
56	if something undergoes a physical change then the physical properties of that something will change	nongold
57	magnesium is less dense than iron	nongold
58	combustion is a kind of chemical change	gold
59	compound is a kind of chemical	nongold
60	category means kind	nongold
61	wood burns	nongold
62	chemical composition is a kind of property	nongold
63	the properties of something are used for describing that something	nongold
64	a halogen is a kind of element	nongold
65	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
66	combustibility is a kind of  chemical property	nongold
67	argon is a kind of element	nongold
68	a fire requires  oxygen to burn	nongold
69	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
70	metals are made of metal	nongold
71	reaction to light is a kind of chemical property	nongold
72	all elements are a kind of pure substance	nongold
73	chemical reactions cause new substances; different substances to form	nongold
74	high temperatures can cause an object to combust	nongold
75	form means kind	nongold
76	an element is a kind of material	nongold
77	fire transfers heat through waves	nongold
78	iron is a kind of metal	nongold
79	burning a living thing usually causes harm to that living thing	nongold
80	physical state means state of matter	nongold
81	a physical reaction is a kind of process	nongold
82	helium is a kind of element	nongold
83	aluminum is a kind of element	nongold
84	mass is a kind of physical property	nongold
85	a type is synonymous with a kind	nongold
86	classifying is a kind of science process	nongold
87	to be formed by is similar to being produced by	nongold
88	chlorine is a kind of element	nongold
89	acid can cause chemical change	nongold
90	variability of shape; variability of volume is a kind of physical property	nongold
91	to give off means to be the source of	nongold
92	Na means sodium	nongold
93	composition is a property of an object; matter	nongold
94	material composition is a kind of chemical property	nongold
95	state of matter means physical state	nongold
96	zinc chloride is a kind of compound	nongold
97	chemical reactions cause chemical change	nongold
98	gas is a kind of substance	nongold
99	classification is a kind of process	nongold
