Question	Which of these is an inherited behavior?	question
Answer	a spider spinning a web	answer
0	a spider spinning a web is an inherited characteristic	gold
1	a spider is a kind of animal	nongold
2	a spider web is used to capture food by spiders	nongold
3	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
4	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
5	a food web is made of organisms that consume other organisms; that produce their own food	nongold
6	an insect is a kind of animal	nongold
7	an animal is a kind of living thing	nongold
8	a living thing is a kind of object	nongold
9	actions mean behavior	nongold
10	animal instinct means instinctive behavior	nongold
11	an animal is a kind of organism	nongold
12	motion; movement means moving; to move	nongold
13	a human is a kind of animal	nongold
14	a worm is a kind of living thing	nongold
15	food web is synonymous with food chain	nongold
16	an organism is a living thing	nongold
17	reproductive behavior is an inherited characteristic	nongold
18	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
19	a worm is a kind of animal	nongold
20	if an animal is trained to do something then that something is a learned behavior	nongold
21	locomotion is a generally learned behavior	nongold
22	a behavior is a kind of characteristic	gold
23	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
24	a plant is a kind of living thing	nongold
25	trait means property	nongold
26	curling is a kind of behavior	nongold
27	an inherited characteristic is a kind of characteristic	nongold
28	animals learn some behaviors from watching their parents	nongold
29	species is an inherited characteristic	nongold
30	An insect is a pollinating animal	nongold
31	conditioned behavior is a kind of learned behavior	nongold
32	a plant is a kind of organism	nongold
33	a trick is a learned behavior	nongold
34	trait is synonymous with characteristic	nongold
35	social behavior is a kind of learned behavior	nongold
36	spin means rotate	nongold
37	a learned characteristic is a kind of acquired characteristic	nongold
38	a mammal is a kind of animal	nongold
39	an animal knows how to do  instinctive behaviors when it is born	nongold
40	a kind of something is an example of that something	nongold
41	locomotion means movement	nongold
42	An example of an inherited behavior is a bird building a nest	nongold
43	spiders eat insects	nongold
44	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
45	a wheel is a kind of object	nongold
46	inherited characteristics can change over several generations	nongold
47	a leaf is a kind of object	nongold
48	adaptation is when an organism develops a trait over time for survival	nongold
49	person is synonymous with human	nongold
50	inherited characteristics are a kind of hereditary information	nongold
51	communication is a learned behavior	nongold
52	skills are learned characteristics; behaviors	nongold
53	an egg is a kind of object	nongold
54	a landform is a kind of object	nongold
55	an insect is a kind of prey	nongold
56	rotation is a kind of motion	nongold
57	webbed is a kind of shape	nongold
58	hibernation is an inherited behavior	nongold
59	vertical webs are used for catching flying insects by spiders	nongold
60	form means kind	nongold
61	an animal; living thing requires nutrients for survival	nongold
62	rattle is a kind of motion	nongold
63	a reptile is a kind of animal	nongold
64	doing something more is a kind of conditioned behavior	nongold
65	genes are able to determine the inherited characteristics of a living thing	nongold
66	the type of seed of a plant is an inherited characteristic	nongold
67	an event is a kind of action	nongold
68	affected means changed	nongold
69	a human is a kind of mammal	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	nest building is a kind of behavior	nongold
72	children; young is synonymous with offspring	nongold
73	a motion is a kind of event; action	nongold
74	an adaptation is a kind of characteristic	nongold
75	rolling is a kind of motion	nongold
76	a leaf is a kind of plant	nongold
77	walking is a kind of behavior	nongold
78	an organism's environment affects that organism's acquired characteristics	nongold
79	a fly is a kind of insect	nongold
80	an ant is a kind of insect	nongold
81	a wasp is a kind of insect	nongold
82	playing with toys is a learned characteristic	nongold
83	a rotation is a kind of movement	nongold
84	a beetle is a kind of insect	nongold
85	using tools is a learned characteristic	nongold
86	action means activity	nongold
87	a moth is a kind of insect	nongold
88	human is a kind of organism	nongold
89	a stick is a kind of object	nongold
90	producing is similar to causing	nongold
91	a plant; living thing requires food for survival	nongold
92	the condition of parts of an organism are acquired characteristics	nongold
93	food is a kind of object	nongold
94	turning is a kind of motion	nongold
95	a person is a kind of animal	nongold
96	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
97	howling is a kind of behavior	nongold
98	pulling is a kind of motion	nongold
99	transport means to move; to make travel	nongold
