Question	In an accurate diagram of the solar system, which object would be shown closest to Earth?	question
Answer	the Moon	answer
0	the moon is the celestial object that is closest to the  Earth	gold
1	the Sun is the  star that is closest to Earth	nongold
2	the Moon is closer to the Earth than the Sun	nongold
3	Earth is a kind of planet	gold
4	the Moon is Earth's moon	nongold
5	the moon orbits the Earth	nongold
6	a moon is a kind of celestial object; body	nongold
7	near means close	nongold
8	a planet is a kind of celestial object; body	nongold
9	the solar system is a kind of system	nongold
10	near; close is the opposite of far; away	nongold
11	the solar system contains the moon	gold
12	moons are large; solid; spherical	nongold
13	a star is a kind of celestial object; celestial body	nongold
14	a planet is a kind of location	nongold
15	furthest; farthest means greatest; most; highest in distance	nongold
16	proximity means distance	nongold
17	Earth is a planet that is closer to the  Sun than Jupiter	nongold
18	the Sun is a kind of star	nongold
19	closer means lower; less; a decrease in distance	nongold
20	astronomy is the study of celestial (objects, bodies)	nongold
21	to show means to display	nongold
22	close means low in distance	nongold
23	moons; comets; planets are part of the solar system	nongold
24	Earth is the planet that is third closest to the  Sun	nongold
25	far is the opposite of close	nongold
26	far means great in distance	nongold
27	the solar system contains eight planets	gold
28	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
29	a planet is a kind of place	nongold
30	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
31	distant means far away	nongold
32	distance is a property of space and includes ordered values of close; far	nongold
33	the moon reflects sunlight towards the Earth	nongold
34	the Earth revolves around the sun	nongold
35	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
36	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
37	the sun is a kind of yellow dwarf	nongold
38	if an object is close then that object will appear large	nongold
39	planets in the solar system orbit the Sun	nongold
40	our Sun is located at the center of our solar system	nongold
41	system means a set of objects	nongold
42	to see means to look	nongold
43	sunlight is a kind of solar energy	nongold
44	distant means great in distance	nongold
45	a planet's  moon is smaller than that planet	nongold
46	the sun is a source of light; light energy called sunlight	nongold
47	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
48	Earth is made of rock	nongold
49	astronomical unit is a measure of distance between Earth and the Sun	nongold
50	the sun is a source of radiation; heat called sunlight	nongold
51	the  moon's surface contains flat areas	nongold
52	type of moon; kind of moon means moon phase	nongold
53	the sun is the source of solar energy called sunlight	nongold
54	the four planets closest to the sun are made of rock	nongold
55	the moon rotates on its axis	nongold
56	the location of an object can be used to describe that object	nongold
57	to view means to see	nongold
58	when the Sun is located directly overhead , it is located at the highest point in the sky	nongold
59	the moon's orbit is elliptical	nongold
60	the four planets farthest from the sun are made of gas	nongold
61	the sun  is the source of energy for physical cycles on Earth	nongold
62	sunlight means solar energy	nongold
63	moons orbit planets	nongold
64	objects are made of materials; substances; matter	nongold
65	solar energy is a kind of heat energy	nongold
66	Neptune is the furthest planet from the sun in the solar system	nongold
67	astronomical body means celestial body	nongold
68	place; location is synonymous with position	nongold
69	a moon is located in space	nongold
70	image means visual depiction of an object	nongold
71	answering questions requires information	nongold
72	sight means to see	nongold
73	towards means closer to something	nongold
74	Earth's surface is made of rock	nongold
75	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
76	an part of an object is smaller than the entire object	nongold
77	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
78	a body system is a kind of object	nongold
79	motion is when moves an object; something to a direction	nongold
80	solar energy is a kind of light	nongold
81	observe means see	nongold
82	measuring is used for describing an object	nongold
83	solar radiation means solar energy	nongold
84	the moon orbiting the Earth occurs approximately 13 times per year	nongold
85	the moon is less bright than the sun	nongold
86	can be means able to be	nongold
87	seeing is used for sensing visual things	nongold
88	the moon does not contain air; water	nongold
89	the sun is  the largest celestial body in our solar system	nongold
90	near means local	nongold
91	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
92	attract means move closer	nongold
93	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
94	the earth has more mass than the moon	nongold
95	Neptune is a kind of planet in the solar system	nongold
96	the sun is the source of energy for life on Earth	nongold
97	astronomy is a kind of branch of science	nongold
98	a surface is a part of an object	nongold
99	sunlight is a kind of light	nongold
