Question	Which of the following describes how a microwave oven heats food?	question
Answer	Water molecules in the food absorb the energy of microwave radiation.	answer
0	microwave radiation is used for heating food by microwaves by heating water molecules in the food	gold
1	absorbing energy causes objects; materials; substances to heat	gold
2	an oven is a source of heat	nongold
3	if heat is added to a substance then that substance absorbs that heat	nongold
4	heating elements are usually a part of an oven	nongold
5	heating means adding heat	nongold
6	a microwave cooks food faster than an oven does	nongold
7	heat energy is synonymous with thermal energy	nongold
8	if something transfers energy to something else then that something else absorbs that energy	nongold
9	substances are made of molecules	nongold
10	temperature is a measure of heat energy	nongold
11	heat means heat energy	nongold
12	water is a kind of substance	gold
13	cooking food requires adding heat energy to the food	nongold
14	thermal energy is a kind of energy	nongold
15	heat is a kind of energy	nongold
16	the properties of something are used for describing that something	nongold
17	water is a kind of liquid at room temperature	nongold
18	if food is cooked then heat energy is added to that food	nongold
19	water absorbs light energy	nongold
20	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
21	an oven is a kind of electrical device	nongold
22	water is an thermal; thermal energy conductor	nongold
23	most chemical reactions release or absorb heat energy	nongold
24	microwave is a kind of electromagnetic wave	nongold
25	a stove generates heat for cooking usually	nongold
26	food is a kind of chemical energy	nongold
27	if something transfers something else then that something is a source of something else	nongold
28	a molecule is a kind of object	nongold
29	matter is made of molecules	nongold
30	a source of heat can be used to heat something	nongold
31	a source of heat can be used to heat something	nongold
32	absorption is a kind of process	nongold
33	food is a kind of substance	nongold
34	baking is when a human makes food by adding heat	nongold
35	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
36	to give off means to be the source of	nongold
37	a hot; warm something is a source of heat	nongold
38	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
39	water is a kind of compound	nongold
40	water is a kind of matter	nongold
41	microwave is a part of the electromagnetic spectrum	nongold
42	baking is similar to cooking	nongold
43	a stove is used for cooking by generating heat	nongold
44	a molecule is made of atoms chemically combined; bonded	nongold
45	light energy can be used to heat up  an object by radiation	nongold
46	hot means high in heat energy; temperature	nongold
47	radiation is when electromagnetic waves transfers heat and light energy	nongold
48	if something absorbs something else then that something will contain that something else	nongold
49	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
50	the sun is a source of radiation; heat called sunlight	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	food is a source of energy for animals; plants	nongold
53	radiation is when heat is transferred through waves; particles	nongold
54	solar energy is a kind of heat energy	nongold
55	absorption is a kind of event	nongold
56	a molecule is a kind of particle	nongold
57	a hot substance is a source of heat	nongold
58	chemical energy is a kind of energy	nongold
59	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
60	to add means to increase	nongold
61	adding heat means increasing temperature	nongold
62	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
63	water is a kind of object	nongold
64	a molecule is the smallest particle; unit that has the properties of a compound	nongold
65	radiation is a kind of process	nongold
66	a pure substance is made of only one kind of atom; molecule	nongold
67	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
68	a molecule is exceptionally small in size	nongold
69	matter; materials; substances are made of atoms; particles	nongold
70	emit means produce	nongold
71	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
72	heat energy  can be used to heat up  an object	nongold
73	solar radiation means solar energy	nongold
74	electrical energy is a kind of energy	nongold
75	an increase is the opposite of a decrease	nongold
76	water is a kind of water phase	nongold
77	if heat is absorbed from a source then that heat source will cool	nongold
78	absorbing is a kind of function	nongold
79	high is similar to increase	nongold
80	living things are made of organic molecules	nongold
81	material means substance	nongold
82	cooking is a kind of process	nongold
83	gas is a kind of substance	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	cooking causes a chemical reaction	nongold
86	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
87	light is a kind of electromagnetic radiation	nongold
88	if something releases something else then that something is the source of that something else	nongold
89	a heating element converts electrical energy; electricity into heat energy for heating	nongold
90	can be means able to be	nongold
91	a pan;frying pan is a kind of container for cooking; food	nongold
92	food is a kind of object	nongold
93	if something causes an increase in something else then that something produces that something else	nongold
94	substances are made of matter	nongold
95	thermal conduction is when heat flows from warmer object to cooler object	nongold
96	an exothermic process releases heat energy; light energy	nongold
97	if an object is made of a material then that object has the properties of that material	nongold
98	to emit means to release	nongold
99	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
