Question	As the molecules of water begin to slow down they go into a phase where they are no longer able to easily move past each other. The water is passing through a phase change and will	question
Answer	remain a compound.	answer
0	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
1	water is a kind of compound	gold
2	a compound is a kind of substance	nongold
3	to slow; to slow down decreases speed	nongold
4	phase means state	nongold
5	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
6	a molecule is made of atoms chemically combined; bonded	nongold
7	water is a kind of water phase	nongold
8	water is a kind of matter	nongold
9	to remain means to not change	gold
10	water is a kind of substance	nongold
11	substances are made of molecules	nongold
12	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
13	a compound is a kind of material	nongold
14	to remain means to stay where it is	nongold
15	to undergo is similar to to pass through	gold
16	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	nongold
17	passage is passing	nongold
18	compound is a kind of chemical	nongold
19	to pass through means to move through	nongold
20	a molecule is the smallest particle; unit that has the properties of a compound	nongold
21	stay the same means not changing	nongold
22	a decrease is a kind of change	nongold
23	to pass means to occur	nongold
24	water is a kind of liquid at room temperature	nongold
25	to stay means to continue to exist	nongold
26	staying means not changing	nongold
27	liquid is a kind of state of matter	nongold
28	passing through is similar to entering	nongold
29	a molecule is a kind of object	nongold
30	matter is made of molecules	nongold
31	an increase is the opposite of a decrease	nongold
32	a chemical compound is a kind of compound	nongold
33	to remain means to stay the same	nongold
34	a molecule is exceptionally small in size	nongold
35	an increase is a kind of change	nongold
36	heat energy can change the state of matter	nongold
37	no longer means used to be	nongold
38	a pure substance is made of only one kind of atom; molecule	nongold
39	motion; movement means moving; to move	nongold
40	to pass means to travel	nongold
41	gas is a kind of state of matter	nongold
42	substances are made of matter	nongold
43	to add means to increase	nongold
44	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
45	matter; materials; substances are made of atoms; particles	nongold
46	reducing is similar to slowing	nongold
47	temperature changing can cause phase changes	nongold
48	substances have chemical properties	nongold
49	evaporating is a kind of phase change	nongold
50	to change means to cause a change	nongold
51	chemical reactions cause new substances; different substances to form	nongold
52	phase changes change the arrangement of molecules in a substance; in a sample	nongold
53	as temperature increases , the speed of molecules will increase	nongold
54	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
55	solid is a kind of state of matter	nongold
56	a molecule is a kind of particle	nongold
57	shift means move	nongold
58	high is similar to increase	nongold
59	to pass means to transfer	nongold
60	a compound can be chemically separated into the elements that it is made of	nongold
61	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
62	chemical change is the opposite of physical change	nongold
63	temperature is a measure of kinetic energy of molecules	nongold
64	temperature is a measure of heat energy	nongold
65	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
66	particles in a liquid flows past each other	nongold
67	ability to undergo a phase change is a property of a substance; material	nongold
68	when two substances together form a compound then those substances cannot be physically separated	nongold
69	state of matter means physical state	nongold
70	if something undergoes physical change then the chemical properties of that something will remain unchanged	gold
71	to lower means to decrease	nongold
72	affected means changed	nongold
73	to retain means to remain	nongold
74	variable means able to change	nongold
75	to reduce means to decrease	nongold
76	adding heat means increasing temperature	nongold
77	able is the opposite of unable	nongold
78	formation of a state of matter is a kind of process	nongold
79	a liquid is a kind of substance	nongold
80	movement is a kind of change	nongold
81	speed up means increase	nongold
82	if something is insoluble in something , then they will remain separated	nongold
83	to convert means to change	nongold
84	low is similar to decrease	nongold
85	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
86	moving is similar to travelling	nongold
87	to cross means to pass	nongold
88	chemical reactions cause chemical change	nongold
89	water is made of hydrogen and oxygen	nongold
90	materials are made of matter	nongold
91	a compound is made of two or more elements that have been chemically combined	gold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	substances are made of elements	nongold
94	Matter in the gas phase has variable shape	nongold
95	to transform means to convert	nongold
96	becoming is similar to changing	nongold
97	motion is when moves an object; something to a direction	nongold
98	chemical compounds contain chemical bonds between atoms; between elements	nongold
99	boiling is a kind of phase change	nongold
