Question	Which action is an example of an exothermic process?	question
Answer	making ice cubes	answer
0	an ice cube is a kind of object	nongold
1	an ice cube is a kind of solid	gold
2	ice cube is made of ice	nongold
3	a cube is a kind of object	nongold
4	an exothermic process releases heat energy; light energy	gold
5	freezing is a kind of  exothermic process	gold
6	melting is a kind of endothermic reaction	nongold
7	a motion is a kind of event; action	nongold
8	an event is a kind of action	nongold
9	an exothermic reaction increases the amount of heat	nongold
10	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
11	cold pack reaction is a kind of endothermic reaction	nongold
12	action means activity	nongold
13	an endothermic reaction converts heat energy into chemical energy	nongold
14	ice is a kind of food	nongold
15	a kind of something is an example of that something	nongold
16	an endothermic process usually requires more heat energy from its surroundings than it gives off heat	nongold
17	a reaction is a kind of process	nongold
18	a hot pack reaction is a kind of exothermic reaction	nongold
19	combustion is a kind of exothermic reaction	nongold
20	nuclear reaction is a kind of exothermic reaction	nongold
21	an endothermic reaction absorbs heat energy from its surroundings	nongold
22	ice is a kind of object	nongold
23	melting is a kind of process	nongold
24	the reaction between baking soda and vinegar is a kind of endothermic reaction	nongold
25	ice is a kind of solid	nongold
26	make means produce	nongold
27	water is a kind of substance	nongold
28	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
29	ice cream is a kind of solid	nongold
30	forming is a kind of action	nongold
31	cooking is a kind of action	nongold
32	providing something means making;delivering something	nongold
33	water is a kind of liquid at room temperature	nongold
34	breaking down fat and sugar is a kind of exothermic reaction	nongold
35	methane reacting with oxygen is a kind of exothermic reaction	nongold
36	a process is a kind of event	nongold
37	a liquid is a kind of substance	nongold
38	action can cause change	nongold
39	actions mean behavior	nongold
40	a chemical reaction is a kind of process	nongold
41	to cause means to make	nongold
42	dissolving is a kind of action	nongold
43	production is similar to making	nongold
44	producing is a kind of process	nongold
45	ice crystals means  ice	nongold
46	Mars contains ice	nongold
47	an organism eating is a kind of action	nongold
48	provide is similar to give; make	nongold
49	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
50	recycling is a kind of action	nongold
51	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
52	ice is colder than water in temperature	nongold
53	temperature is a measure of heat energy	nongold
54	icy means made of ice	nongold
55	burning is a kind of action	nongold
56	if something causes a process then that something is required for that process	nongold
57	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
58	a producer is a kind of living thing	nongold
59	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
60	to be used for something means to be required by that something	nongold
61	becoming is a kind of action	nongold
62	process is similar to method	nongold
63	revolving is a kind of action	nongold
64	heat means heat energy	nongold
65	manufacturing means making	nongold
66	cooling is a kind of process	nongold
67	a part of a process means a stage in a process	nongold
68	leaving something on is a kind of action	nongold
69	bringing is a kind of action	nongold
70	water is a kind of object	nongold
71	ice is a kind of water phase	nongold
72	give off is similar to make	nongold
73	a process usually requires all of the stages in that process	nongold
74	placing is a kind of action	nongold
75	creating means making	nongold
76	manufacture means make	nongold
77	developing means making	nongold
78	to cause an event is similar to being involved in that event	nongold
79	a product is a kind of object	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	concluding is a kind of action	nongold
82	food is a kind of substance	nongold
83	squeezing is a kind of action	nongold
84	can be means able to be	nongold
85	the function of something is what that something  is used to do	nongold
86	water is a kind of matter	nongold
87	to create means to make	nongold
88	converting is similar to producing	nongold
89	heating means adding heat	nongold
90	flowing is a kind of action	nongold
91	chemical reactions cause new substances; different substances to form	nongold
92	to happen means to occur	nongold
93	to add means to increase	nongold
94	a physical reaction is a kind of process	nongold
95	a container contains objects; material; substances	nongold
96	chemical change is a kind of chemical reaction	nongold
97	burning coal is a kind of exothermic reaction	nongold
98	chemical reactions cause chemical change	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
