Question	A wind turbine primarily uses which type of energy?	question
Answer	mechanical	answer
0	a type is synonymous with a kind	gold
1	a wind turbine is a kind of windmill	gold
2	mechanical energy is a kind of energy	gold
3	a windmill converts wind energy into electrical energy; electricity primarily by using mechanical energy	gold
4	An example of mechanical energy is an object in motion	nongold
5	to use means to utilize	nongold
6	a type of something is a kind of property of that something	nongold
7	wind is a source of energy	nongold
8	a heat engine converts heat energy into mechanical energy	nongold
9	a turbine is a kind of object	nongold
10	a simple machine requires mechanical energy to function	nongold
11	wind means moving air	nongold
12	form means kind	nongold
13	wind is a renewable; inexhaustible resource	nongold
14	wind   is a kind of airflow	nongold
15	a kind of something is an example of that something	nongold
16	to be used for something means to be required by that something	nongold
17	solar energy is a kind of energy	nongold
18	kinetic energy is a kind of mechanical energy	nongold
19	resources sometimes are used for energy	nongold
20	mechanical weathering is a kind of weathering	nongold
21	a source of something emits; produces; generates; provides that something	nongold
22	heat is a kind of energy	nongold
23	classifying is when one sorts something by kind; type	nongold
24	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
25	windmills require high wind force to generate electricity	nongold
26	mechanical force is a kind of mechanical energy	nongold
27	variety means different kinds; different types	nongold
28	a motion is a kind of event; action	nongold
29	an increase is a kind of change	nongold
30	mechanical energy can  cause objects to move	nongold
31	an energy source is a kind of resource	nongold
32	if something is powered by something else then that something requires a source of that something else	nongold
33	mechanical energy is used to move something by animals	nongold
34	solar energy is a kind of heat energy	nongold
35	the function of something is what that something  is used to do	nongold
36	a fan converts electrical energy into mechanical energy; heat energy; sound energy	nongold
37	an event is a kind of action	nongold
38	a process is a kind of event	nongold
39	a rocket is a kind of mechanical system	nongold
40	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
41	wind is used for producing electricity	nongold
42	to create means to make	nongold
43	to produce means to create	nongold
44	mechanical weathering is when rocks are broken down by mechanical means	nongold
45	converting is similar to producing	nongold
46	to power means to provide energy for	nongold
47	heat means heat energy	nongold
48	sound is produced when mechanical energy is transformed into sound energy	nongold
49	to generate means to create	nongold
50	light is a kind of energy	nongold
51	light is a kind of energy	nongold
52	answering questions requires information	nongold
53	if something transfers something else then that something is a source of something else	nongold
54	using an object often requires creating that object	nongold
55	to increase is similar to to create	nongold
56	generate means produce	nongold
57	wind turbine farms require a lot of area	nongold
58	can be means able to be	nongold
59	converting is similar to generating	nongold
60	where something  comes from is a source of that something	nongold
61	a machine is a kind of  device	nongold
62	a component means a part of	nongold
63	if something is a raw material in a process then that something is required for that process	nongold
64	to form means to create	nongold
65	to convert means to change	nongold
66	electrical energy is a kind of energy	nongold
67	pulling is a kind of motion	nongold
68	if something releases something else then that something is the source of that something else	nongold
69	to generate means to form	nongold
70	creating means making	nongold
71	a part of a process means a stage in a process	nongold
72	living things require respiration to use energy	nongold
73	An example of using water is a windmill pumping water on a farm	nongold
74	a hurricane is a kind of heat engine	nongold
75	emit means produce	nongold
76	composed of means made of	nongold
77	producing is a kind of process	nongold
78	energy transformation means one kind of energy changes into another kind of energy	nongold
79	if something causes a process then that something is required for that process	nongold
80	variable means able to change	nongold
81	make means produce	nongold
82	chemical energy is a kind of energy	nongold
83	waves contain mechanical energy	nongold
84	the properties of something are used for describing that something	nongold
85	to be formed by is similar to being produced by	nongold
86	to make means to form	nongold
87	high is similar to increase	nongold
88	rotation is a kind of motion	nongold
89	forming is similar to converting	nongold
90	temperature is a measure of heat energy	nongold
91	useful means able to be used	nongold
92	forming something is a kind of change	nongold
93	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
94	flowing is a kind of motion	nongold
95	technology is similar to tool	nongold
96	a process usually requires all of the stages in that process	nongold
97	to add means to increase	nongold
98	a component of something means a part of that something	nongold
99	breaking down is a kind of function	nongold
