Question	Which substance is a compound?	question
Answer	table salt	answer
0	table salt means sodium chloride	gold
1	table salt is a kind of salt	nongold
2	salt is a kind of pure substance	nongold
3	In the solution salt water , the solute is salt	nongold
4	a compound is a kind of substance	gold
5	salt is a kind of solid	nongold
6	compound is a kind of chemical	nongold
7	sodium chloride means salt	nongold
8	salt is soluble in water	nongold
9	chlorine is a kind of element	gold
10	salt water is made of salt and water	nongold
11	a chemical compound is a kind of compound	nongold
12	sodium chloride is always made of chemically combined chlorine and sodium	gold
13	hydrogen chloride is made of hydrogen and chlorine	nongold
14	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
15	water is a kind of compound	nongold
16	zinc chloride is a kind of compound	nongold
17	potassium is a kind of element	nongold
18	a compound is made of two or more elements that have been chemically combined	gold
19	sodium chloride dissolves in water when they are combined	nongold
20	sodium chloride is a kind of substance	nongold
21	a liquid is a kind of substance	nongold
22	sodium chloride is a kind of chemical compound	nongold
23	ammonia is a kind of base	nongold
24	a nonmetal is a kind of element	nongold
25	all elements are a kind of pure substance	nongold
26	sodium is a kind of element	gold
27	In the solution salt water , the solvent is water	nongold
28	a compound is a kind of material	nongold
29	if something is dissolved , then that something is the solute	nongold
30	NaCl means sodium chloride	nongold
31	if a substance is made of one element , then the substance is called an element	nongold
32	sodium carbonate is a kind of  compound	nongold
33	hydrochloric acid is a kind of acid	nongold
34	chlorine is a kind of green, poisonous gas	nongold
35	substances are made of elements	nongold
36	nonmetal means nonmetals	nongold
37	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
38	ammonia is a kind of substance	nongold
39	chemicals means substances	nongold
40	an element is a kind of  substance	nongold
41	a compound can be chemically separated into the elements that it is made of	nongold
42	An example of a chemical property is the elements a compound is made of	nongold
43	ammonia is made of nitrogen and hydrogen	nongold
44	neutralization is when an acid and a base react to form water and salt	nongold
45	organic compounds do not contain potassium	nongold
46	a solute can be dissolved in a solvent when they are combined	nongold
47	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
48	sodium carbonate is made of sodium, carbon, oxygen	nongold
49	K means potassium	nongold
50	sodium bicarbonate is a kind of compound	nongold
51	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
52	salt water is an electrical; electrical energy conductor	nongold
53	food is a kind of substance	nongold
54	material means substance	nongold
55	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
56	heating salt water causes the water to evaporate while the salt remains	nongold
57	salt is made of salt crystals	nongold
58	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
59	sodium is a kind of metal	nongold
60	a carbohydrate is a kind of compound	nongold
61	an element is a kind of material	nongold
62	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
63	iron sulfide is made of iron and sulfur	nongold
64	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
65	combining; mixing two substances chemically causes chemical reactions	nongold
66	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
67	a halogen is a kind of element	nongold
68	hydrogen is a kind of element	nongold
69	sodium chloride is a kind of molecule	nongold
70	acidic means low; 0 to 6 in pH	nongold
71	water is a kind of liquid at room temperature	nongold
72	Na means sodium	nongold
73	water is a kind of substance	nongold
74	to be made of something means to be formed of that something	nongold
75	iron sulfide can be formed by heating a mixture of powdered iron and sulfur	nongold
76	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
77	answering questions requires information	nongold
78	salt water is a kind of solution	nongold
79	made up of means contains; made of	nongold
80	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
81	water contains dissolved oxygen	nongold
82	oxygen  is a kind of element	nongold
83	made of is similar to contains	nongold
84	adding salt to a liquid decreases the melting point of that liquid	nongold
85	an acid is acidic	nongold
86	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
87	can be means able to be	nongold
88	nonmetal means not metal	nongold
89	composed of means made of	nongold
90	substances have chemical properties	nongold
91	a  solute is a part of a solution	nongold
92	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
93	a source of something emits; produces; generates; provides that something	nongold
94	a solid is a kind of substance	nongold
95	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
96	nitrogen is a kind of element	nongold
97	boiling is when liquids are heated above their boiling point	nongold
98	a solution is formed by one substance being dissolved in another substance	nongold
99	if something is made of something; a material then that something contains that something; that material	nongold
