Question	Which of the following helps the body to cool down?	question
Answer	sweating	answer
0	sweat cools; helps to cool a body	gold
1	temperature is a measure of heat energy	nongold
2	heat means temperature increases	nongold
3	heat means heat energy	nongold
4	to sweat means the body discharges water	nongold
5	if an animal sweats then that animal's bodily water decreases	nongold
6	heating means adding heat	nongold
7	helping something has a  positive impact on that something	nongold
8	sweat is a kind of liquid	nongold
9	sweat is used for adjusting to hot temperatures by some animals	nongold
10	when the body is hot , sweat is produced to cool the body	gold
11	moisture means liquid; liquid water	nongold
12	warm up means increase temperature	nongold
13	keeping cool means not increasing temperature	nongold
14	temperature is a kind of condition	nongold
15	to be used  for something means to help to do that something	nongold
16	hot means high in heat energy; temperature	nongold
17	an animal usually requires a warm body temperature for survival	nongold
18	staying cool is the opposite of becoming hot	nongold
19	shivering is when an animal creates heat by shaking to keep the body warm	nongold
20	cooling means temperature decreases	nongold
21	helping bodily processes has a positive impact on an animal; an animal's health	nongold
22	helping means to assist in a change	nongold
23	to lower means to decrease	nongold
24	to help; to benefit means to be of use	nongold
25	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
26	heat energy is synonymous with thermal energy	nongold
27	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
28	to get hot means become hot	nongold
29	to reduce means to decrease	nongold
30	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
31	cold means low in temperature	nongold
32	to slow; to slow down decreases speed	nongold
33	if a living thing becomes too cold then that living thing will die	nongold
34	the body is a part of an organism	nongold
35	a human is a kind of animal	nongold
36	dry means low in amount of water; wetness; moisture	nongold
37	cool means cold	nongold
38	requiring is similar to needing help	nongold
39	heat is a kind of energy	nongold
40	high is similar to increase	nongold
41	water is a kind of liquid at room temperature	nongold
42	low is similar to decrease	nongold
43	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
44	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
45	increase means more	nongold
46	person is synonymous with human	nongold
47	an increase is the opposite of a decrease	nongold
48	friction causes the temperature of an object to increase	nongold
49	moist means high in moisture	nongold
50	an animal is a kind of organism	nongold
51	cooling is a kind of condition	nongold
52	human is a kind of organism	nongold
53	adding heat means increasing temperature	nongold
54	damp means a large amount of water	nongold
55	moderate means medium in  temperature; warmth	nongold
56	if one surface; one substance; one object touches something then one is exposed to that something	nongold
57	become cold means get cold	nongold
58	to enable is to help	nongold
59	temperature drop means temperature decrease	nongold
60	hot is the opposite of  cold	nongold
61	to make something easier means to help	nongold
62	shivering is a kind of shaking	nongold
63	to depend on; to rely on; to need means to require	nongold
64	colder; cooler means lower in temperature	nongold
65	to help means to aid	nongold
66	a surface is a part of an object	nongold
67	temperature is a property of weather	nongold
68	a surface is a part of a material	nongold
69	the body of a mammal is a source of heat	nongold
70	temperature  rise means temperature increase	nongold
71	if an object is hot then the surfaces of that object are hot	nongold
72	water is a kind of substance	nongold
73	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
74	material means substance	nongold
75	to add means to increase	nongold
76	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
77	if an organism becomes too hot then that organism may die	nongold
78	an animal requires warmth for survival	nongold
79	counter means reduce; stop; resist	nongold
80	low means down	nongold
81	extreme temperatures cause an organism's energy levels to decrease	nongold
82	warmer means greater; higher in temperature; warmth	nongold
83	strong means high in strength	nongold
84	warm means medium heat energy; temperature	nongold
85	good means positive	nongold
86	to give is similar to to cause	nongold
87	become warm means get warm	nongold
88	skin is a part of an animal; plant	nongold
89	an animal is a kind of living thing	nongold
90	warm means warm temperature	nongold
91	to impact means to affect	nongold
92	intense heat has a negative impact on an organism	nongold
93	to enhance means to increase	nongold
94	shaking is a kind of motion	nongold
95	best means most positive	nongold
96	to improve means to have a positive impact	nongold
97	heat means the transfer of thermal energy	nongold
98	better means good	nongold
99	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
