Question	Scientists claim that the continents of South America and Africa were once a single landmass. All of the following observations support this claim except	question
Answer	similar fish live in the ocean off the coasts of these continents.	answer
0	Africa is a kind of continent	gold
1	South America is a kind of continent	gold
2	South Africa is located in the southern hemisphere	nongold
3	South Africa is located in the southern hemisphere	nongold
4	a fish is a kind of aquatic animal	nongold
5	South America is located in the Southern Hemisphere	nongold
6	coastline means coast	nongold
7	a fish lives in water	nongold
8	North America is located in the Northern Hemisphere	nongold
9	an aquatic animal is a kind of animal	nongold
10	aquatic animal means water animal	nongold
11	a fish is a kind of animal	nongold
12	a coast is where land meets the edge of a body of water	nongold
13	a coast is a coastal area	nongold
14	aquatic animals; plants live in bodies of water	nongold
15	a coast is a kind of environment	nongold
16	ocean animal is similar to water animal	nongold
17	an ocean is a kind of body of water	nongold
18	if two or more continents have similar fossils; rocks then those continents probably once were a single landmass	gold
19	the United States of America is a kind of location	nongold
20	if two land masses were once connected then those two landmasses were once a single land mass	nongold
21	a deep sea animal is a kind of marine organism	nongold
22	sea means ocean	nongold
23	a coastal area is a kind of environment	nongold
24	South Carolina is a state located in the United States of America	nongold
25	an animal is a kind of living thing	nongold
26	North Carolina is a state located in the United States of America	nongold
27	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
28	maritime means close to the ocean	nongold
29	American Samoa (United States) is located in the southern hemisphere	nongold
30	North Dakota is a state located in the United States of America	nongold
31	except means not	nongold
32	South Dakota is a state located in the United States of America	nongold
33	an animal is a kind of organism	nongold
34	an organism is a living thing	nongold
35	scientists make observations	nongold
36	organisms lived in the water when they first appeared on Earth	nongold
37	animals; living things live and feed in their habitats; near their habitats	nongold
38	a fish is a kind of predator	nongold
39	oceans are located on Earth	nongold
40	West Virginia is a state located in the United States of America	nongold
41	a body of water is a kind of environment	nongold
42	Alaska is a state located in the United States of America	nongold
43	deep sea animals live deep in the ocean	nongold
44	a continent is a kind of large land mass	nongold
45	Indiana is a state located in the United States of America	nongold
46	ocean is a source of wild fish for human populations	nongold
47	Louisiana is a state located in the United States of America	nongold
48	a continent is a kind of location	nongold
49	a body of water contains water	nongold
50	California is a state located in the United States of America	nongold
51	oceans cover 70% of the surface of the earth	nongold
52	a shore is the land found at the edge of a body of water	nongold
53	a mammal is a kind of animal	nongold
54	a fish is a kind of scaled animal	nongold
55	Pennsylvania is a state located in the United States of America	nongold
56	an amphibian is a kind of animal	nongold
57	an animal; living thing requires nutrients for survival	nongold
58	most predators live in; live near the same environment as their prey	nongold
59	an ocean is a kind of habitat	nongold
60	marine is similar to water	nongold
61	Atlantic Ocean is a kind of ocean	nongold
62	oceans contains most of  earth's water	nongold
63	habitat is similar to environment	nongold
64	humans live on land	nongold
65	usually a body of water is located outside	nongold
66	organisms can be found in their habitats	nongold
67	Delaware is a state located in the United States of America	nongold
68	RhodeIsland is a state located in the United States of America	nongold
69	humans sometimes eat fish	nongold
70	north is the opposite of south	nongold
71	Connecticut is a state located in the United States of America	nongold
72	a living thing is a kind of object	nongold
73	if two or more continents have similar rocks of similar ages then those continents probably once were a single landmass	gold
74	animals; living things require water for survival	nongold
75	Massachusetts is a state located in the United States of America	nongold
76	organisms; living things live in their habitat; their home	nongold
77	Arkansas is a state located in the United States of America	nongold
78	sharks live in oceans	nongold
79	Ohio is a state located in the United States of America	nongold
80	once-living means dead	nongold
81	Georgia is a state located in the United States of America	nongold
82	a hemisphere is a kind of place	nongold
83	adult amphibians live on land	nongold
84	Kentucky is a state located in the United States of America	nongold
85	an animal is a member of an animal species	nongold
86	Wisconsin is a state located in the United States of America	nongold
87	Vermont is a state located in the United States of America	nongold
88	Alabama is a state located in the United States of America	nongold
89	an island is a kind of landform	nongold
90	a shark is a kind of fish	nongold
91	life means living things	nongold
92	Nevada is a state located in the United States of America	nongold
93	fish eat insects	nongold
94	a  fish is cold-blooded	nongold
95	Texas is a state located in the United States of America	nongold
96	the Southern Hemisphere is located south of the Northern Hemisphere	nongold
97	Arizona is a state located in the United States of America	nongold
98	a salamander is a kind of aquatic animal	nongold
99	a body of water is a source of water	nongold
