Question	A student stands on a scale, and the scale reads 85 pounds. What is being measured by the scale?	question
Answer	the force of gravity acting on the student	answer
0	weight means the force of gravity acting on an object	gold
1	Weight is  the  force of gravity acting on an object	nongold
2	a pound is a kind of unit for measuring mass	nongold
3	a scale is used for measuring weight	gold
4	a student is a kind of human	gold
5	measuring requires reading a measurement	nongold
6	weight is a measure of the force of the gravity on the mass of an object	nongold
7	when a force is applied to an object , that force is acting on that object	nongold
8	gravity is a kind of force	nongold
9	a weight is a kind of object	nongold
10	pounds ( lb ) are a  imperial unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
11	weight is a property of objects; matter	nongold
12	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
13	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
14	mass; weight is a property of matter; objects; materials	nongold
15	a meter is a kind of unit for measuring distance; measuring length	nongold
16	exerting force on an object means a force acts on an object	nongold
17	a balance is used for measuring mass;weight of an object; of a substance	nongold
18	a balance is a kind of instrument for measuring mass; measuring weight	nongold
19	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
20	quantity means amount	nongold
21	a scale is hard	nongold
22	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
23	a human is a kind of animal	gold
24	level is similar to amount; quantity	nongold
25	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
26	gravitational potential energy is a measure of the product of weight and height	nongold
27	motion; movement means moving; to move	nongold
28	objects are made of materials; substances; matter	nongold
29	as the mass of an object increases , the force of gravity on that object will increase	nongold
30	mass is a measure of the amount of matter in an object	nongold
31	being  on something; placed in something; placed over something means touching  that something	nongold
32	an ounce is a kind of unit for measuring mass	nongold
33	a kilogram is a kind of unit for measuring mass	nongold
34	a motion is a kind of event; action	nongold
35	heavy means a large amount of weight	nongold
36	as the force of gravity increases , the weight of objects will increase	nongold
37	material means substance	nongold
38	greatest means largest; highest; most amount of something	nongold
39	low means down	nongold
40	length is a part of size	nongold
41	to act on means to affect	nongold
42	the function of something is what that something  is used to do	nongold
43	calculation means measurement	nongold
44	extreme means very high in value	nongold
45	high is similar to increase	nongold
46	form means kind	nongold
47	density is a measure of mass of an object over volume; divided by volume	nongold
48	a force is a kind of push or pull on an object	nongold
49	to add means to increase	nongold
50	mass is a property of objects; matter	nongold
51	a type is synonymous with a kind	nongold
52	seconds are a kind of unit for measuring time	nongold
53	weight is a kind of property	nongold
54	to change means to have an effect	nongold
55	the mass of an object causes the gravitational force exerted by that object	nongold
56	a surface is a part of an object	nongold
57	a surface is a part of a material	nongold
58	low is the opposite of high	nongold
59	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
60	to cause means to have an effect	nongold
61	an object exerts an upward force objects that sit on that object	nongold
62	variable means able to change	nongold
63	seconds are used to measure time	nongold
64	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
65	an increase is the opposite of a decrease	nongold
66	to slow; to slow down decreases speed	nongold
67	higher means greater; above in value; amount; number	nongold
68	a ratio is a measure of one measure over another measure; divided by another measure	nongold
69	length is a measure of distance from one end of an object to the other end of that object	nongold
70	strength is a property of an object; a material	nongold
71	kg means kilograms	nongold
72	to be used for something means to be required by that something	nongold
73	force causes the speed of an object to increase; to decrease	nongold
74	property is similar to measurement	nongold
75	size; amount of space means volume	nongold
76	a pull is a kind of force	nongold
77	a living thing is a kind of object	gold
78	a source of something emits; produces; generates; provides that something	nongold
79	measuring sometimes requires  recording; learning an amount	nongold
80	a gram  is a kind of unit for measuring mass	nongold
81	lowest means least in value; amount; number	nongold
82	can be means able to be	nongold
83	strong means high in strength	nongold
84	an animal is a kind of living thing	gold
85	particles in objects are a kind of matter	nongold
86	an part of an object is smaller than the entire object	nongold
87	high means a lot of something	nongold
88	vibration is a kind of motion	nongold
89	matter; materials; substances are made of atoms; particles	nongold
90	affected means changed	nongold
91	gravity accelerates an object while that object falls by pulling on it	nongold
92	as distance from an object decreases , the the pull of gravity on that object increases	nongold
93	action can cause change	nongold
94	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
95	meters;centimeters;kilometers are used to describe distance; describe length	nongold
96	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
97	a container contains objects; material; substances	nongold
98	speed is a measure of how fast an object is moving	nongold
99	work is a measure of the product of force and distance	nongold
