Question	The fusion reaction that fuels the Sun converts hydrogen into	question
Answer	helium.	answer
0	nuclear fusion converts hydrogen into helium	gold
1	the sun is made of hydrogen and helium	nongold
2	helium is a kind of element	nongold
3	helium is a kind of gas	nongold
4	the Sun is a kind of star	gold
5	forming is similar to converting	nongold
6	nuclear fusion is a kind of nuclear reaction	gold
7	nuclear reactions in stars causes stars to produce light; energy; nuclear energy	nongold
8	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
9	the sun is a kind of yellow dwarf	nongold
10	converting is similar to producing	nongold
11	the chemical symbol for helium is He	nongold
12	nuclear fusion occurs in the sun's core	nongold
13	hydrogen is a kind of element	nongold
14	nuclear fusion in a star's core generates energy for the star to (burn, shine)	gold
15	a star is a source of light; light energy through nuclear reactions	nongold
16	combustion is a kind of exergonic reaction	nongold
17	helium has a low atomic number	nongold
18	sunlight means solar energy	nongold
19	to turn means to convert	nongold
20	the sun is a source of light; light energy called sunlight	nongold
21	a source of something emits; produces; generates; provides that something	nongold
22	sunlight is a kind of solar energy	nongold
23	to be formed by is similar to being produced by	nongold
24	to convert means to change	nongold
25	a reaction is a kind of process	nongold
26	photosynthesis is a kind of chemical reaction	nongold
27	combustion is a kind of chemical change	nongold
28	hydrogen is a kind of gas at room temperature	nongold
29	a chemical reaction is a kind of process	nongold
30	products are formed; are produced; are created	nongold
31	conversion is a kind of process	nongold
32	a star produces light and heat	nongold
33	a  gas is a kind of  element	nongold
34	emit means produce	nongold
35	the sun is a source of radiation; heat called sunlight	nongold
36	the sun is the source of solar energy called sunlight	nongold
37	nuclear fusion is a kind of process	nongold
38	nuclear fusion is a kind of process	nongold
39	a star is a kind of celestial object; celestial body	nongold
40	carbon dioxide is a kind of gas	nongold
41	converting is similar to releasing	nongold
42	make means produce	nongold
43	to cause means to make	nongold
44	to transform means to convert	nongold
45	solar radiation means solar energy	nongold
46	sunlight produces heat	nongold
47	a process is a kind of event	nongold
48	to produce means to create	nongold
49	to be formed by is to be the result of	nongold
50	chemical reactions cause new substances; different substances to form	nongold
51	hydrogen contains chemical energy	nongold
52	to create means to make	nongold
53	fire is a kind of chemical reaction	nongold
54	combustion means fire converts chemical energy into light energy and heat energy	nongold
55	solar energy is a kind of heat energy	nongold
56	chemical change is a kind of chemical reaction	nongold
57	an event is a kind of action	nongold
58	creating is similar to causing	nongold
59	carbon is a kind of element	nongold
60	to change into means to form	nongold
61	oxygen  is a kind of element	nongold
62	combustion is a kind of exothermic reaction	nongold
63	Earth is a kind of planet	nongold
64	solar energy is a kind of light	nongold
65	converting is similar to turning into	nongold
66	if something transfers something else then that something is a source of something else	nongold
67	if something gains something from something else then that something else is a source of that something	nongold
68	creating means making	nongold
69	sulfur dioxide is formed by the combustion of fossil fuels	nongold
70	where something  comes from is a source of that something	nongold
71	nitrogen is a kind of gas	nongold
72	forming something is a kind of change	nongold
73	if something releases something else then that something is the source of that something else	nongold
74	nuclear fusion causes star formation	nongold
75	to increase is similar to to create	nongold
76	oxygen is a kind of gas at room temperature	nongold
77	nuclear fusion is a source of energy	nongold
78	solar energy is a kind of energy	nongold
79	a component means a part of	nongold
80	gas is a kind of material	nongold
81	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
82	to cause means to result in	nongold
83	a compound is made of two or more elements that have been chemically combined	nongold
84	burning is a kind of action	nongold
85	to form means to create	nongold
86	to make means to form	nongold
87	to produce means to result in	nongold
88	fuel contains chemical energy	nongold
89	to be a source of something means to cause that something	nongold
90	respiration releases energy	nongold
91	fossil fuel contains chemical energy	nongold
92	gas is a kind of substance	nongold
93	An example of combustion is explosion	nongold
94	a part of a process means a stage in a process	nongold
95	an element is a kind of material	nongold
96	sunlight is a kind of light	nongold
97	a star is made of gases	nongold
98	to fuse means to combine	nongold
99	all elements are a kind of pure substance	nongold
