Question	What is a decomposer?	question
Answer	a living thing that breaks down dead organisms	answer
0	decomposition is when a decomposer breaks down dead organisms	gold
1	a decomposer is a kind of living thing	gold
2	a decomposer is usually a bacterium; fungus	nongold
3	a microorganism is a kind of decomposer	nongold
4	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
5	a bacterium is a kind of decomposer	nongold
6	dead organisms are the source of nutrients for decomposers	nongold
7	to decompose means to decay	nongold
8	a worm is a kind of decomposer	nongold
9	an animal is a kind of living thing	nongold
10	an organism is a living thing	nongold
11	an animal is a kind of organism	nongold
12	a fungus is a kind of living thing	nongold
13	to digest means to break down food	nongold
14	a fungus is a kind of organism	nongold
15	In the food chain process fungi have the role of decomposer	nongold
16	a living thing is a kind of object	nongold
17	In the food chain process bacteria have the role of decomposer	nongold
18	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
19	life means living things	nongold
20	an earthworm is a kind of decomposer	nongold
21	decomposition is a kind of process	nongold
22	a plant is a kind of living thing	nongold
23	an animal; living thing requires nutrients for survival	nongold
24	a plant is a kind of organism	nongold
25	dead organisms rot	nongold
26	if a living thing dies then that living thing is dead	nongold
27	organisms mean life	nongold
28	green plants are a kind of producer	nongold
29	dissolving is similar to breaking down	nongold
30	a plant; living thing requires food for survival	nongold
31	a human is a kind of animal	nongold
32	a bacterium is a kind of organism	nongold
33	to split means to break down	nongold
34	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
35	bacteria is a kind of living thing	nongold
36	a worm is a kind of living thing	nongold
37	decomposition is a stage in the carbon cycle process	nongold
38	dead means not alive	nongold
39	if something is made of something else then that something can be broken down into that something else	nongold
40	a food contains nutrients for living things	nongold
41	remains is similar to dead organisms	nongold
42	to decompose means to separate	nongold
43	killing means changing a living thing from alive to dead by harming	nongold
44	living things perform biological processes	nongold
45	a worm is a kind of animal	nongold
46	breaking down is a kind of forming	nongold
47	remains mean parts of a dead organism	nongold
48	nonliving; non-living; die is the opposite of living; alive; live	nongold
49	death means to die	nongold
50	living things can all reproduce	nongold
51	decomposition is a stage in the nutrient recycling process	nongold
52	to break down means to break into smaller pieces	nongold
53	mold is a kind of fungus	nongold
54	all living and nonliving materials are made of elements	nongold
55	an organism is made of organic matter	nongold
56	products are formed; are produced; are created	nongold
57	roots are a part of a plant; tree	nongold
58	dead plants means dead plant material	nongold
59	harming an organism can cause that organism to die	nongold
60	live means to be alive	nongold
61	organisms are a part of an environment	nongold
62	an ecosystem contains a large community of; large numbers of living organisms	nongold
63	a tree is a kind of living thing	nongold
64	to be formed by is similar to being produced by	nongold
65	a mammal is a kind of animal	nongold
66	an insect is a kind of animal	nongold
67	dying is the opposite of living; surviving	nongold
68	an ecosystem contains nonliving things	nongold
69	an organism is a source of organic material	nongold
70	decomposing is similar to separating	nongold
71	a mushroom is a kind of fungus	nongold
72	soil is a kind of nonliving thing	nongold
73	a living thing is made of cells	nongold
74	crumble means break down	nongold
75	dead organisms decay	nongold
76	if a living thing requires something then that something has a positive impact on that living thing	nongold
77	converting is similar to producing	nongold
78	living things eat their food source	nongold
79	a tree is a kind of plant	nongold
80	a process is a kind of event	nongold
81	killing means harming something causing death	nongold
82	producing is a kind of process	nongold
83	an organism is a source of organic matter	nongold
84	an event is a kind of action	nongold
85	a reptile is a kind of animal	nongold
86	vegetation means plants	nongold
87	person is synonymous with human	nongold
88	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
89	made up of means contains; made of	nongold
90	can be means able to be	nongold
91	form means kind	nongold
92	make means produce	nongold
93	water is a kind of nonliving thing	nongold
94	an animal; bacterium requires oxygen for survival; to breathe	nongold
95	material means substance	nongold
96	emit means produce	nongold
97	a source of something emits; produces; generates; provides that something	nongold
98	photosynthesis is a kind of chemical reaction	nongold
99	digestion is a kind of bodily process	nongold
