Question	An element with which property would be best to use in electrical wiring?	question
Answer	conductor	answer
0	wiring requires an electrical conductor	gold
1	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
2	metal is an  electrical; electrical energy conductor	nongold
3	metal is a thermal; thermal energy conductor	nongold
4	to be used for something means to be required by that something	nongold
5	An electrical conductor is a vehicle for the flow of electricity	nongold
6	a type of something is a kind of property of that something	nongold
7	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
8	a good conductor is a conductor	nongold
9	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
10	electrical devices are used for industrial purposes; household purposes by humans	nongold
11	a circuit is a kind of electrical component	nongold
12	a thermal conductor is made of materials that conduct thermal energy	nongold
13	electric devices require electrical energy to function	nongold
14	conductivity is a property of a material; substance	gold
15	conductivity is a kind of physical property	nongold
16	a complete electrical circuit is a source of  electrical energy	nongold
17	electricity means electrical energy	nongold
18	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
19	an element is a kind of material	nongold
20	closing an electric circuit causes an electrical device to function	nongold
21	operating electrical appliances requires electricity	nongold
22	an object has properties	nongold
23	to serve as means to be used as	nongold
24	a  chemical property is a kind of  property	nongold
25	a wire is a part of an electrical circuit for conducting electricity	nongold
26	an element is a kind of  substance	nongold
27	a device is a kind of object	nongold
28	electricity sometimes is used for heating buildings; substances	nongold
29	a physical property is a kind of property	nongold
30	an electromagnet is a kind of electric magnet	nongold
31	a chemical property is the opposite of a physical property	nongold
32	brick is an electrical; electrical energy insulator	nongold
33	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
34	if an object is made of a material then that object has the properties of that material	nongold
35	when an electrical circuit is working properly , electrical current runs through that circuit; the wires in that circuit	nongold
36	if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors	nongold
37	the function of something is what that something  is used to do	nongold
38	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
39	an electromagnet contains a wire; cylindrical ferrous metal	nongold
40	electricity is used as an energy source by electrical devices	nongold
41	conductivity is a measure of how easily electricity travels through a material	nongold
42	best means most positive	nongold
43	an insulator is the opposite of a conductor	nongold
44	when an electrical conductor is plugged into an outlet , a circuit is completed	nongold
45	electromagnets can be powered by electricity	nongold
46	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
47	useful means good to use	nongold
48	household appliances are a kind of electrical device	nongold
49	electricity is made of moving charges; moving charged particles	nongold
50	substances are made of elements	nongold
51	an electromagnet is a kind of device	nongold
52	plastic is usually an electrical insulator	nongold
53	an electrical device requires electricity to turn on	nongold
54	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
55	a larger power source provides more current to a wire; a conductor; an electromagnet	nongold
56	if a substance is made of one element , then the substance is called an element	nongold
57	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	nongold
58	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
59	to help; to benefit means to be of use	nongold
60	what something needs is a property of that something	nongold
61	plastic is a kind of electrical insulator	nongold
62	a resistor is used to control the amount of current in the electric circuit	nongold
63	a switch is used to start; stop the flow of current by  closing; opening the electric circuit	nongold
64	an  element is a kind of atom	nongold
65	creating a simple circuit requires a wire; battery	nongold
66	electrocution causes harm to an organism	nongold
67	water is an thermal; thermal energy conductor	nongold
68	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
69	electrical current means electrical energy	nongold
70	good means positive	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
73	a property of something is a feature of that something	nongold
74	characteristic means property	nongold
75	structure is a property of an object; a material; a substance	nongold
76	a nonmetal is a kind of element	nongold
77	substances have chemical properties	nongold
78	a battery is a source of electrical energy; electricity	nongold
79	carbon is a kind of element	nongold
80	useful means able to be used	nongold
81	copper is a kind of element	nongold
82	an atom is the smallest particle; unit that has the properties of an element	nongold
83	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
84	matter; materials; substances are made of atoms; particles	nongold
85	electrical insulation requires wrapping a conductor in an insulator	nongold
86	objects are made of materials; substances; matter	nongold
87	to use means to utilize	nongold
88	the effects of something is a property of that something	nongold
89	to conduct is similar to to transfer	nongold
90	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
91	rubbing different materials can cause electrical charge	nongold
92	materials are made of matter	nongold
93	An example of a chemical property is how a material reacts chemically	nongold
94	can be means able to be	nongold
95	better means good	nongold
96	a metal is a kind of element	nongold
97	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
98	magnetism is a kind of physical property	nongold
99	an element is made of one kind of atoms	nongold
