Question	Most types of cacti survive the dry conditions of a desert because they hold water in their stems. This is an example of	question
Answer	an adaptation.	answer
0	dry means low in amount of water; wetness; moisture	gold
1	drying means amount of water; amount of liquid; wetness decreases	nongold
2	a desert environment is dry	nongold
3	a desert environment is low in availability of water; availability of food	nongold
4	a desert is a kind of environment	gold
5	many desert animals want the water stored inside a cactus	nongold
6	a cactus stem is used for storing water	gold
7	a dry environment is low in availability of water	nongold
8	a plants; living things require water for survival; to grow	gold
9	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
10	wet is the opposite of dry	nongold
11	animals; living things require water for survival	nongold
12	storing water is a kind of adaptation	gold
13	a desert environment receives low rainfall	gold
14	a stem is used to store water by some plants	nongold
15	a cactus lives in the desert	nongold
16	a cactus stores water	gold
17	a cactus is a kind of plant	gold
18	storing water increases the water available to organisms in a dry environment	gold
19	changes in an environment cause animals; plants to adapt to survive	nongold
20	as dryness increases in an environment , the available water in that environment will decrease	nongold
21	a stem is often a part of plant	nongold
22	a grassland environment receives more rainfall than a desert	nongold
23	a desert environment usually has a lot of sunlight	nongold
24	moist means high in moisture	nongold
25	a type is synonymous with a kind	nongold
26	an increase is the opposite of a decrease	gold
27	a forest environment receives more rainfall than a desert	nongold
28	a kind of something is an example of that something	nongold
29	a desert environment usually is hot in temperature	nongold
30	a wet object is a source of water	nongold
31	drought means available water decreases in an environment	nongold
32	water is a part of an environment	nongold
33	a climate is synonymous with an environment	nongold
34	requiring is similar to needing help	nongold
35	an animal; living thing requires nutrients for survival	nongold
36	an adaptation is a kind of characteristic	nongold
37	An example of an environment is a forest; a river; a grassland; an ocean	nongold
38	adaptations are used for survival	gold
39	a plant is a kind of organism	gold
40	to store means to hold	gold
41	an environment means an area	gold
42	a plant is a kind of living thing	nongold
43	survive means live	nongold
44	survive means live	nongold
45	a plant requires a habitat for survival	nongold
46	plants are a part of the environment	nongold
47	to lower means to decrease	gold
48	a plant requires a specific climate to grow and survive	nongold
49	a plant; living thing requires food for survival	nongold
50	survival means to survive	nongold
51	an adaptation is a kind of change	nongold
52	an animal is a kind of living thing	nongold
53	to reduce means to decrease	nongold
54	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
55	low is similar to decrease	nongold
56	a plant requires soil for survival; to grow	nongold
57	an adaptation is an adaptive feature	nongold
58	an organism is a living thing	nongold
59	organisms are a part of an environment	nongold
60	dying is the opposite of living; surviving	nongold
61	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
62	requiring something means needing that something	nongold
63	high is similar to increase	nongold
64	a living thing is a kind of object	nongold
65	harming something has a  negative impact on; effect on that something	nongold
66	an animal requires a habitat for survival	nongold
67	containing something is similar to holding something	nongold
68	less is similar to decrease	nongold
69	if a living thing requires something then that something has a positive impact on that living thing	nongold
70	a drought is a kind of natural event	nongold
71	nonliving; non-living; die is the opposite of living; alive; live	nongold
72	if a plant; crop requires less water then that plant; crop will survive in a drought	nongold
73	Antarctica is a kind of desert	nongold
74	an animal is a kind of organism	nongold
75	adapting is when a living thing responds to a change in an environment	nongold
76	if an organism can live in an environment then that organism can withstand the conditions of that environment	nongold
77	water is a kind of substance	nongold
78	drought is when amount of precipitation decreases	nongold
79	harming an environment causes harm to the living things; to the organisms in that environment	nongold
80	a plant is a member of a plant species	nongold
81	little is similar to decrease	nongold
82	an environment is similar to an ecosystem	nongold
83	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
84	well-suited is similar to adapted	nongold
85	humans require fresh water to survive	nongold
86	a plant requires water to grow	nongold
87	if water vapor is limited to reach a location , then that location    will be dry	nongold
88	An example of an adaptation is a  cactus spine	nongold
89	an animal is a member of an animal species	nongold
90	a drought is a kind of slow environmental change	nongold
91	a drought occurs over a period of months; years	nongold
92	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
93	moisture means liquid; liquid water	nongold
94	helping something has a  positive impact on that something	nongold
95	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
96	harming an animal species causes that animal's population to decrease	nongold
97	containing is similar to holding	nongold
98	to depend on; to rely on; to need means to require	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
