Question	The energy stored in the bonds of a glucose molecule during photosynthesis is in what form?	question
Answer	chemical	answer
0	photosynthesis stores; captures energy	nongold
1	photosynthesis is a kind of chemical  process	nongold
2	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
3	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
4	photosynthesis is a source of oxygen	nongold
5	the photosynthetic life performs photosynthesis	nongold
6	form means kind	nongold
7	photosynthesizing means performing photosynthesis	nongold
8	the bonds of chemical compounds contain chemical energy	nongold
9	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
10	substances contain chemical bond energy	nongold
11	photosynthesis is a kind of chemical reaction	nongold
12	carbohydrates store chemical energy	gold
13	food is a kind of chemical energy	nongold
14	a  plant requires sunlight for photosynthesis	nongold
15	carbohydrates are made of glucose molecules bonding together	gold
16	plants are a source of oxygen through photosynthesis	nongold
17	chemical energy is a kind of energy	nongold
18	plant cells can perform photosynthesis	nongold
19	sunlight is a kind of solar energy	nongold
20	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
21	glucose is a kind of substance	nongold
22	contain is similar to store	nongold
23	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
24	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
25	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
26	a leaf absorbs sunlight to perform photosynthesis	nongold
27	solar energy is a kind of energy	nongold
28	a leaf performs photosynthesis; gas exchange	nongold
29	a molecule is made of atoms chemically combined; bonded	nongold
30	sunlight means solar energy	nongold
31	carbohydrates are used for storing;transporting energy	nongold
32	chemical compounds contain chemical bonds between atoms; between elements	nongold
33	state means form	nongold
34	green plants are a kind of producer	nongold
35	a pure substance is made of only one kind of atom; molecule	nongold
36	chemicals means substances	nongold
37	synthesize means to make	nongold
38	solar energy is a kind of heat energy	nongold
39	food contains carbohydrates	nongold
40	a producer is a source of sugar; food energy in an ecosystem	nongold
41	hydrogen contains chemical energy	nongold
42	many types of molecules can be formed by carbon with covalent bonds	nongold
43	carbohydrates are a vehicle for storing;transporting energy	nongold
44	In the food chain process a  green plant has the role of  producer	nongold
45	In the photosynthesis process oxygen has the role of  waste product	nongold
46	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
47	objects contain chemical energy	nongold
48	substances are made of molecules	nongold
49	if something is a raw material in a process then that something is required for that process	nongold
50	chemical reactions cause new substances; different substances to form	nongold
51	cellular energy is a kind of chemical energy	nongold
52	a part of a process means a stage in a process	nongold
53	a producer is a kind of living thing	nongold
54	oxygen; glucose is used for providing energy to cells by mitochondrion	nongold
55	if something causes a process then that something is required for that process	nongold
56	products are formed; are produced; are created	nongold
57	nutrients are a source of energy for living things	nongold
58	chemical reaction means chemical bonds change	nongold
59	solar energy is a kind of light	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
62	carbohydrates are made of sugars	nongold
63	can be means able to be	nongold
64	sugar is made of carbon, hydrogen, oxygen	nongold
65	sugar is a kind of  simple carbohydrate	nongold
66	to be made of something means to be formed of that something	nongold
67	a plant requires photosynthesis to grow; survive	nongold
68	to make means to form	nongold
69	a bonding property is a kind of chemical property	nongold
70	solar radiation means solar energy	nongold
71	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
72	a process is a kind of event	nongold
73	a step in a process means a stage in a process	nongold
74	animal cells can  not perform photosynthesis	nongold
75	a molecule is a kind of particle	nongold
76	an event is a kind of action	nongold
77	if something is required for a process then that something positively impacts that process	nongold
78	substances have chemical properties	nongold
79	emit means produce	nongold
80	chemical reactions cause chemical change	nongold
81	nutrients are a kind of matter	nongold
82	a food contains nutrients for living things	nongold
83	a decomposer is a kind of living thing	nongold
84	matter; energy is always conserved in any physical or chemical process	nongold
85	ATP is formed by the breakdown of molecules of glucose	nongold
86	energy transformation means one kind of energy changes into another kind of energy	nongold
87	a producer produces its own food	nongold
88	producing is a kind of process	nongold
89	if something generates energy for something else then that something powers that something else	nongold
90	a microorganism is a kind of decomposer	nongold
91	food is a source of energy for animals; plants	nongold
92	made up of means contains; made of	nongold
93	if something is made of something; a material then that something contains that something; that material	nongold
94	to change into means to form	nongold
95	to be formed by is similar to being produced by	nongold
96	heat is a kind of energy	nongold
97	producer is a kind of role in the food chain process; in an ecosystem	nongold
98	combining; mixing two substances chemically causes chemical reactions	nongold
99	a  chemical property is a kind of  property	nongold
