Question	A mountain range has hills around its edges. How are the mountains and hills alike?	question
Answer	Both are taller than the land around them.	answer
0	a mountain; hill is taller than the land around it	gold
1	if two things have the same features then those two things are alike	nongold
2	a mountain is taller than a hill	nongold
3	a mountain range contains mountains	nongold
4	a mountain is a kind of landform	nongold
5	a mountain is high in altitude	nongold
6	taller means greater in height; size	nongold
7	both means two	nongold
8	a mountain is a kind of land feature	nongold
9	hills are a kind of small mountain	nongold
10	tall means great in height	nongold
11	a hill is a kind of place	nongold
12	a mountain; mountain range is a kind of environment	nongold
13	larger means greater; higher; more; increase in size	nongold
14	different is the opposite of the same	nongold
15	a mountain is made of rocks; soil	nongold
16	a hill is more rounded than a mountain	nongold
17	low means low in elevation; height; altitude	nongold
18	low is the opposite of high	nongold
19	if two things are made from the same objects; material then those two things are similar	nongold
20	shorter means smaller; less in  height	nongold
21	high is similar to increase	nongold
22	to change means to become different	nongold
23	a mountain top is a part of a mountain	nongold
24	being around something means surrounding  that something	nongold
25	an increase is the opposite of a decrease	nongold
26	the  property of something is the same for the things of same kind	nongold
27	a landform is a kind of object	nongold
28	smaller means less; lower in size	nongold
29	furthest; farthest means greatest; most; highest in distance	nongold
30	land is a kind of landform	nongold
31	highest means largest; greatest; most in height	nongold
32	slope is a measure of the difference in elevation between one part of the land and another part of the land	nongold
33	two objects are usually different in size	nongold
34	closer means lower; less; a decrease in distance	nongold
35	height is a property of the size of an object	nongold
36	low is similar to decrease	nongold
37	a land mass is a kind of object	nongold
38	mountain area means mountain range	nongold
39	higher means greater; above in value; amount; number	nongold
40	height is a measure of length from the top of an object to the bottom of an object	nongold
41	high means great in altitude	nongold
42	a structure of something is synonymous with a part of that something	nongold
43	a landform is a kind of place	nongold
44	a landform is a kind of place	nongold
45	an part of an object is smaller than the entire object	nongold
46	same means identical; equal in value; amount; number; quantity	nongold
47	opposite is a kind of different	nongold
48	greater means higher; more in value	nongold
49	if something changes , then that something is not the same	nongold
50	an increase is a kind of change	nongold
51	close means low in distance	nongold
52	larger; bigger is the opposite of smaller	nongold
53	the surface of the Earth contains mountains	nongold
54	low means down	nongold
55	height is a kind of position	nongold
56	lower means less	nongold
57	landform means surface feature; physical feature; land feature	nongold
58	elevation relative to sea level is a measure of  how high a place is relative to sea level	nongold
59	a rock is a kind of object	nongold
60	if two objects are similar , then the two objects share properties	nongold
61	identical is the opposite of different	nongold
62	increase means more	nongold
63	distance is a property of space and includes ordered values of close; far	nongold
64	to lower means to decrease	nongold
65	to reduce means to decrease	nongold
66	as distance from an object decreases , that object will appear larger	nongold
67	an object is made of its parts	nongold
68	if something is not the same as something else then that something is different from that something else	nongold
69	less is similar to decrease	nongold
70	a landform is a kind of natural formation	nongold
71	growing means a plant's height;mass;size increase	nongold
72	stay the same means not changing	nongold
73	a structure is a kind of feature	nongold
74	if two objects are apart from each other then matter is between those two objects	nongold
75	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
76	a land feature is a kind of physical characteristic	nongold
77	at the top of a place means at the highest point of the place	nongold
78	land area means land mass	nongold
79	similarity means the same property	nongold
80	near; close is the opposite of far; away	nongold
81	can be means able to be	nongold
82	as distance to an object increases , that object will appear smaller	nongold
83	to add means to increase	nongold
84	to distinguish means to tell the difference between	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	a decrease is a kind of change	nongold
87	growing is when an animal's height;mass;size increase	nongold
88	larger is a kind of difference	nongold
89	altitude is the distance from the ground to an object in the sky	nongold
90	size difference is a kind of difference	nongold
91	a terrain contains a surface	nongold
92	if an object is made of something then the parts of that object are made of that something	nongold
93	a living thing is a kind of object	nongold
94	a plant is a kind of living thing	nongold
95	mountain top is a kind of location	nongold
96	greatest means largest; highest; most amount of something	nongold
97	a hill is a kind of incline	nongold
98	decreasing is similar to becoming smaller	nongold
99	long means great in length	nongold
