Question	What makes solar energy different from most other energy that people use?	question
Answer	The supply of solar energy will not change for billions of years.	answer
0	the sun is the source of solar energy called sunlight	nongold
1	sunlight is a kind of solar energy	nongold
2	solar energy is a kind of heat energy	nongold
3	solar energy is a kind of energy	nongold
4	solar power means solar energy	nongold
5	the sun is a source of radiation; heat called sunlight	nongold
6	small stars burn for billions of years	nongold
7	to change means to become different	nongold
8	solar energy is a kind of light	nongold
9	sunlight means solar energy	nongold
10	solar radiation means solar energy	nongold
11	the supply of an inexhaustible resource does not change over a long period of time	gold
12	the sun is a source of light; light energy called sunlight	nongold
13	if something is not the same as something else then that something is different from that something else	nongold
14	person is synonymous with human	nongold
15	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
16	to cause means to make	nongold
17	opposite is a kind of different	nongold
18	the sun is the source of energy for life on Earth	nongold
19	different is the opposite of the same	nongold
20	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
21	to remain means to not change	nongold
22	not is similar to the opposite of	nongold
23	solar energy is a renewable; inexhaustible resource	nongold
24	most means over 50% of something	nongold
25	a person is a kind of animal	nongold
26	sunlight is a kind of light	nongold
27	unchanged means not changed	nongold
28	a billion is a kind of  number	nongold
29	staying means not changing	nongold
30	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
31	a supply of something is a source of that something	nongold
32	to conserve means to not change	nongold
33	to provide means to supply	nongold
34	make means produce	nongold
35	solar energy is an inexhaustible resource	gold
36	an increase is a kind of change	nongold
37	to be used for something means to be required by that something	nongold
38	Earth is a kind of planet	nongold
39	if something has no impact on something else then that something else stays the same	nongold
40	an increase is the opposite of a decrease	nongold
41	heat is a kind of energy	nongold
42	constant means not changing	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
45	the sun  is the source of energy for physical cycles on Earth	nongold
46	sunlight produces heat	nongold
47	living things require respiration to use energy	nongold
48	years are a kind of unit for measuring time	nongold
49	heat means heat energy	nongold
50	as amount; size of something increases , the intensive properties of that something will not change	nongold
51	to maintain means to not change	nongold
52	a change is a kind of event	nongold
53	less is the opposite of more	nongold
54	a  plant requires sunlight for photosynthesis	nongold
55	high is similar to increase	nongold
56	a decrease is a kind of change	nongold
57	to depend on; to rely on; to need means to require	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	a source of something supplies that something	nongold
60	stay the same means not changing	nongold
61	a human is a kind of animal	nongold
62	to change means to cause a change	nongold
63	negative impact is the opposite of positive impact	nongold
64	variable means able to change	nongold
65	affected means changed	nongold
66	being in the sun is synonymous with being in the sunlight	nongold
67	provide is similar to give; make	nongold
68	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
69	if something requires something else then that something requires a source of that something else	nongold
70	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
71	low is similar to decrease	nongold
72	largest amount means most	nongold
73	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
74	less is similar to decrease	nongold
75	human is a kind of organism	nongold
76	to be in the sun means to be in the sunlight	nongold
77	resources sometimes are used for energy	nongold
78	new means different from the former one	nongold
79	to retain means to not change	nongold
80	solar panels are a kind of power supplies	nongold
81	if something used to be in the past then that something  has changed	nongold
82	as the temperature of something increases , the intensive properties of that something will not change	nongold
83	harming something has a  negative impact on; effect on that something	nongold
84	the Sun is a kind of star	nongold
85	identical is the opposite of different	nongold
86	changed is the opposite of unchanged	nongold
87	to add means to increase	nongold
88	the sunlight occurs during the day	nongold
89	life means living things	nongold
90	to convert means to change	nongold
91	deplete is similar to decrease	nongold
92	heat energy is synonymous with thermal energy	nongold
93	adding something is a kind of change	nongold
94	an animal is a kind of organism	nongold
95	another means different	nongold
96	a solar panel converts sunlight; solar energy into electrical energy; electricity	nongold
97	give off is similar to make	nongold
98	energy transformation means one kind of energy changes into another kind of energy	nongold
99	to provide something means to be the source of that something	nongold
