Question	A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student?	question
Answer	radiation	answer
0	a campfire is a kind of fire	gold
1	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
2	radiation is when heat is transferred through waves; particles	gold
3	heat means the transfer of thermal energy	nongold
4	fire transfers heat through waves	gold
5	warm; becoming warm means heat is added	nongold
6	solar radiation means solar energy	nongold
7	absorbing sunlight causes objects to heat	nongold
8	to receive sunlight means to absorb sunlight	nongold
9	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
10	a student is a kind of human	nongold
11	fire gives off light; heat; smoke	nongold
12	radiation is when electromagnetic waves transfers heat and light energy	nongold
13	warmer means greater; higher in temperature; warmth	nongold
14	when a cooler object touches a warmer object , thermal conduction occurs	nongold
15	fire causes burning	nongold
16	warm up means increase temperature	nongold
17	radiation means radiant energy	nongold
18	heat means temperature increases	nongold
19	heating means adding heat	nongold
20	cooler means colder	nongold
21	warm means warm temperature	nongold
22	colder; cooler means lower in temperature	nongold
23	heat means heat energy	nongold
24	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
25	a human is a kind of animal	nongold
26	receiving sunlight  is synonymous with absorbing sunlight	nongold
27	radiation can affect objects that are not touching	nongold
28	adding heat means increasing temperature	nongold
29	the sun is a source of radiation; heat called sunlight	nongold
30	warm means medium heat energy; temperature	nongold
31	if heat is absorbed from a source then that heat source will cool	nongold
32	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
33	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
34	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
35	more burning causes fire to be hotter	nongold
36	temperature is a measure of heat energy	nongold
37	near means close	nongold
38	absorbing energy causes objects; materials; substances to heat	nongold
39	an animal is a kind of living thing	nongold
40	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
41	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
42	heat energy is synonymous with thermal energy	nongold
43	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
44	to conduct is similar to to transfer	nongold
45	if someone is standing away from something then that someone is not touching that something	nongold
46	an object; material; substance comes from that object or material's source	nongold
47	if something emits something else then that something increases the amount of that something else	nongold
48	radiation is a kind of process	gold
49	sunlight produces heat	nongold
50	a living thing is a kind of object	nongold
51	sunlight means solar energy	nongold
52	cold means low in temperature	nongold
53	if too much heat is transferred to an object then that object may burn	nongold
54	a camper is a kind of human	nongold
55	a source of something increases the amount of that something	nongold
56	to add means to increase	nongold
57	sunlight is a kind of solar energy	nongold
58	light is a kind of electromagnetic radiation	nongold
59	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
60	cooling means temperature decreases	nongold
61	sitting on something provides warmth to that something	nongold
62	a flame are a part of a fire	nongold
63	to reduce means to decrease	nongold
64	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	thermal conduction is when heat flows from warmer object to cooler object	nongold
67	if something transfers something else then that something is a source of something else	nongold
68	water is an thermal; thermal energy conductor	nongold
69	heating is the opposite of cooling	nongold
70	a person is a kind of animal	nongold
71	the heat energy in the cooler object increases in thermal conduction	nongold
72	sunlight is a kind of light	nongold
73	increase means more	nongold
74	solar energy is a kind of heat energy	nongold
75	transfer is a kind of process	nongold
76	if one object absorbs more energy than another object , then the  object will be warmer	nongold
77	to lower means to decrease	nongold
78	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
79	touching something means feeling that something	nongold
80	light energy can be used to heat up  an object by radiation	nongold
81	person is synonymous with human	nongold
82	cooling is a kind of process	nongold
83	cool means cold	nongold
84	electromagnetic radiation means electromagnetic energy	nongold
85	an animal requires warmth for survival	nongold
86	feeling is when an living thing senses through touch	nongold
87	become warm means get warm	nongold
88	conduction is a kind of process	nongold
89	near; close is the opposite of far; away	nongold
90	an animal is a kind of organism	nongold
91	an increase is the opposite of a decrease	nongold
92	high is similar to increase	nongold
93	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
94	where something  comes from is a source of that something	nongold
95	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
96	growing is a kind of process	nongold
97	hot means high in heat energy; temperature	nongold
98	if something is outside during the day then that something will receive sunlight	nongold
99	warm is the opposite of cool	nongold
