Question	Which processes change magma into igneous rock?	question
Answer	cooling and crystallization	answer
0	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	gold
1	igneous is a kind of rock	nongold
2	crystallization is a kind of process	gold
3	cooling is a kind of process	nongold
4	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
5	heating means adding heat	nongold
6	change is a kind of process	gold
7	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
8	adding heat means increasing temperature	nongold
9	magma is a kind of hot rock	nongold
10	formation of a state of matter is a kind of process	nongold
11	temperature is a measure of heat energy	nongold
12	the formation of rock is a kind of process	nongold
13	igneous intrusion is a kind of geologic process	nongold
14	the formation of something is a kind of process	nongold
15	a process is a kind of event	nongold
16	to add means to increase	nongold
17	heat means heat energy	nongold
18	cooling means temperature decreases	nongold
19	evaporating is a kind of phase change	nongold
20	conversion is a kind of process	nongold
21	temperature changing can cause phase changes	nongold
22	an increase is a kind of change	nongold
23	crystal is a kind of  solid	nongold
24	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
25	melting is a kind of phase change	nongold
26	a change is a kind of event	nongold
27	phase means state	nongold
28	granite is a kind of igneous rock	nongold
29	forming something is a kind of change	nongold
30	heat means temperature increases	nongold
31	melting is a kind of process	nongold
32	freezing is a kind of phase change	nongold
33	a volcano is a source of magma; lava	nongold
34	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
35	to change into means to form	nongold
36	water is a kind of liquid at room temperature	nongold
37	evaporation is a kind of process	nongold
38	magma is found below the ground	nongold
39	to change means to cause a change	nongold
40	if something causes a process then that something is required for that process	nongold
41	a rock is usually a solid	nongold
42	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
43	variable means able to change	nongold
44	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
45	to convert means to change	nongold
46	pumice is a kind of igneous rock	nongold
47	metamorphosis is a kind of process	nongold
48	a volcanic eruption is a kind of change	nongold
49	a part of a process means a stage in a process	nongold
50	affected means changed	nongold
51	a rock is a kind of object	nongold
52	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
53	high is similar to increase	nongold
54	forming is similar to converting	nongold
55	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
56	a process usually requires all of the stages in that process	nongold
57	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
58	a decrease is a kind of change	gold
59	liquid is a kind of state of matter	nongold
60	something that happens is a kind of event	nongold
61	water is a kind of water phase	nongold
62	a source of something emits; produces; generates; provides that something	nongold
63	increase means more	nongold
64	producing is a kind of process	nongold
65	boiling is a kind of phase change	nongold
66	emit means produce	nongold
67	warm means medium heat energy; temperature	nongold
68	metamorphic rock is a kind of rock	nongold
69	to be formed by is similar to being produced by	nongold
70	answering questions requires information	nongold
71	hot means high in heat energy; temperature	nongold
72	if something causes an increase in something else then that something produces that something else	nongold
73	freezing is a kind of  exothermic process	nongold
74	to reduce means to decrease	nongold
75	lava is a kind of matter	nongold
76	alteration means change	nongold
77	metamorphosed rock is a kind of rock	nongold
78	to happen means to occur	nongold
79	an event is a kind of action	nongold
80	adding something is a kind of change	nongold
81	condensation is a kind of process	nongold
82	if something releases something else then that something is the source of that something else	nongold
83	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
84	products are formed; are produced; are created	nongold
85	solid is a kind of state of matter	nongold
86	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
87	rock is a kind of material	nongold
88	refraction is a kind of process	nongold
89	heat energy can change the state of matter	nongold
90	to transform means to convert	nongold
91	geothermal energy is formed by magma heating Earth's crust	nongold
92	to be made of something means to be formed of that something	nongold
93	a liquid is a kind of substance	nongold
94	condensing is a kind of  phase change	nongold
95	a volcano is a kind of geological event	nongold
96	to lower means to decrease	gold
97	reducing is a kind of change	nongold
98	increasing heat causes thermal expansion	nongold
99	metamorphic is a kind of rock	nongold
