Question	Which tool would best help a person observe the parts of a plant cell?	question
Answer	microscope	answer
0	a microscope is a kind of tool for observing small things	gold
1	a person is a kind of animal	nongold
2	to help; to benefit means to be of use	nongold
3	person is synonymous with human	nongold
4	a plant cell is a kind of cell	gold
5	helping something has a  positive impact on that something	nongold
6	to be used  for something means to help to do that something	nongold
7	a plant is a kind of living thing	nongold
8	a plant is made of plant cells	nongold
9	to help means to aid	nongold
10	instrument means tool	nongold
11	a plant is a kind of organism	nongold
12	device means tool	nongold
13	observe means see	nongold
14	an animal cell is a kind of cell	nongold
15	plant parts are made of plants	nongold
16	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	gold
17	a human is a kind of animal	nongold
18	an animal is a kind of organism	nongold
19	best means most positive	nongold
20	an animal is a kind of living thing	nongold
21	a living thing is made of cells	nongold
22	refractions of light can be used to help a person see	nongold
23	to enable is to help	nongold
24	a cell is a kind of object	nongold
25	look at means observe	nongold
26	helping means to assist in a change	nongold
27	a living thing is a kind of object	nongold
28	a tool is a kind of object	nongold
29	human is a kind of organism	nongold
30	a cell nucleus is a part of a cell	nongold
31	a human cell is a kind of cell	nongold
32	a plant cell is box-like in shape	nongold
33	requiring is similar to needing help	nongold
34	detecting is similar to observing	nongold
35	answering questions requires information	nongold
36	instrument means device	nongold
37	studying  something usually requires seeing that something	nongold
38	microscopic means very small in size	nongold
39	an organism is a living thing	nongold
40	an object is made of its parts	nongold
41	measuring is a kind of observing	nongold
42	a human is a kind of mammal	nongold
43	inspect; observe means examine	nongold
44	if an object is made of something then the parts of that object are made of that something	nongold
45	studying is similar to observing	nongold
46	to make something easier means to help	nongold
47	an instrument is a piece of equipment	nongold
48	viewing means observing light	nongold
49	a structure of something is synonymous with a part of that something	nongold
50	to be helpful means to help to do	nongold
51	unit is similar to part	nongold
52	to observe means to gather information	nongold
53	helping means something can be done; completed more easily; better	gold
54	a part of something means a characteristic of something	nongold
55	an electron microscope is used for seeing very small objects by making them appear bigger	nongold
56	a component of something means a part of that something	nongold
57	help means advantage	nongold
58	to study means to examine	nongold
59	good means positive	nongold
60	a cell is very small	gold
61	an part of an object is smaller than the entire object	gold
62	determining often requires measuring; observing	nongold
63	a device is a kind of object	nongold
64	a component means a part of	nongold
65	a whole is formed by its parts	nongold
66	if something is visible , then that something can be observed	nongold
67	the cell membrane is a part of a cell	nongold
68	optical tools are used for observing materials up close; in greater detail	nongold
69	human is similar to individual	nongold
70	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
71	better means good	nongold
72	chloroplast is a part of a plant cell	nongold
73	a plant cell contains chloroplasts	nongold
74	a cell wall is a part of a plant cell for supporting and protecting the cell membrane	nongold
75	aspect of something is similar to part of something	nongold
76	can be means able to be	nongold
77	to see means to look	nongold
78	the parts of something make up that something	nongold
79	a part of something is present in that something	nongold
80	plant cells can perform photosynthesis	nongold
81	getting information sometimes requires observing; observation	nongold
82	to be good for means to have a positive impact on	nongold
83	seeing is used for sensing visual things	nongold
84	the function of something is what that something  is used to do	nongold
85	a cell wall is the outermost structure of a plant cell	nongold
86	a part of a process means a stage in a process	nongold
87	vegetation means plants	nongold
88	looking is similar to observing	nongold
89	learning about something sometimes requires observing that something	nongold
90	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	gold
91	a user is a kind of person	nongold
92	material means substance	nongold
93	a type is synonymous with a kind	nongold
94	a piece is a part of a whole	nongold
95	a plant; living thing requires food for survival	nongold
96	making discoveries requires observing	nongold
97	form means kind	nongold
98	if an organism can do something , then that organism is able to do that something	nongold
99	as the size of an object appears larger , that object will be seen;be observed more easily; better	gold
