Question	Which trait does a puppy inherit from its parents?	question
Answer	fur color and pattern	answer
0	a puppy is a young; baby dog	gold
1	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
2	a baby is the offspring of a parent	nongold
3	a baby is the offspring of a parent	gold
4	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
5	the colors of parts of an organism are inherited characteristics	nongold
6	the color of; coloration of fur is an inherited characteristic	gold
7	a dog is a kind of animal	nongold
8	if an animal's fur is a color then that animal is that color	nongold
9	coloration means a pattern of colors	gold
10	a mother is a kind of female parent	nongold
11	trait is synonymous with characteristic	gold
12	an inherited characteristic is a kind of characteristic	nongold
13	an animal is a kind of living thing	nongold
14	coloration means a thing's color	nongold
15	children; young is synonymous with offspring	nongold
16	an organism is a living thing	nongold
17	an animal is a kind of organism	nongold
18	a father is a kind of male parent	nongold
19	a living thing is a kind of object	nongold
20	fur is often part of an animal	nongold
21	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
22	coat means fur coat	nongold
23	a cat is a kind of animal	nongold
24	parents produce offspring	nongold
25	to breed is similar to to reproduce	nongold
26	offspring receives half of the genes from each parent	nongold
27	fur is usually part of a mammal	nongold
28	to reproduce means to have; to produce offspring	nongold
29	a mother births offspring	nongold
30	characteristic means property	nongold
31	a child is a kind of young human	nongold
32	genes are able to determine the inherited characteristics of a living thing	nongold
33	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
34	living things can all reproduce	nongold
35	what an object is made of is a kind of characteristic	nongold
36	species is an inherited characteristic	nongold
37	trait means property	nongold
38	a human is a kind of animal	nongold
39	a cat is a kind of mammal	nongold
40	a part of something means a characteristic of something	nongold
41	a type is synonymous with a kind	nongold
42	reproduction produces; produce offspring	nongold
43	color is a property of  an object; a material	nongold
44	eye color is an inherited characteristic	nongold
45	an animal is a member of an animal species	nongold
46	mammals is a kind of class	nongold
47	a kitten is a young; baby cat	nongold
48	fur is a part of a mouse	nongold
49	cub is a kind of offspring	nongold
50	a baby is a kind of young animal	nongold
51	animals learn some behaviors from watching their parents	nongold
52	a mammal is a kind of animal	nongold
53	a learned characteristic is a kind of acquired characteristic	nongold
54	genetic; hereditary means of genes; heredity	nongold
55	the size of an organism is an inherited characteristic	nongold
56	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
57	blood type is an inherited characteristic	nongold
58	both means two	nongold
59	unique  is the opposite of diverse	nongold
60	answering questions requires information	nongold
61	a structure of something is synonymous with a part of that something	nongold
62	an animal; living thing requires nutrients for survival	nongold
63	the condition of parts of an organism are acquired characteristics	nongold
64	the number of body parts of an organism is an inherited characteristic	nongold
65	a plant is a kind of organism	nongold
66	the shape of body parts is an inherited characteristic	nongold
67	brown is a kind of color	nongold
68	an ear is a kind of body part	nongold
69	a human is a kind of mammal	nongold
70	traits can be determined by one pair; many pairs of genes in an organism	nongold
71	intelligence is an acquired characteristic	nongold
72	reproductive behavior is an inherited characteristic	nongold
73	an asexually produced offspring is genetically identical to its parent	nongold
74	a wolf is a kind of animal	nongold
75	a bird is a kind of living thing	nongold
76	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
77	a part of a living thing is a natural structure	nongold
78	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
79	a plant is a kind of living thing	nongold
80	feature is synonymous with characteristic	nongold
81	hair is similar to fur	nongold
82	reproduction is when an organism passes genetic information from itself to its offspring	nongold
83	ability is a kind of characteristic	nongold
84	a son is a kind of male offspring	nongold
85	the length of body parts is an inherited characteristic	nongold
86	an object is made of its parts	nongold
87	the body is a part of an organism	nongold
88	affected means changed	nongold
89	a behavior is a kind of characteristic	nongold
90	inherited characteristics can change over several generations	nongold
91	a type of something is a kind of property of that something	nongold
92	inherited characteristics are a kind of hereditary information	nongold
93	the head is a part of an animal	nongold
94	a bird is a kind of animal	nongold
95	a mouse births; gives birth to live young	nongold
96	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
97	young means immature	nongold
98	the ability to grow is a kind of trait	nongold
99	reproduction is a kind of process	nongold
