Question	A pencil falls off of a desk. What moves the pencil toward the floor?	question
Answer	gravity	answer
0	to drop means to fall	nongold
1	the floor is at the bottom of a room	gold
2	falling means moving downward	gold
3	the floor is a kind of object	nongold
4	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
5	a pencil is a kind of object	gold
6	to move toward means to move nearer	nongold
7	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	gold
8	motion; movement means moving; to move	nongold
9	dropping something causes that something to fall	nongold
10	gravity is a kind of force	nongold
11	downward means down	gold
12	toward is a kind of direction	nongold
13	ground means floor	nongold
14	the bottom is the lowest part of something	gold
15	lowering is a kind of motion	nongold
16	gravity accelerates an object while that object falls by pulling on it	nongold
17	sinking means moving down	nongold
18	jumping off is a kind of  moving down	nongold
19	rolling down is similar to falling	nongold
20	rising is a kind of motion	nongold
21	low means down	gold
22	rising means moving upward	nongold
23	come down is similar to falling	nongold
24	sliding is a kind of motion	nongold
25	to lift means to move up	nongold
26	falling means height decreases	nongold
27	a desk is a kind of table	nongold
28	to lower means to decrease	nongold
29	a desk is usually short in height; in width	nongold
30	weight means the force of gravity acting on an object	nongold
31	toward is the opposite of away	nongold
32	a motion is a kind of event; action	nongold
33	the ceiling is at the top of a room	nongold
34	below means lower down	nongold
35	an object exerts an upward force objects that sit on that object	nongold
36	up means upward	nongold
37	Weight is  the  force of gravity acting on an object	nongold
38	a surface is a part of an object	nongold
39	if something strikes an object then that something may bounce off of that object	nongold
40	a human is a kind of animal	nongold
41	upward is the opposite of downward	nongold
42	a surface is a kind of object	nongold
43	sliding is a kind of movement	nongold
44	a room is a kind of object	nongold
45	to travel up means to rise	nongold
46	movement is a kind of change	nongold
47	the mass of an object causes the gravitational force exerted by that object	nongold
48	distance moved; distance travelled is a measure of how far an object moves	nongold
49	drop means decrease	nongold
50	sinking is a kind of downward direction	nongold
51	solid is a kind of state of matter	nongold
52	setting is a kind of motion	nongold
53	objects are made of materials; substances; matter	nongold
54	a wall is a kind of surface	nongold
55	room contains walls	nongold
56	raising is a kind of motion	nongold
57	gravity causes orbits	nongold
58	an part of an object is smaller than the entire object	nongold
59	travel means to move	nongold
60	height is a measure of length from the top of an object to the bottom of an object	nongold
61	a wall is a kind of object	nongold
62	a physical property is a kind of property	nongold
63	a living thing is a kind of object	nongold
64	an event is a kind of action	nongold
65	a desk usually has a length with values between 50.0 and 250 cm	nongold
66	revolving is a kind of motion	nongold
67	weight is a measure of the force of the gravity on the mass of an object	nongold
68	motion is when moves an object; something to a direction	gold
69	state of matter is a kind of physical property	nongold
70	beneath means below	nongold
71	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
72	as the mass of an object increases , the force of gravity on that object will increase	nongold
73	a particle is a kind of object	nongold
74	low is the opposite of high	nongold
75	particles in objects are a kind of matter	nongold
76	flat means level	nongold
77	vibration is a kind of motion	nongold
78	an animal is a kind of living thing	nongold
79	towards means closer to something	nongold
80	the ground is at the bottom of an area	nongold
81	downward is a kind of direction	nongold
82	a paper is a kind of object	nongold
83	to reduce means to decrease	nongold
84	a landform is a kind of object	nongold
85	can be means able to be	nongold
86	down is a kind of direction	nongold
87	a surface is a part of a material	nongold
88	below is the opposite of above	nongold
89	slipping is a kind of motion	nongold
90	weight is a property of objects; matter	nongold
91	state of matter means physical state	nongold
92	affected means changed	nongold
93	a classroom is a kind of a room	nongold
94	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
95	high is similar to increase	nongold
96	to add means to increase	nongold
97	person is synonymous with human	nongold
98	as an object is moving down , the speed of the object  will increase	nongold
99	as the height of a dropped object increases , that object will fall for longer	nongold
