Question	When a balloon is filled with air and suddenly released, it will fly around the room as the air escapes. If compared to space transportation, the escaping air is most similar to what subsystem of a spacecraft?	question
Answer	propulsion	answer
0	propulsion is a kind of subsystem of a spacecraft	gold
1	a balloon is a kind of object	nongold
2	escaping air is used for propelling a spacecraft forward by that spacecraft's propulsion system	gold
3	propulsion is used for flying by a spacecraft	gold
4	a balloon contains gas	gold
5	a balloon is a kind of container	nongold
6	to be released is similar to escape	gold
7	flying is a kind of motion through air; space	nongold
8	to transfer is similar to transport	nongold
9	transport means to move; to make travel	nongold
10	a room is a kind of object	nongold
11	propulsion can cause a deflating balloon to fly	gold
12	transporting is a kind of function	nongold
13	a room is a kind of container	nongold
14	a vehicle is a kind of tool for travel; transport	nongold
15	converting is similar to releasing	nongold
16	to ship means to transport	nongold
17	a vehicle is a kind of object	nongold
18	air is a kind of gas	gold
19	to be filled with means to contain	gold
20	to emit means to release	nongold
21	if two things perform the same function then those two things are similar	nongold
22	a vehicle is used for transportation	nongold
23	atmosphere means  air	nongold
24	producing is similar to releasing	nongold
25	high is similar to increase	nongold
26	a container contains objects; material; substances	nongold
27	a balloon is highly flexible	nongold
28	travel means to move	nongold
29	the air is a kind of substance	nongold
30	flying is a kind of locomotion	nongold
31	An example of a container is room	nongold
32	to bring means to transport	nongold
33	a balloon is made of rubber	nongold
34	the atmosphere contains gases; liquids; solids	nongold
35	opposite is a kind of different	nongold
36	produce is similar to release	nongold
37	a machine is a kind of  device	nongold
38	convert is similar to transfer	nongold
39	transportation technology is used for moving people; products	nongold
40	to carry means to transport	nongold
41	a liquid is a kind of substance	nongold
42	air is a kind of matter	nongold
43	flight is similar to a movement in the air made by an airplane	nongold
44	a machine is a kind of object	nongold
45	gas is a kind of object	nongold
46	room contains walls	nongold
47	the function of something is what that something  is used to do	nongold
48	producing thrust causes something; an animal; an object to move	nongold
49	an increase is the opposite of a decrease	nongold
50	releasing energy is a kind of function	nongold
51	a vehicle is used for travel	nongold
52	gas is a kind of material	nongold
53	gas is a kind of substance	nongold
54	objects are made of materials; substances; matter	nongold
55	a device is a kind of object	nongold
56	to be a vehicle for is a kind of function	nongold
57	if gas is trapped in a container , then the gas is not released	nongold
58	to add means to increase	nongold
59	an increase is a kind of change	nongold
60	a rocket is a kind of object	nongold
61	air mass means a volume of air	nongold
62	a rocket is a kind of vehicle	nongold
63	motion; movement means moving; to move	nongold
64	low is similar to decrease	nongold
65	an astronaut is a kind of human	nongold
66	affected means changed	nongold
67	system means a set of objects	nongold
68	a source of something emits; produces; generates; provides that something	nongold
69	if something releases something else then that something is the source of that something else	nongold
70	can be means able to be	nongold
71	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
72	not is similar to the opposite of	nongold
73	powering is similar to fueling	nongold
74	launching is a kind of motion	nongold
75	an airplane is a kind of vehicle	nongold
76	a rocket engine is used to produce thrust by pushing gases out at a high speed	nongold
77	material means substance	nongold
78	to change means to become different	nongold
79	form means kind	nongold
80	less is similar to decrease	nongold
81	a container is a kind of object	nongold
82	space is a vacuum	nongold
83	size; amount of space means volume	nongold
84	variable means able to change	nongold
85	to slow; to slow down decreases speed	nongold
86	a component means a part of	nongold
87	if two things are made from the same objects; material then those two things are similar	nongold
88	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
89	space shuttles require materials that can withstand heat	nongold
90	a type is synonymous with a kind	nongold
91	An example of mechanical energy is an object in motion	nongold
92	a rocket is a kind of mechanical system	nongold
93	motion is when moves an object; something to a direction	nongold
94	a surface is a part of an object	nongold
95	An example of an object with kinetic energy is an object in motion	nongold
96	matter; materials; substances are made of atoms; particles	nongold
97	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
98	to lower means to decrease	nongold
99	motion is a source of kinetic energy in an object	nongold
