Question	Turning off the light when leaving a room is an example of	question
Answer	conserving energy.	answer
0	An example of using less energy is turning off the light when leaving a room	gold
1	conserving resources has a positive impact on the environment	nongold
2	a kind of something is an example of that something	nongold
3	a room is a kind of object	nongold
4	conserving water is a kind of characteristic	nongold
5	turning on is a kind of process	nongold
6	leaving something on is a kind of action	nongold
7	light is a kind of energy	nongold
8	light is a kind of energy	gold
9	using less of a resource means conserving that resource	gold
10	conservation is often conserving natural resources	nongold
11	leaving is a kind of movement	nongold
12	to help; to benefit means to be of use	nongold
13	negative impact is the opposite of positive impact	nongold
14	to be used for something means to be required by that something	nongold
15	taking is the opposite of giving; leaving	nongold
16	sunlight is a kind of light	nongold
17	resources sometimes are used for energy	gold
18	a room is a kind of container	nongold
19	helping something has a  positive impact on that something	nongold
20	An example of managing; maintaining the number; the use of something is replacing that something	nongold
21	light means light energy	nongold
22	a human is a kind of animal	nongold
23	leaving something undisturbed means not changing that something	nongold
24	person is synonymous with human	nongold
25	a source of something emits; produces; generates; provides that something	nongold
26	An example of a container is room	nongold
27	requiring is similar to needing help	nongold
28	a positive impact is a helpful effect	nongold
29	to serve as means to be used as	nongold
30	useful means able to be used	nongold
31	if something causes a process then that something is required for that process	nongold
32	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
33	an energy source is a kind of resource	nongold
34	protecting is a kind of function	nongold
35	harming something has a  negative impact on; effect on that something	nongold
36	solution is similar to a positive impact	nongold
37	answering questions requires information	nongold
38	providing is a kind of function	nongold
39	room contains walls	nongold
40	impact means effect	nongold
41	saving money has a positive impact on a person; a company	nongold
42	being used for is similar to providing	nongold
43	to depend on; to rely on; to need means to require	nongold
44	the function of something is what that something  is used to do	nongold
45	consumption means use	nongold
46	to turn means to change	nongold
47	if something is required for a process then that something positively impacts that process	nongold
48	turning is a kind of motion	nongold
49	a light bulb generates visible light when it is turned on	nongold
50	hibernation is used for conserving energy; resources by some animals	nongold
51	beneficial means helpful	nongold
52	if something performs a task then that task is that something's function	nongold
53	to provide something means to be the source of that something	nongold
54	adverse effect means negative impact	nongold
55	out is synonymous with outside	nongold
56	to be a vehicle for is a kind of function	nongold
57	best means most positive	nongold
58	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
59	area; space is a kind of resource	nongold
60	a good conductor is a conductor	nongold
61	to illuminate means to light up	nongold
62	light is a kind of wave	nongold
63	damage means harm	nongold
64	a light bulb is a part of a  lamp	nongold
65	An example of conservation is avoiding waste	nongold
66	to conserve means to not change	nongold
67	good means positive	nongold
68	an animal is a kind of consumer	nongold
69	operating electrical appliances requires electricity	nongold
70	light is a kind of nonliving thing	nongold
71	an animal is a kind of organism	nongold
72	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
73	a light bulb requires electrical energy to produce light	nongold
74	a producer is a kind of living thing	nongold
75	heat is a kind of energy	nongold
76	a person is a kind of animal	nongold
77	the heat energy produced by the light bulb is not used	nongold
78	a negative impact is a kind of consequence; risk	nongold
79	useful means good to use	nongold
80	high is similar to increase	nongold
81	to work means to function	nongold
82	if a living thing requires something then that something has a positive impact on that living thing	nongold
83	if an object is in the light then that object is blocking the light	nongold
84	a producer is a source of energy for consumers	nongold
85	if something has a positive impact on something else then that something is important to that something else	nongold
86	to be used  for something means to help to do that something	nongold
87	electricity means electrical energy	nongold
88	requiring something means needing that something	nongold
89	to slow; to slow down decreases speed	nongold
90	when electricity flows to a light bulb , the light bulb will turn on; come on	nongold
91	resources becoming available has a positive impact on the things that need those resources	nongold
92	human is a kind of organism	nongold
93	a  solution  is a kind of object	nongold
94	food is a kind of resource	nongold
95	something harmful can cause harm	nongold
96	an part of an object is smaller than the entire object	nongold
97	converting is similar to turning into	nongold
98	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
99	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
