Question	A jeweler melts gold to make jewelry. As the gold melts, the mass	question
Answer	stays the same.	answer
0	to remain means to stay the same	nongold
1	stay the same means not changing	gold
2	same means identical; equal in value; amount; number; quantity	nongold
3	gold is a kind of metal	nongold
4	as the heat  of an object increases , the mass of the object will stay the same	nongold
5	if something has no impact on something else then that something else stays the same	nongold
6	mass; weight are the same on Earth	nongold
7	staying means not changing	nongold
8	gold can be used for making jewelry	nongold
9	gold is a kind of element	nongold
10	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
11	mass; weight is a property of matter; objects; materials	nongold
12	as a substance dissolves in water , the mass of the substance will stay the same	nongold
13	if something changes , then that something is not the same	nongold
14	as the force  of gravity changes , the mass of the object will stay the same	nongold
15	as the shape of an object changes , the mass of that object will stay the same	nongold
16	to remain means to not change	nongold
17	keeping means staying	nongold
18	mass is a property of objects; matter	nongold
19	to remain means to stay where it is	nongold
20	gold is a kind of solid	gold
21	different is the opposite of the same	nongold
22	metal is a kind of substance	nongold
23	temperature changing does not cause mass to change	nongold
24	the  property of something is the same for the things of same kind	nongold
25	to change means to become different	nongold
26	silver is a kind of metal	nongold
27	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
28	make means produce	nongold
29	as the class of a rock changes ,  the mass of the rock will stay the same	nongold
30	constant is similar to same	nongold
31	gold is always nonmagnetic	nongold
32	mass has no impact on boiling; melting; freezing point	nongold
33	metals are made of metal	nongold
34	metal is a kind of material	nongold
35	if something is copied then that something will be the same; similar; identical	nongold
36	mass is similar to size	nongold
37	to add means to increase	nongold
38	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
39	provide is similar to give; make	nongold
40	matter; materials; substances are made of atoms; particles	nongold
41	manufacture means make	nongold
42	if something is not the same as something else then that something is different from that something else	nongold
43	high is similar to increase	nongold
44	as state of matter changes , mass will not change	gold
45	massive means great in mass	nongold
46	melting is a kind of process	nongold
47	if two things are made from the same objects; material then those two things are similar	nongold
48	to cause means to make	nongold
49	providing something means making;delivering something	nongold
50	affected means changed	nongold
51	temperature is a measure of heat energy	nongold
52	density is a measure of mass of an object over volume; divided by volume	nongold
53	weight is a property of objects; matter	nongold
54	objects are made of materials; substances; matter	nongold
55	mass is a measure of the amount of matter in an object	nongold
56	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
57	an element is a kind of material	nongold
58	mass is a kind of information	nongold
59	to match means to be the same	nongold
60	to stay means to continue to exist	nongold
61	live is similar to stay	nongold
62	mass; weight is an extensive property	nongold
63	an increase is a kind of change	nongold
64	manufacturing means making	nongold
65	copper is a kind of metal	nongold
66	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
67	melting is when solids are heated above their melting point	nongold
68	heat means heat energy	nongold
69	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
70	opposite is a kind of different	nongold
71	all elements are a kind of pure substance	nongold
72	variable means able to change	nongold
73	constant means not changing	nongold
74	a metal is a kind of element	nongold
75	to change means to cause a change	nongold
76	production is similar to making	nongold
77	no longer means used to be	nongold
78	gold is soft	nongold
79	can be means able to be	nongold
80	to lower means to decrease	nongold
81	as amount; size of something increases , the intensive properties of that something will not change	nongold
82	if an object is made of a material then that object has the properties of that material	nongold
83	adding heat means increasing temperature	nongold
84	to turn means to change	nongold
85	ice is a kind of object	nongold
86	to keep something occurring means to cause that something to occur	nongold
87	a source of something emits; produces; generates; provides that something	nongold
88	a device is a kind of object	nongold
89	definite is the opposite of variable	nongold
90	form means kind	nongold
91	weight is a measure of the force of the gravity on the mass of an object	nongold
92	to convert means to change	nongold
93	low is similar to decrease	nongold
94	a balance is used for measuring mass;weight of an object; of a substance	nongold
95	give off is similar to make	nongold
96	material means substance	nongold
97	a product is a kind of object	nongold
98	to slow; to slow down decreases speed	nongold
99	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
