Question	Which of these reduces the need for people to use nonrenewable resources?	question
Answer	designing cars that are fuel efficient	answer
0	using resources decreases those resources	nongold
1	fossil fuels are a nonrenewable resource	gold
2	fuel efficient means uses less fuel	gold
3	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
4	less is similar to decrease	gold
5	an increase is the opposite of a decrease	nongold
6	operating an automobile usually requires fossil fuels	gold
7	an automobile is a kind of vehicle	nongold
8	to reduce means to decrease	gold
9	a car is a kind of automobile	gold
10	a car is a kind of vehicle	nongold
11	person is synonymous with human	nongold
12	using less of a resource increases the availability of that resource	nongold
13	to be used for something means to be required by that something	gold
14	low is similar to decrease	nongold
15	as the use of something decreases , the use of the source of that something will decrease	nongold
16	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
17	to depend on; to rely on; to need means to require	gold
18	increase means more	nongold
19	as use of public transportation increases , the use of automobiles decreases	nongold
20	a person is a kind of animal	nongold
21	less means a reduced amount	nongold
22	reducing is a kind of change	nongold
23	resources becoming available has a positive impact on the things that need those resources	nongold
24	less is the opposite of more	nongold
25	renewable is the opposite of nonrenewable	nongold
26	as the use of alternative fuels increases , the use of gasoline will decrease	nongold
27	little is similar to decrease	nongold
28	a decrease is a kind of change	nongold
29	to lower means to decrease	nongold
30	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
31	as the amount of a source of something decreases , the amount of that something will decrease	nongold
32	requiring something means needing that something	nongold
33	high is similar to increase	nongold
34	deplete is similar to decrease	nongold
35	requiring is similar to needing help	nongold
36	negative impact is the opposite of positive impact	nongold
37	to be required means to be necessary	nongold
38	a nonrenewable resource is limited in supply	nongold
39	a car is a kind of object	nongold
40	the automobile is a kind of technology	nongold
41	vehicles usually require gasoline to operate	nongold
42	to use means to utilize	nongold
43	as the use of a resource decreases , the length of time that resource will be available increases	nongold
44	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
45	a human is a kind of animal	nongold
46	a factor impacts something	nongold
47	oil is a nonrenewable resource	nongold
48	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
49	helping something has a  positive impact on that something	nongold
50	a fossil fuel is a kind of natural resource	nongold
51	performing a task in less time; more quickly; faster has a positive impact on a person's life	nongold
52	if a living thing requires something then that something has a positive impact on that living thing	nongold
53	not efficient means inefficient	nongold
54	as the cause of something decreases , that something will decrease	nongold
55	an animal is a kind of organism	nongold
56	natural gas is a nonrenewable resource	nongold
57	to help; to benefit means to be of use	nongold
58	an increase is a kind of change	nongold
59	wasting a resource is reducing the amount  of that resource without using that resource	nongold
60	harming something has a  negative impact on; effect on that something	nongold
61	decreasing something negative has a positive impact on a thing	nongold
62	decreasing something positive has a negative impact on a thing	nongold
63	having a job has a positive impact on a human	nongold
64	powering is similar to fueling	nongold
65	pollution has a negative impact on the environment; air quality; water quality; society	nongold
66	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
67	using the fuel requires burning the fuel	nongold
68	gasoline is a kind of fuel	nongold
69	to impact means to affect	nongold
70	a positive impact is  a benefit	nongold
71	using less of a resource means conserving that resource	nongold
72	if something is required for a process then that something positively impacts that process	nongold
73	solution is similar to a positive impact	nongold
74	to add means to increase	nongold
75	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
76	automobiles; industrialization are a source of carbon dioxide	nongold
77	a vehicle is a kind of object	nongold
78	saving money has a positive impact on a person; a company	nongold
79	as mileage per galon of gasoline increases , the amount of gasoline used will decrease	nongold
80	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
81	too much is similar to increase	nongold
82	replacing something causes that something to decrease	nongold
83	an animal is a kind of living thing	nongold
84	loss means reduction	nongold
85	nonrenewable resources will eventually be depleted	nongold
86	counter means reduce; stop; resist	nongold
87	if something with the same function as something else is being used then the use of that something else decreases	nongold
88	to make means to build	nongold
89	using a car causes pollution	nongold
90	making something requires resources	nongold
91	fewer means lower; less in number	nongold
92	lower means less	nongold
93	reducing is similar to slowing	nongold
94	a source of something emits; produces; generates; provides that something	nongold
95	a negative impact is a kind of consequence; risk	nongold
96	a source of something increases the amount of that something	nongold
97	human is a kind of organism	nongold
98	to slow; to slow down decreases speed	nongold
99	needing something means depending on that something	nongold
