Question	Light enters the human eye through the	question
Answer	pupil.	answer
0	light enters the eye through the pupil	gold
1	when light enters the eye through the pupil , that light falls on the retina	nongold
2	to pass into means to enter	nongold
3	passing through is similar to entering	nongold
4	eyes are a part of a human for seeing	gold
5	a human is a kind of animal	nongold
6	a retina is part of an eye for sensing light	nongold
7	eyes are used for seeing by animals by sensing light	nongold
8	eyes are usually part of an animal for seeing	nongold
9	seeing requires light	nongold
10	sight means vision	nongold
11	eyes can sense;detect light energy for seeing	gold
12	sunlight is a kind of light	nongold
13	the eyes are part of the head used for seeing	nongold
14	human eyes can only see light in the range of visible light	nongold
15	seeing is used for sensing visual things	nongold
16	if something enters something else then that something is in that something else	nongold
17	to undergo is similar to to pass through	nongold
18	sight means to see	nongold
19	visible means able to be seen	nongold
20	visible light is a kind of  light	nongold
21	human is a kind of organism	nongold
22	to pass through means to move through	nongold
23	an animal is a kind of living thing	nongold
24	returning is similar to entering	nongold
25	to pass means to occur	nongold
26	reading  requires seeing	nongold
27	can be means able to be	nongold
28	UV light is a kind of light	nongold
29	sight is a kind of sense	nongold
30	a source of something emits; produces; generates; provides that something	nongold
31	an animal is a kind of organism	nongold
32	no light shines through an opaque object	nongold
33	viewing means observing light	nongold
34	reflection is when light is reflected from one object; one place to  another object; another place	nongold
35	a living thing is a kind of object	nongold
36	if an object is translucent , then some light will shine through that object	nongold
37	light means light energy	nongold
38	if an object reflects light toward the eye then that object can be seen	nongold
39	to pass means to transfer	nongold
40	answering questions requires information	nongold
41	to focus means to concentrate	nongold
42	reflecting light; sound is the opposite of absorbing light; sound	nongold
43	to see means to look	nongold
44	x-rays can pass through some parts of the body	nongold
45	media; medium means the material something travel through	nongold
46	to pass means to travel	nongold
47	to illuminate means to light up	nongold
48	a white object reflects all visible light	nongold
49	observable means visible	nongold
50	an image transmits visual information	nongold
51	light rays means light	nongold
52	to originate means to begin	nongold
53	dark is the opposite of light	nongold
54	observe means see	nongold
55	feeling is when an living thing senses through touch	nongold
56	refractions of light can be used to help a person see	nongold
57	bright means bright; light in color	nongold
58	appear is similar to apparent	nongold
59	reflection is a kind of process	nongold
60	high is similar to increase	nongold
61	an organism is a living thing	nongold
62	an increase is a kind of change	nongold
63	reflection is a property of light	nongold
64	objects are made of materials; substances; matter	nongold
65	the function of something is what that something  is used to do	nongold
66	studying  something usually requires seeing that something	nongold
67	to shine means to emit light	nongold
68	color is a kind of physical; visual property	nongold
69	if an object is transparent , then light will shine through that object without scattering	nongold
70	emit means produce	nongold
71	sensory organs are used for sensing	nongold
72	if something transfers something else then that something is a source of something else	nongold
73	form means kind	nongold
74	an image in a mirror is formed by reflecting light	nongold
75	light is a kind of wave	nongold
76	to receive sunlight means to absorb sunlight	nongold
77	blue eyes are similar to light eyes	nongold
78	to create means to make	nongold
79	to run through means to transfer	nongold
80	to produce means to create	nongold
81	if an object is black then that object absorbs all visible light; heat	nongold
82	a human is a kind of mammal	nongold
83	a mirror reflects light	nongold
84	a brain is a part of an animal	nongold
85	receiving sunlight  is synonymous with absorbing sunlight	nongold
86	converting is similar to producing	nongold
87	visible light is able to be seen without using equipment	nongold
88	if an object is opaque , then light will not shine through that object	nongold
89	a part of something is present in that something	nongold
90	image means visual depiction of an object	nongold
91	composed of means made of	nongold
92	to touch means to contact	nongold
93	shadow of an object can be seen by eyes	nongold
94	brightness means amount of light	nongold
95	an part of an object is smaller than the entire object	nongold
96	to emit means to release	nongold
97	if an object is white then that object reflects all visible light	nongold
98	if an object is in the light then that object is blocking the light	nongold
99	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
