Question	What happens to the physical state of water when it freezes?	question
Answer	expands	answer
0	when water freezes , that water expands	gold
1	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
2	water expanding when it freezes is a physical property of water	nongold
3	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
4	freezing means cold temperatures	nongold
5	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
6	expand is a kind of change	nongold
7	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
8	physical state means state of matter	nongold
9	expand means increase in size	nongold
10	freezing is a kind of phase change	nongold
11	frozen means solid	nongold
12	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
13	water is a kind of liquid at room temperature	nongold
14	state of matter means physical state	nongold
15	liquid is a kind of state of matter	nongold
16	expand means increase in volume	nongold
17	cooling means temperature decreases	nongold
18	solid is a kind of state of matter	nongold
19	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
20	temperature is a measure of heat energy	nongold
21	water is a kind of substance	nongold
22	cycles of freezing and thawing water cause ice wedging	nongold
23	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
24	expand is a kind of change in volume	nongold
25	to add means to increase	nongold
26	water is a kind of matter	nongold
27	heat means heat energy	nongold
28	ice is a kind of solid	nongold
29	an increase is a kind of change	nongold
30	gas is a kind of state of matter	nongold
31	a phase change is a kind of physical change	nongold
32	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
33	cold means low in temperature	nongold
34	heat means temperature increases	nongold
35	liquids expand more than solids when heated	nongold
36	freezing causes a solid to form	nongold
37	an increase is the opposite of a decrease	nongold
38	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
39	high is similar to increase	nongold
40	a decrease is a kind of change	nongold
41	a solid is a kind of substance	nongold
42	adding heat means increasing temperature	nongold
43	icy means made of ice	nongold
44	liquid water cooling causes that liquid water to freeze	nongold
45	compress is the opposite of expand	nongold
46	to reduce means to decrease	nongold
47	a liquid is a kind of substance	nongold
48	expand means spread out	nongold
49	if something undergoes a physical change then the physical properties of that something will change	nongold
50	water is a kind of object	nongold
51	ice is a kind of water phase	nongold
52	ice is a kind of object	nongold
53	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
54	ice is colder than water in temperature	nongold
55	ice wedging is when ice causes rocks to crack by expanding in openings	nongold
56	ice is cold in temperature	nongold
57	state of matter is a kind of physical property	nongold
58	variable means able to change	nongold
59	state of matter at room temperature is a kind of physical property	nongold
60	phase means state	nongold
61	low is similar to decrease	nongold
62	to lower means to decrease	nongold
63	heat energy can change the state of matter	nongold
64	gas is a kind of substance	nongold
65	if gas is heated then that gas will expand; rise	nongold
66	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
67	if  a  material is heated , then the  material will expand	nongold
68	increase means more	nongold
69	water is a kind of water phase	nongold
70	affected means changed	nongold
71	state means form	nongold
72	temperature changing can cause phase changes	nongold
73	melting is a kind of phase change	nongold
74	cool means cold	nongold
75	substances are made of matter	nongold
76	hot means high in heat energy; temperature	nongold
77	a change is a kind of event	nongold
78	to happen means to occur	nongold
79	a container contains objects; material; substances	nongold
80	freezing point is similar to melting point	nongold
81	objects are made of materials; substances; matter	nongold
82	as heat increases , a flexible container containing gas will expand	nongold
83	colder; cooler means lower in temperature	nongold
84	something that happens is a kind of event	nongold
85	freezing is a kind of  exothermic process	nongold
86	contract is the opposite of expand	nongold
87	moisture means liquid; liquid water	nongold
88	less is similar to decrease	nongold
89	ice is a kind of food	nongold
90	matter; materials; substances are made of atoms; particles	nongold
91	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
92	to change means to cause a change	nongold
93	temperature is a kind of condition	nongold
94	can be means able to be	nongold
95	a surface is a part of an object	nongold
96	freezing point is a kind of physical property	nongold
97	a liquid is a kind of fluid	nongold
98	extreme means very high in value	nongold
99	formation of a state of matter is a kind of process	nongold
