Question	During which season of the year would a rabbit's fur be thickest?	question
Answer	winter	answer
0	a rabbit is a kind of animal	gold
1	a rabbit is a kind of mammal	nongold
2	some animals' fur grows thicker for staying warm in the winter	gold
3	an animal is a kind of living thing	nongold
4	fur is often part of an animal	nongold
5	winter is a kind of season	gold
6	fur is usually part of a mammal	nongold
7	a rabbit is a kind of herbivore	nongold
8	An example of a seasonal change is an animal growing thick fur for keeping warm in the winter	gold
9	thickness is  a measure of how thick an object  is	nongold
10	thin means small in width	nongold
11	coat means fur coat	nongold
12	fur is a covering around the body of an animal	nongold
13	thickness is a property of an object and includes ordered  values of thin; thick	nongold
14	each season occurs once per year	nongold
15	thick fur; thick feathers can be used for keeping warm	nongold
16	hair; fur is  a part of skin for protection; keeping warm	nongold
17	summer is a kind of season	nongold
18	winter is a part of the year	gold
19	Autumn is a kind of season	nongold
20	different seasons occur during different times of the year	nongold
21	fur is a part of a mouse	nongold
22	as the thickness of something; of an object increases , the resistance to damage of that object; of that something will increase	nongold
23	the thickness of the parts of an organism is an inherited characteristic	nongold
24	a living thing is a kind of object	nongold
25	an animal is a kind of organism	nongold
26	a rabbit cannot fly; climb	nongold
27	annual means once per year	nongold
28	a rabbit is a kind of prey	nongold
29	fur is usually soft in texture	nongold
30	when an animal sheds its fur , its fur becomes less dense	nongold
31	snow falls during the winter in some environments	nongold
32	as the thickness of an object increases , the resistance to tearing; to breaking will increase	nongold
33	winter is the opposite of summer	nongold
34	a deer is a kind of animal	nongold
35	spring is a kind of season	nongold
36	an increase is the opposite of a decrease	nongold
37	high is similar to increase	nongold
38	if an animal's fur is a color then that animal is that color	nongold
39	summer follows spring	nongold
40	a fox is a kind of animal	nongold
41	every summer  is a kind of period of time	nongold
42	spring follows winter	nongold
43	increase means more	nongold
44	a cat is a kind of carnivore	nongold
45	snow is a kind of precipitation	nongold
46	to lower means to decrease	nongold
47	denser means more dense	nongold
48	greatest means largest; highest; most amount of something	nongold
49	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
50	snow falls during the winter in the arctic environment	nongold
51	rabbits eat plants	nongold
52	a cat is a kind of animal	nongold
53	a cat is a kind of mammal	nongold
54	a mouse births; gives birth to live young	nongold
55	yearly means every year	nongold
56	answering questions requires information	nongold
57	snow is cold	nongold
58	a human is a kind of animal	nongold
59	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
60	if an animal's fur is a certain color then the skin of that animal is probably that same color	nongold
61	trait is synonymous with characteristic	nongold
62	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
63	furthest; farthest means greatest; most; highest in distance	nongold
64	a mouse is a kind of animal	nongold
65	colder; cooler means lower in temperature	nongold
66	to reduce means to decrease	nongold
67	to add means to increase	nongold
68	a mammal is a kind of animal	nongold
69	if a living thing becomes too cold then that living thing will die	nongold
70	the color of; coloration of fur is an inherited characteristic	nongold
71	some rabbits live in forests	nongold
72	winter follows fall	nongold
73	a structure of something is synonymous with a part of that something	nongold
74	a plant is a kind of living thing	nongold
75	a deer is a kind of herbivore	nongold
76	cooler means colder	nongold
77	an organism is a living thing	nongold
78	warmer means greater; higher in temperature; warmth	nongold
79	an increase is a kind of change	nongold
80	less is similar to decrease	nongold
81	a type is synonymous with a kind	nongold
82	tearing means  ripping	nongold
83	if a living thing requires something then that something has a positive impact on that living thing	nongold
84	a plant is a kind of organism	nongold
85	a covering is a kind of object	nongold
86	seasons cause change to the environment	nongold
87	low is similar to decrease	nongold
88	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
89	trait means property	nongold
90	a decrease is a kind of change	nongold
91	an part of an object is smaller than the entire object	nongold
92	skin is a part of an animal; plant	nongold
93	an animal is a member of an animal species	nongold
94	length is a part of size	nongold
95	hair is similar to fur	nongold
96	winter has cold temperatures;weather	nongold
97	heaviest means greatest mass; weight	nongold
98	white fur is white in color	nongold
99	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
