Question	Michael learned that the movement of Earth in the solar system causes changes that can be seen on the planet. Which change could be seen on Earth in the time it takes Earth to rotate once on its axis?	question
Answer	day becoming night	answer
0	Earth rotating on its axis occurs once per day	nongold
1	the Earth rotates on its axis	gold
2	a planet rotating causes cycles of day and night on that planet	gold
3	a rotation is a kind of movement	nongold
4	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
5	rotation is a kind of motion	nongold
6	becoming is similar to changing	nongold
7	rotate means turn	nongold
8	motion; movement means moving; to move	nongold
9	rotating is similar to moving	nongold
10	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
11	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
12	movement is a kind of change	nongold
13	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
14	Earth is a kind of planet	gold
15	rotation  is  the  circular movement of an object around a center; axis	nongold
16	to rotate means to complete a rotation	nongold
17	a planet is a kind of celestial object; body	nongold
18	some celestial bodies rotate in space	nongold
19	the Earth revolves around the sun	nongold
20	cycles of day and night occur once per day	nongold
21	revolving is a kind of motion	nongold
22	shift means move	nongold
23	rotate is similar to revolve	nongold
24	moving changes position	nongold
25	an increase is a kind of change	nongold
26	to change means to cause a change	nongold
27	motion is when moves an object; something to a direction	nongold
28	becoming is similar to forming	nongold
29	how long something takes is a kind of measurement of time	nongold
30	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
31	the day time is part of one day	nongold
32	the sun rising; setting occurs once per day	nongold
33	Earth's rotation causes time zones	nongold
34	high is similar to increase	nongold
35	the moon rotates on its axis	nongold
36	phase means state	nongold
37	the solar system is a kind of system	nongold
38	moving is similar to travelling	nongold
39	the solar system contains the moon	nongold
40	days are a kind of unit for measuring time	nongold
41	spin means rotate	nongold
42	affected means changed	nongold
43	to turn means to change	nongold
44	the sun rising and setting causes cycles of day and night	nongold
45	to add means to increase	nongold
46	the night time is part of one day	nongold
47	once means one time	nongold
48	the solar system contains eight planets	nongold
49	movements of celestial bodies are a kind of event	nongold
50	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
51	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
52	variable means able to change	nongold
53	to convert means to change	nongold
54	a planet is a kind of place	nongold
55	take place means happen	nongold
56	becoming is a kind of action	nongold
57	if the component of something changed , then the whole thing will change	nongold
58	the sun is a source of light; light energy called sunlight	nongold
59	if it is night then the sun has set	nongold
60	if something moves then that something is in a different location	nongold
61	Celestial bodies move in orbits in space around other celestial bodies	nongold
62	visible means able to be seen	nongold
63	Earth's angle of tilt causes the length of day and night to vary	nongold
64	turning is a kind of motion	nongold
65	a star is a kind of celestial object; celestial body	nongold
66	a decrease is a kind of change	nongold
67	all the time means at day and at night	nongold
68	to transform means to convert	nongold
69	to change means to have an effect	nongold
70	can be means able to be	nongold
71	to change means to become different	nongold
72	events occur at a specific place; at a specific time; with a specific frequency	nongold
73	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
74	a motion is a kind of event; action	nongold
75	gravity causes orbits	nongold
76	causing means influencing	nongold
77	turns is similar to changes	nongold
78	a change is a kind of event	nongold
79	to view means to see	nongold
80	form means kind	nongold
81	change is a kind of process	nongold
82	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
83	once per means every	nongold
84	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
85	daytime means day	nongold
86	period is similar to amount of time	nongold
87	moving in a circle means moving in a circular motion	nongold
88	an increase is the opposite of a decrease	nongold
89	revolving  around something means orbiting that something	nongold
90	to modify means to change	nongold
91	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
92	temperature changing can cause phase changes	nongold
93	the sunlight occurs during the day	nongold
94	to happen means to occur	nongold
95	planets in the solar system orbit the Sun	nongold
96	to cause means to have an effect	nongold
97	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
98	to see means to look	nongold
99	a state is a kind of place	nongold
