Question	Aluminum and copper are composed of different types of matter. Which statement best describes matter?	question
Answer	Matter has mass and volume.	answer
0	aluminum is a kind of matter	nongold
1	aluminum is a kind of metal	gold
2	mass is a property of objects; matter	gold
3	the volume of an object can be used to describe  the size of that object	nongold
4	the properties of something are used for describing that something	gold
5	volume is a property of matter	gold
6	mass; weight is a property of matter; objects; materials	nongold
7	copper is a kind of metal	gold
8	composition means the (materials, substances) of which something is composed	nongold
9	composition is a property of an object; matter	nongold
10	objects are made of materials; substances; matter	nongold
11	a type is synonymous with a kind	nongold
12	aluminum is a kind of element	nongold
13	composed of means made of	nongold
14	density is a measure of mass of an object over volume; divided by volume	nongold
15	substances are made of matter	nongold
16	metal is a kind of substance	nongold
17	copper is a kind of element	nongold
18	materials are made of matter	gold
19	size; amount of space means volume	nongold
20	mass is similar to size	nongold
21	matter; materials; substances are made of atoms; particles	nongold
22	metal is a kind of material	gold
23	to be made of something means to be formed of that something	nongold
24	measuring is used for describing an object	nongold
25	to be made of means to consist of	nongold
26	both means two	nongold
27	two objects are usually different in size	nongold
28	mass is a kind of physical property	nongold
29	mass is a measure of the amount of matter in an object	nongold
30	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
31	made up of means contains; made of	nongold
32	the properties of something can be used to identify; used to describe that something	nongold
33	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
34	Matter in the liquid phase has definite volume	nongold
35	opposite is a kind of different	nongold
36	rocks sometimes contain aluminum	nongold
37	different is the opposite of the same	nongold
38	if an object is made of a material then that object has the properties of that material	nongold
39	Matter in the gas phase has variable volume	nongold
40	an object is made of its parts	nongold
41	Matter in the solid phase has definite volume	nongold
42	to change means to become different	nongold
43	variability of shape; variability of volume is a kind of physical property	nongold
44	metals are made of metal	nongold
45	steel is a kind of metal	nongold
46	particles in objects are a kind of matter	nongold
47	variety means different kinds; different types	nongold
48	form means kind	nongold
49	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
50	aluminum is recyclable	nongold
51	different materials usually have different properties	nongold
52	mass; weight is an extensive property	nongold
53	brass is made of copper and zinc	nongold
54	a bar of copper is a kind of object	nongold
55	a structure of something is synonymous with a part of that something	nongold
56	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
57	liquid is a kind of state of matter	nongold
58	classifying means grouping objects; materials by their properties	nongold
59	material means substance	nongold
60	silver is a kind of metal	nongold
61	a container contains objects; material; substances	nongold
62	zinc is a kind of metal	nongold
63	iron is a kind of solid	nongold
64	state means form	nongold
65	high is similar to increase	nongold
66	a metal is a kind of element	nongold
67	a sheet of copper is a kind of object	nongold
68	solid is a kind of state of matter	nongold
69	different substances are different in density	nongold
70	same means identical; equal in value; amount; number; quantity	nongold
71	structure is a property of an object; a material; a substance	nongold
72	to add means to increase	nongold
73	if something is made of something; a material then that something contains that something; that material	nongold
74	a metal is usually a solid at room temperature	nongold
75	gas is a kind of state of matter	nongold
76	milliliters is a kind of unit for measuring volume of liquids	nongold
77	water is a kind of matter	nongold
78	identical is the opposite of different	nongold
79	if an object is made of something then the parts of that object are made of that something	nongold
80	another means different	nongold
81	phase means state	nongold
82	mercury  is a kind of metal	nongold
83	an object has properties	nongold
84	affected means changed	nongold
85	matter is made of molecules	nongold
86	can be means able to be	nongold
87	made of is similar to contains	nongold
88	classifying is when one sorts something by kind; type	nongold
89	iron is a kind of metal	nongold
90	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
91	the  arrangement of particles is different in different substances	nongold
92	bronze is a kind of alloy	nongold
93	aluminum is always nonmagnetic	nongold
94	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
95	different types of matter have different chemical properties	nongold
96	rock is a kind of material	nongold
97	if two substances have the same volume , then the  substance with less density will have less mass	nongold
98	when two or more elements; molecules combine chemically , the mass of the product is equal to the combined masses of the elements or molecules	nongold
99	an increase is a kind of change	nongold
