Question	A function of a plant's roots is to	question
Answer	absorb water and minerals.	answer
0	roots are a vehicle for absorbing water and nutrients from soil into the plant	gold
1	plants absorb nutrients; water; oxygen from soil into themselves through their roots	gold
2	roots are a part of a plant; tree	nongold
3	absorbing is a kind of function	nongold
4	roots anchor plants into the soil	nongold
5	a root is a kind of object	nongold
6	to absorb means to capture	nongold
7	the function of something is what that something  is used to do	nongold
8	roots hold soil in place	nongold
9	a plant is a kind of living thing	nongold
10	soil contains nutrients for plants	nongold
11	absorbing is similar to obtaining	nongold
12	function is similar to purpose	nongold
13	a mineral is a kind of solid; natural material	nongold
14	soil is a kind of material	nongold
15	vegetation means plants	nongold
16	some minerals are nutrients	gold
17	a plant requires soil for survival; to grow	nongold
18	soil contains water; humus; weathered rocks; organic matter	nongold
19	In the erosion process roots of plants are an inhibitor	nongold
20	if heat is added to a substance then that substance absorbs that heat	nongold
21	a plant is a kind of organism	nongold
22	take in means absorb	nongold
23	a plants; living things require water for survival; to grow	nongold
24	water is a kind of substance	nongold
25	absorption is a kind of process	nongold
26	ground water is a kind of water	nongold
27	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
28	water is a kind of natural resource	nongold
29	water is a kind of natural resource	nongold
30	answering questions requires information	nongold
31	causing is a kind of function	nongold
32	role means function	nongold
33	if something absorbs something else then that something will contain that something else	nongold
34	using a raw material sometimes requires absorbing that raw material	nongold
35	soil is made of solid particles	nongold
36	something is used for that something's purpose	nongold
37	a mineral is a kind of object	nongold
38	a plant; living thing requires nutrients to grow	nongold
39	a function is a kind of characteristic	nongold
40	to be a vehicle for is a kind of function	gold
41	if two things perform the same function then those two things are similar	nongold
42	a function is an activity	nongold
43	collecting is similar to absorbing	nongold
44	a living thing is a kind of object	nongold
45	transporting nutrients, water, and minerals is a kind of function	nongold
46	soil is usually part of an environment	nongold
47	plant and animal matter means organic matter	nongold
48	converting is a kind of function	nongold
49	a plant's  roots slowly break down rocks as the roots grow	nongold
50	material means substance	nongold
51	breaking down is a kind of function	nongold
52	to emit means to release	nongold
53	if something transfers energy to something else then that something else absorbs that energy	nongold
54	absorbing something harmful has a negative impact on a thing	nongold
55	an organism is a source of organic matter	nongold
56	to work means to function	nongold
57	releasing energy is a kind of function	nongold
58	conducting is a kind of function	nongold
59	to receive sunlight means to absorb sunlight	nongold
60	producing is a kind of function	nongold
61	a mechanism is a kind of system that performs a function	nongold
62	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
63	providing structure is a kind of function	nongold
64	soil is made of very small rocks; minerals	nongold
65	soil is a part of the ground outside	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	a tree is a kind of plant	nongold
68	a plant requires water to grow	nongold
69	absorbing energy causes objects; materials; substances to heat	nongold
70	soil is a kind of nonliving thing	nongold
71	to be used for something means to be required by that something	nongold
72	absorption is a kind of event	nongold
73	rock is made of minerals	nongold
74	minerals are a nonrenewable resource	nongold
75	heat means heat energy	nongold
76	to have a function is similar to to be responsible for	nongold
77	taking in something means receiving; absorbing; getting something	nongold
78	something that contains water is similar to a body of water	nongold
79	protecting is a kind of function	nongold
80	moisture means liquid; liquid water	nongold
81	the top layer of soil contains the most nutrients	nongold
82	if something is made of something; a material then that something contains that something; that material	nongold
83	tree roots reduce soil erosion	nongold
84	an organism is a source of organic material	nongold
85	an organism is made of organic matter	nongold
86	substances are made of elements	nongold
87	water is a part of an environment	nongold
88	providing is a kind of function	nongold
89	a part of a living thing is a natural structure	nongold
90	water is a kind of matter	nongold
91	soil is found on the surface of the Earth	nongold
92	xylem carries water from the roots of a plant to the leaves of a plant	nongold
93	moving something is a kind of function	nongold
94	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
95	plants are a kind of resource	nongold
96	water contains dissolved oxygen	nongold
97	fungi absorb nutrients from decaying tissue	nongold
98	to depend on; to rely on; to need means to require	nongold
99	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant	nongold
