Question	Which energy type is common enough in Nevada to make a significant contribution to the renewable energy needs of the state?	question
Answer	geothermal	answer
0	geothermal energy is a renewable resource	gold
1	to depend on; to rely on; to need means to require	nongold
2	a type is synonymous with a kind	nongold
3	if something requires something else then that something else may be common in that something	nongold
4	Nevada is a state located in the United States of America	nongold
5	a type of something is a kind of property of that something	nongold
6	classifying is when one sorts something by kind; type	nongold
7	Nevada produces more gold than any other state	nongold
8	renewable is the opposite of nonrenewable	nongold
9	Nevada has abundant sunshine	nongold
10	geothermal energy is formed by magma heating Earth's crust	nongold
11	an energy source is a kind of resource	nongold
12	resources becoming available has a positive impact on the things that need those resources	nongold
13	if something requires something else then that something requires a source of that something else	nongold
14	Nevada mines produce gold	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	renewable resources are often available for many years	nongold
17	a renewable resource is a kind of natural resource	nongold
18	resources sometimes are used for energy	nongold
19	to contribute means to add	nongold
20	requiring something means needing that something	nongold
21	the Sierra Nevada is a kind of mountain range	nongold
22	a renewable resource is a kind of naturally replaced resource	nongold
23	what something needs is a property of that something	nongold
24	if something causes a process then that something is required for that process	nongold
25	form means kind	nongold
26	to be used for something means to be required by that something	nongold
27	in common is similar to the same	nongold
28	a fossil fuel is a kind of natural resource	nongold
29	the climate in Nevada is low in humidity	nongold
30	state means form	nongold
31	if something is required for a process then that something positively impacts that process	nongold
32	fossil fuels are a kind of energy resource	nongold
33	a state is a kind of place	nongold
34	high is similar to increase	nongold
35	variety means different kinds; different types	nongold
36	if something emits something else then that something increases the amount of that something else	nongold
37	a source of something increases the amount of that something	nongold
38	an inexhaustible resource is a kind of renewable resource	nongold
39	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
40	producing renewable electric energy requires renewable resources	nongold
41	an event is a kind of action	nongold
42	if something comes from something else then that something else is a source of that something	nongold
43	if something transfers something else then that something is a source of something else	nongold
44	solar energy is a renewable; inexhaustible resource	nongold
45	affected means changed	nongold
46	heat means heat energy	nongold
47	Nebraska is a state located in the United States of America	nongold
48	to contribute is similar to produce	nongold
49	if something is powered by something else then that something requires a source of that something else	nongold
50	where something  comes from is a source of that something	nongold
51	fossil fuels are a nonrenewable resource	nongold
52	an increase is a kind of change	nongold
53	if something generates energy for something else then that something powers that something else	nongold
54	a component means a part of	nongold
55	heat is a kind of energy	nongold
56	a component of something means a part of that something	nongold
57	change is a kind of impact	nongold
58	sunlight produces heat	nongold
59	if something releases something else then that something is the source of that something else	nongold
60	to power means to provide energy for	nongold
61	water is a renewable resource	nongold
62	a process is a kind of event	nongold
63	to make possible means to be required	nongold
64	make means produce	nongold
65	if something is a raw material in a process then that something is required for that process	nongold
66	plants are a kind of resource	nongold
67	making something requires resources	nongold
68	typically means usually	nongold
69	emit means produce	nongold
70	a supply of something is a source of that something	nongold
71	to cause something means to contribute to that something happening	nongold
72	similar means in common	nongold
73	a change is a kind of event	nongold
74	good means positive	nongold
75	to provide something means to be the source of that something	nongold
76	fossil fuels have high potential energy	nongold
77	electricity means electrical energy	nongold
78	if an event is more common then that event will occur more frequently	nongold
79	needing something means depending on that something	nongold
80	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	if something is made by something else then that something is affected by that something else	nongold
83	a renewable resource can be renewed	nongold
84	a part of a process means a stage in a process	nongold
85	can be means able to be	nongold
86	solar energy is a kind of energy	nongold
87	temperature is a measure of heat energy	nongold
88	if something is required then that something must be provided	nongold
89	the amount of something is similar to the availability of something	nongold
90	renewable resources can be used over again	nongold
91	events occur at a specific place; at a specific time; with a specific frequency	nongold
92	a kind of something is an example of that something	nongold
93	generate means produce	nongold
94	a factor impacts something	nongold
95	helping something has a  positive impact on that something	nongold
96	a motion is a kind of event; action	nongold
97	a source of heat can be used to heat something	nongold
98	a source of heat can be used to heat something	nongold
99	solar energy is a kind of heat energy	nongold
