Question	Scientists can identify an element by looking at the structure of a single	question
Answer	atom.	answer
0	the structure  of an atom can be used for identifying the element	gold
1	an  element is a kind of atom	nongold
2	identifying sometimes requires examining	nongold
3	an element is made of one kind of atoms	gold
4	single means one	nongold
5	the composition of something can be used to identify that something	nongold
6	the properties of something can be used to identify; used to describe that something	nongold
7	look at means observe	nongold
8	an atom is a kind of object	nongold
9	a scientist is a kind of human	nongold
10	classifying means grouping objects; materials by their properties	nongold
11	something's function can be used to describe; identify that something	nongold
12	scientists make observations	nongold
13	an atom is made of protons; neutrons; electrons	nongold
14	to identify means to discover	nongold
15	an element is identified by its number of protons	nongold
16	an atom is exceptionally small in size	nongold
17	an element is a kind of  substance	nongold
18	atom cannot be divided into smaller substances	nongold
19	to see means to look	nongold
20	hydrogen is a kind of element	nongold
21	nitrogen is a kind of element	nongold
22	oxygen  is a kind of element	nongold
23	an atom is the smallest particle; unit that has the properties of an element	nongold
24	a structure of something is synonymous with a part of that something	nongold
25	substances are made of elements	nongold
26	structure is similar to shape	nongold
27	identifying is similar to determining	nongold
28	matter; materials; substances are made of atoms; particles	nongold
29	carbon is a kind of element	nongold
30	atoms are made of particles	nongold
31	looking is similar to observing	nongold
32	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
33	an element is a kind of material	nongold
34	classifying is a kind of science process	nongold
35	a structure is a kind of feature	nongold
36	a molecule is made of atoms chemically combined; bonded	nongold
37	can be means able to be	nongold
38	to distinguish means to tell the difference between	nongold
39	structure is a property of an object; a material; a substance	nongold
40	classifying requires comparing	nongold
41	classifying is when one sorts something by kind; type	nongold
42	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
43	a compound can be chemically separated into the elements that it is made of	nongold
44	system is similar to structure	nongold
45	substances are made of molecules	nongold
46	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
47	the nitrogen family is a kind of group in periodic table	nongold
48	a molecule is a kind of object	nongold
49	if a substance is made of one element , then the substance is called an element	nongold
50	melting point can be used to identify a pure substance	nongold
51	substances are made of matter	nongold
52	nitrogen is a kind of gas	nongold
53	sulfur is a kind of element	nongold
54	N means nitrogen	nongold
55	all elements are a kind of pure substance	nongold
56	the outer electron shell is a part of the electron configuration	nongold
57	if something is made of something else then that something can be broken down into that something else	nongold
58	chemical compounds contain chemical bonds between atoms; between elements	nongold
59	elements in nitrogen family have five; 5 valence electrons	nongold
60	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
61	answering questions requires information	nongold
62	studying  something usually requires seeing that something	nongold
63	examining structures at the molecular level is being used to reclassify organisms	nongold
64	oxygen is a part of many organic molecules	nongold
65	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
66	a molecule is a kind of particle	nongold
67	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
68	researcher is a kind of scientist	nongold
69	materials are made of matter	nongold
70	a metal is a kind of element	nongold
71	matter is made of molecules	nongold
72	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
73	a molecule is exceptionally small in size	nongold
74	objects are made of materials; substances; matter	nongold
75	organisms are made of organic compounds	nongold
76	elements in oxygen family have six; 6 valence electrons	nongold
77	atomic number is a property of elements	nongold
78	compound is a kind of chemical	nongold
79	hydrogen is located on the left side; first column on the periodic table	nongold
80	oxygen gas is made of only  oxygen element	nongold
81	composed of means made of	nongold
82	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
83	DNA is a kind of nucleic acid	nongold
84	metals are found on the left side of the periodic table of elements	nongold
85	an electron is a kind of charged particle	nongold
86	chlorine is a kind of element	nongold
87	looking is a kind of activity	nongold
88	a pure substance is made of only one kind of atom; molecule	nongold
89	a chemical compound is a kind of compound	nongold
90	a glowing splint can be used for  identifying a gas	nongold
91	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
92	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
93	a compound is made of two or more elements that have been chemically combined	nongold
94	potassium is a kind of element	nongold
95	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
96	RNA is a kind of nucleic acid	nongold
97	a type is synonymous with a kind	nongold
98	discovering something usually requires seeing that something	nongold
99	sodium is a kind of element	nongold
