Question	In which way are evaporation and condensation similar?	question
Answer	Both are caused by changes in heat energy.	answer
0	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
1	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
2	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
3	evaporating is a kind of phase change	nongold
4	evaporation causes amount of water to decrease	nongold
5	condensing is a kind of  phase change	nongold
6	heating means adding heat	nongold
7	temperature changing can cause phase changes	nongold
8	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
9	to add means to increase	nongold
10	an increase is a kind of change	nongold
11	temperature is a measure of heat energy	nongold
12	heat energy is synonymous with thermal energy	nongold
13	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
14	water is a kind of liquid at room temperature	nongold
15	condensing is when gasses are  cooled below their boiling point	nongold
16	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
17	a decrease is a kind of change	nongold
18	an increase is the opposite of a decrease	nongold
19	heat means heat energy	nongold
20	evaporation is a kind of process	nongold
21	water is a kind of substance	nongold
22	water vapor;steam cooling causes that water vapor;steam to condense	nongold
23	heat energy can change the state of matter	gold
24	liquid is a kind of state of matter	gold
25	absorbing energy causes objects; materials; substances to heat	nongold
26	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
27	to change means to cause a change	nongold
28	adding heat means increasing temperature	nongold
29	hot means high in heat energy; temperature	nongold
30	condensation is a kind of process	nongold
31	both means two	nongold
32	a liquid is a kind of substance	nongold
33	boiling is a kind of phase change	nongold
34	gas is a kind of state of matter	gold
35	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
36	steam; water vapor is a kind of water phase	nongold
37	solid is a kind of state of matter	nongold
38	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
39	to change means to become different	nongold
40	high is similar to increase	nongold
41	heat means temperature increases	nongold
42	vapor is synonymous with gas	nongold
43	a solid is a kind of substance	nongold
44	water is a kind of matter	nongold
45	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
46	to reduce means to decrease	nongold
47	if heat is added to a substance then that substance absorbs that heat	nongold
48	boiling is when liquids are heated above their boiling point	nongold
49	a hot substance is a source of heat	nongold
50	phase means state	nongold
51	if two things are made from the same objects; material then those two things are similar	nongold
52	condensing is a kind of process	nongold
53	if two things perform the same function then those two things are similar	nongold
54	variable means able to change	nongold
55	gas is a kind of substance	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	thermal energy is a kind of energy	nongold
58	a hot; warm something is a source of heat	nongold
59	material means substance	nongold
60	heat is a kind of energy	nongold
61	water is an thermal; thermal energy conductor	nongold
62	moisture means liquid; liquid water	nongold
63	the heat energy in the cooler object increases in thermal conduction	nongold
64	low is similar to decrease	nongold
65	water is a kind of water phase	nongold
66	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
67	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
68	evaporation is when water is drawn back up into the air in the water cycle	nongold
69	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
70	evaporation can be used for separating a mixture of a liquid and a solid	nongold
71	a liquid is a kind of fluid	nongold
72	substances are made of matter	nongold
73	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
74	affected means changed	nongold
75	gas is a kind of material	nongold
76	materials are made of matter	nongold
77	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
78	warm means medium heat energy; temperature	nongold
79	a source of something increases the amount of that something	nongold
80	condensing causes a liquid to form	nongold
81	if heat is absorbed from a source then that heat source will cool	nongold
82	transfer is a kind of change	nongold
83	when a cooler object touches a warmer object , thermal conduction occurs	nongold
84	to lower means to decrease	nongold
85	less is similar to decrease	nongold
86	different is the opposite of the same	nongold
87	cooling means temperature decreases	nongold
88	as the surface area of a body of water increases , evaporation of that body of water will increase	nongold
89	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
90	steam is a kind of gas	nongold
91	if something causes an increase in something else then that something produces that something else	nongold
92	to be formed by is similar to being produced by	nongold
93	In the water cycle , condensation always follows evaporation	nongold
94	formation of a state of matter is a kind of process	nongold
95	most chemical reactions release or absorb heat energy	nongold
96	if one surface; one substance; one object touches something then one is exposed to that something	nongold
97	a container contains objects; material; substances	nongold
98	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
99	ability to undergo a phase change is a property of a substance; material	nongold
