Question	Which of these is most likely the cause of a father and son having almost identical-sounding voices?	question
Answer	inherited characteristics	answer
0	sound of voice is an inherited characteristic	gold
1	identical means copy	gold
2	a father is a kind of male parent	gold
3	trait is synonymous with characteristic	nongold
4	identical is the opposite of different	nongold
5	an inherited characteristic is a kind of characteristic	nongold
6	characteristic means property	nongold
7	a son is a kind of male offspring	gold
8	inherited characteristics can change over several generations	nongold
9	same means identical; equal in value; amount; number; quantity	nongold
10	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
11	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
12	unique  is the opposite of diverse	nongold
13	a mother is a kind of female parent	nongold
14	identical twins have all of the same inherited characteristics	nongold
15	human voice is a kind of sound	nongold
16	trait means property	nongold
17	an animal is a kind of organism	nongold
18	an animal is a kind of living thing	nongold
19	an organism's environment affects that organism's acquired characteristics	nongold
20	feature is synonymous with characteristic	nongold
21	a part of something means a characteristic of something	nongold
22	different is the opposite of the same	nongold
23	a human is a kind of animal	nongold
24	senses are an inherited characteristic	nongold
25	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
26	children; young is synonymous with offspring	nongold
27	what an object is made of is a kind of characteristic	nongold
28	a baby is the offspring of a parent	nongold
29	a baby is the offspring of a parent	nongold
30	an adaptation is a kind of characteristic	nongold
31	the condition of parts of an organism are acquired characteristics	nongold
32	if two or more organisms have similar characteristics then those organisms might share a common ancestor	nongold
33	species is an inherited characteristic	nongold
34	an organism is a living thing	nongold
35	to be a source of something means to cause that something	nongold
36	a learned characteristic is a kind of acquired characteristic	nongold
37	reproductive behavior is an inherited characteristic	nongold
38	genes are able to determine the inherited characteristics of a living thing	nongold
39	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
40	hearing is used for sensing sound by animals	nongold
41	a cause of something is a reason for that something	nongold
42	parents are a part of a generation	nongold
43	phenotype of an organism means the visible traits of  an organism	nongold
44	a living thing is a kind of object	nongold
45	if an organism passes on its traits then future generations will have those traits	nongold
46	personality is an acquired characteristic	nongold
47	if something is copied then that something will be the same; similar; identical	nongold
48	causing is a kind of affecting	nongold
49	to reproduce means to have; to produce offspring	nongold
50	offspring are a part of a generation	nongold
51	a behavior is a kind of characteristic	nongold
52	sense is a kind of characteristic of an animal	nongold
53	inherited characteristics are a kind of hereditary information	nongold
54	talking is when a human produces sound to communicate	nongold
55	sound can be used for communication by animals	nongold
56	producing is similar to causing	nongold
57	often is similar to likely	nongold
58	a child is a kind of young human	nongold
59	a kind of something is an example of that something	nongold
60	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
61	opposite is a kind of different	nongold
62	intelligence is an acquired characteristic	nongold
63	preferences are generally learned characteristics	nongold
64	a person speaking is a source of sound	nongold
65	speaking is a kind of communication	nongold
66	to change means to become different	nongold
67	classifying is when one sorts something by kind; type	nongold
68	person is synonymous with human	nongold
69	hearing is a kind of sense	nongold
70	blood type is an inherited characteristic	nongold
71	if the offspring of two parents have both dominant and recessive trait , then the  parents have different alleles for that trait	nongold
72	a person is a kind of animal	nongold
73	musical instruments make sound when they are played	nongold
74	verbal accent is an acquired characteristic	nongold
75	an ear is a kind of body part	nongold
76	to cause means to have an effect	nongold
77	aspect of something is similar to part of something	nongold
78	to cause means to result in	nongold
79	parents produce offspring	nongold
80	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
81	reproduction produces; produce offspring	nongold
82	affected means changed	nongold
83	if something changes , then that something is not the same	nongold
84	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
85	a mother births offspring	nongold
86	a component means a part of	nongold
87	a type is synonymous with a kind	nongold
88	adaptation is when an organism develops a trait over time for survival	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	similarity means the same property	nongold
91	resemble means similar characteristics	nongold
92	a component of something means a part of that something	nongold
93	the colors of parts of an organism are inherited characteristics	nongold
94	to be characterized by  a property means to have that property	nongold
95	the color of; coloration of fur is an inherited characteristic	nongold
96	animals learn some behaviors from watching their parents	nongold
97	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
98	to give is similar to to cause	nongold
99	a structure of something is synonymous with a part of that something	nongold
