Question	When a car engine is started, gasoline is mixed with air and burned. Heat, sound, and chemical products are released. As the engine operates, which of these remains constant?	question
Answer	the total amount of energy	answer
0	when one kind of energy changes into another kind of energy , the total amount of energy is constant	gold
1	constant means not changing	nongold
2	gasoline is a source of chemical energy	gold
3	burning gasoline is a source of  heat energy	gold
4	gasoline is a kind of fuel	gold
5	chemical energy is a kind of energy	nongold
6	a internal combustion engine; car engine; automobile engine usually converts fuel into kinetic energy and heat energy through combustion	gold
7	sound is a kind of energy	gold
8	a car engine is a source of heat	nongold
9	a combustion engine requires fuel to operate	nongold
10	heat is a kind of energy	nongold
11	sound means sound energy	nongold
12	sound is a kind of sound energy	nongold
13	using a gasoline engine requires burning  gasoline	nongold
14	to remain means to not change	nongold
15	heat means heat energy	nongold
16	vehicles usually require gasoline to operate	nongold
17	constant is similar to same	nongold
18	combustion is a kind of chemical change	nongold
19	air is a kind of gas	nongold
20	fuel contains chemical energy	nongold
21	a car engine is a part of a car	nongold
22	an automobile engine converts chemical energy into mechanical energy and heat energy	nongold
23	air is a vehicle for sound	nongold
24	fire causes burning	nongold
25	gasoline is a kind of chemical power source	nongold
26	the air is a kind of substance	nongold
27	chemicals means substances	nongold
28	temperature is a measure of heat energy	nongold
29	most chemical reactions release or absorb heat energy	nongold
30	if something releases something else then that something is the source of that something else	nongold
31	different substances usually have different amount of chemical energy	nongold
32	the air is a kind of mixture	nongold
33	quantity means amount	nongold
34	an engine is a part of an automobile	nongold
35	consistent means constant	nongold
36	a car is a kind of vehicle	nongold
37	a source of something increases the amount of that something	nongold
38	gas is a kind of substance	nongold
39	to combust means to catch fire	nongold
40	a liquid is a kind of substance	nongold
41	to emit means to release	nongold
42	oil is a source of gasoline	nongold
43	if something emits something else then that something increases the amount of that something else	nongold
44	a fire requires  oxygen to burn	nongold
45	converting is similar to releasing	nongold
46	combustion means fire converts chemical energy into light energy and heat energy	nongold
47	producing is similar to releasing	nongold
48	to give off means to be the source of	nongold
49	combining; mixing two substances chemically causes chemical reactions	nongold
50	heating means adding heat	nongold
51	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
52	a mixture is a kind of substance	nongold
53	atmosphere means  air	nongold
54	a car is a kind of automobile	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	a flame are a part of a fire	nongold
57	to remain means to stay the same	nongold
58	chemical reactions can cause gas to be released into the atmosphere	nongold
59	food is a kind of chemical energy	nongold
60	fuel is a source of energy	nongold
61	all elements are a kind of pure substance	nongold
62	an automobile is a kind of vehicle	nongold
63	oxygen is a kind of gas at room temperature	nongold
64	fuel is a kind of energy source	nongold
65	fire gives off light; heat; smoke	nongold
66	the atmosphere contains gases; liquids; solids	nongold
67	vapor is synonymous with gas	nongold
68	to add means to increase	nongold
69	fossil fuel contains chemical energy	nongold
70	air is usually a thermal; thermal energy insulator	nongold
71	using gasoline is a source of carbon dioxide	nongold
72	if something releases something else then that something else decreases in that something	nongold
73	oil is a kind of substance; matter	nongold
74	to remain means to stay where it is	nongold
75	thermal energy is a kind of energy	nongold
76	combustibility means the ability of combustion	nongold
77	burning is a kind of action	nongold
78	electrical energy is a kind of energy	nongold
79	as the oxygen a fire is exposed to increases the longer that fire will burn	nongold
80	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
81	produce is similar to release	nongold
82	oil is a kind of liquid	nongold
83	oil is a kind of liquid	nongold
84	substances have chemical properties	nongold
85	fire is a kind of chemical reaction	nongold
86	an increase is a kind of change	nongold
87	a fuel is used to make energy	nongold
88	hydrogen contains chemical energy	nongold
89	a volatile substance gives off gas	nongold
90	variable means able to change	nongold
91	oil is  insoluble in water	nongold
92	carbon dioxide is a kind of gas	nongold
93	products are formed; are produced; are created	nongold
94	sound is produced when mechanical energy is transformed into sound energy	nongold
95	oil is a source of energy	nongold
96	objects contain chemical energy	nongold
97	material means substance	nongold
98	adding heat means increasing temperature	nongold
99	gas is a kind of material	nongold
