Question	When cold weather freezes water in the cracks of rocks, which would most likely happen?	question
Answer	The rocks would break into smaller pieces.	answer
0	when something breaks , a crack may form in that something	nongold
1	to break down means to break into smaller pieces	nongold
2	a crack is a kind of opening	nongold
3	ice wedging is when ice causes rocks to crack by expanding in openings	gold
4	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	gold
5	break down means change from a whole into pieces	nongold
6	cracking something may cause that something  to break apart	nongold
7	a piece of an object is smaller in size than the whole object	nongold
8	smaller means less; lower in size	nongold
9	cycles of freezing and thawing water cause ice wedging	gold
10	rock means stone	nongold
11	a piece is a part of a whole	nongold
12	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
13	to happen means to occur	nongold
14	larger means greater; higher; more; increase in size	nongold
15	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
16	cold is a kind of weather	nongold
17	cracking something usually has a negative impact on that something	nongold
18	frozen means solid	nongold
19	a rock is usually a solid	nongold
20	breaking down into pieces is a kind of change in shape	nongold
21	a piece of something is a kind of object	nongold
22	water is a kind of liquid at room temperature	gold
23	crumble means break down	nongold
24	breaking down is a kind of forming	nongold
25	larger; bigger is the opposite of smaller	nongold
26	when things erode , those things may become smaller	nongold
27	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
28	when water freezes , that water expands	nongold
29	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
30	ice is a kind of solid	nongold
31	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
32	an increase is a kind of change	nongold
33	water is a kind of substance	nongold
34	to lower means to decrease	gold
35	storm is a kind of weather; weather event	nongold
36	freezing causes a solid to form	nongold
37	to split means to break down	nongold
38	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
39	a rock is a kind of object	nongold
40	separate is similar to break down	nongold
41	greatest means largest; highest; most amount of something	nongold
42	decreasing is similar to becoming smaller	nongold
43	objects are made of materials; substances; matter	nongold
44	dissolving is similar to breaking down	nongold
45	an object is made of its parts	nongold
46	high is similar to increase	nongold
47	ice wedging is a kind of mechanical weathering	gold
48	heat means heat energy	nongold
49	as rocks are buried deeper below other rocks , the pressure; heat on that rock will increase	nongold
50	cutting means changing the object from a whole into smaller pieces	nongold
51	freezing is a kind of phase change	nongold
52	water is a kind of matter	nongold
53	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
54	something that happens is a kind of event	nongold
55	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
56	temperature is a property of weather	nongold
57	a body of water contains water	nongold
58	liquid is a kind of state of matter	nongold
59	water expanding when it freezes is a physical property of water	nongold
60	if something breaks , then that something cannot be used	nongold
61	thawing is similar to melting	nongold
62	snowstorm is a kind of weather	nongold
63	if something is strong then that something  does not break easily	nongold
64	cold means low in temperature	gold
65	a decrease is a kind of change	nongold
66	harming something has a  negative impact on; effect on that something	nongold
67	if something is made of something else then that something can be broken down into that something else	nongold
68	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
69	break down is the opposite of put together	nongold
70	solid is a kind of state of matter	nongold
71	colder; cooler means lower in temperature	nongold
72	to change means to cause a change	nongold
73	An example of a physical change is breaking an object	nongold
74	tearing means changing a whole into pieces	nongold
75	freezing means cold temperatures	nongold
76	to add means to increase	nongold
77	temperature is a measure of heat energy	gold
78	heat has a great impact on weather	nongold
79	ice is cold in temperature	nongold
80	two objects are usually different in size	nongold
81	an part of an object is smaller than the entire object	nongold
82	composed of means made of	nongold
83	cool means cold	nongold
84	a change is a kind of event	nongold
85	weathering; erosion usually occurs over a period of many years	nongold
86	rock is a kind of material	nongold
87	ice is a kind of object	nongold
88	to reduce means to decrease	gold
89	break apart means break down	nongold
90	ice is colder than water in temperature	nongold
91	materials are made of matter	nongold
92	precipitation is a kind of weather	nongold
93	increase means more	nongold
94	to create means to make	nongold
95	breaking apart rocks can cause debris	nongold
96	icy means made of ice	nongold
97	largest means greatest in size	nongold
98	substances are made of matter	nongold
99	something in a cold place becomes cold	nongold
