Question	Which sense can be used to determine an object's ability to reflect light?	question
Answer	sight	answer
0	sight means to see	gold
1	seeing is used for sensing visual things	nongold
2	a sense is a kind of ability	nongold
3	sight is a kind of sense	gold
4	determining often requires measuring; observing	gold
5	eyes can sense;detect light energy for seeing	gold
6	reflecting light; sound is the opposite of absorbing light; sound	nongold
7	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
8	seeing requires light	nongold
9	if an object reflects light toward the eye then that object can be seen	nongold
10	reflection is when light is reflected from one object; one place to  another object; another place	nongold
11	if an object reflects more light then that object is more easily seen	nongold
12	feeling is when an living thing senses through touch	nongold
13	to reflect light means to scatter light	nongold
14	sight means vision	nongold
15	identifying is similar to determining	nongold
16	light reflecting off of an object causes that object to be visible to the observer	nongold
17	determine is similar to cause	nongold
18	eyes are used for seeing by animals by sensing light	gold
19	sunlight is a kind of light	nongold
20	sense is a kind of characteristic of an animal	nongold
21	can means having the ability to	nongold
22	the senses are used for making observations	gold
23	the ability to do means be able to do	nongold
24	hearing is a kind of sense	nongold
25	can be means able to be	nongold
26	a living thing is a kind of object	nongold
27	ability is a kind of characteristic	nongold
28	shiny things; objects reflect light	nongold
29	the ability to reflect is a property of sound wave	nongold
30	a human is a kind of animal	nongold
31	visible light is a kind of  light	nongold
32	an animal is a kind of living thing	nongold
33	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
34	light means light energy	nongold
35	inability is the opposite of ability	nongold
36	senses are an inherited characteristic	nongold
37	an animal is a kind of organism	nongold
38	eyes are a part of a human for seeing	nongold
39	answering questions requires information	nongold
40	human eyes can only see light in the range of visible light	nongold
41	sense is used for obtaining information about one's environment	nongold
42	if something is outside during the day , then that something will reflect enough light to be seen	nongold
43	touch is a kind of sense	nongold
44	a white object reflects all visible light	nongold
45	determining is similar to learning	nongold
46	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
47	eyes are usually part of an animal for seeing	nongold
48	if something has the ability to do something else , then that something can do that something else	nongold
49	reflection is a property of light	nongold
50	a reflector is used to reflect light especially on vehicles	nongold
51	visible means able to be seen	nongold
52	observe means see	nongold
53	to see means to look	nongold
54	sensory organs are used for sensing	nongold
55	the ability to reflect off of a surface is a kind of characteristic	nongold
56	to bounce back means to reflect	nongold
57	determining is similar to controlling	nongold
58	able is the opposite of unable	nongold
59	objects are made of materials; substances; matter	nongold
60	an image in a mirror is formed by reflecting light	nongold
61	a sharp sense is an enhanced sense	nongold
62	according to is similar to be determined by	nongold
63	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	gold
64	if an object is white then that object reflects all visible light	nongold
65	reflection is when particles bounce off a surface	nongold
66	reflection is a kind of process	nongold
67	an organism is a living thing	nongold
68	high is similar to increase	nongold
69	locating means determining	nongold
70	if an organism can do something , then that organism is able to do that something	nongold
71	particles in objects are a kind of matter	nongold
72	smell is a kind of sense	nongold
73	an object; material; substance comes from that object or material's source	nongold
74	visible light is able to be seen without using equipment	nongold
75	human is a kind of organism	nongold
76	sensing a warning means receiving a warning	nongold
77	light is a kind of energy	nongold
78	light is a kind of energy	nongold
79	a blue object reflects only blue light	nongold
80	appear is similar to apparent	nongold
81	knowing the properties of something means knowing information about that something	nongold
82	light is a kind of electromagnetic radiation	nongold
83	if something is visible , then that something can be observed	nongold
84	if an object reflects a light of a certain color then the object appears to be that color	nongold
85	the function of something is what that something  is used to do	nongold
86	an part of an object is smaller than the entire object	nongold
87	something's function can be used to describe; identify that something	nongold
88	increase means more	nongold
89	finding something requires sensing that something	nongold
90	light is a kind of wave	gold
91	to be capable means can	nongold
92	material means substance	nongold
93	not looking means not seeing	nongold
94	a device is a kind of object	nongold
95	an event is a kind of action	nongold
96	a component of something means a part of that something	nongold
97	sensing food has a positive impact on finding food	nongold
98	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
99	to view means to see	nongold
