Question	One way that students can help conserve natural resources at school is by	question
Answer	recycling aluminum cans.	answer
0	recycling has a  positive impact on the environment	nongold
1	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	gold
2	recycling means reusing	nongold
3	to help; to benefit means to be of use	nongold
4	to be used  for something means to help to do that something	nongold
5	conservation is often conserving natural resources	nongold
6	helping something has a  positive impact on that something	gold
7	discarding aluminum cans wastes aluminum	nongold
8	to help means to aid	nongold
9	conserving resources has a positive impact on the environment	nongold
10	to conserve means to not change	nongold
11	recycling is similar to reusing	nongold
12	aluminum is recyclable	nongold
13	metal is a kind of natural resource	gold
14	recyclable means a material can be recycled	nongold
15	aluminum is a kind of metal	gold
16	a student is a kind of human	nongold
17	plastic is recyclable	nongold
18	to be helpful means to help to do	nongold
19	recycling means using over again	nongold
20	when available resources decrease in an environment , organisms have to conserve those resources	nongold
21	recycling is a kind of action	nongold
22	a garbage can is made of metal	nongold
23	trash is synonymous with waste	nongold
24	a can is a kind of container	nongold
25	requiring is similar to needing help	nongold
26	a soda can is made of aluminum	nongold
27	to enable is to help	nongold
28	a garbage can is a kind of container	nongold
29	nature means a natural environment	nongold
30	aluminum is a nonrenewable resource	gold
31	a material is a kind of resource	nongold
32	a container contains objects; material; substances	nongold
33	waste has a  negative impact on the environment	nongold
34	recycling is a kind of method of disposal	nongold
35	nature is the source of natural resources	nongold
36	plastic is a nonrenewable resource	nongold
37	replacing is similar to recycling	nongold
38	a human is a kind of animal	nongold
39	good means positive	nongold
40	recycling reduces; decreases the amount of waste sent to landfills	nongold
41	natural resources are found in nature	nongold
42	plastic is a kind of material made by humans	nongold
43	human waste often causes harm to an environment	nongold
44	a can is a kind of object	nongold
45	a natural resource is a kind of environmental factor	nongold
46	garbage means waste	nongold
47	using less of a resource means conserving that resource	nongold
48	helping means to assist in a change	nongold
49	if a human discards an object then that object will become waste	nongold
50	plastic is high in strength	nongold
51	if a resource is limited in supply then that resource should be recycled	nongold
52	a person is a kind of animal	nongold
53	a renewable resource is a kind of natural resource	nongold
54	person is synonymous with human	nongold
55	metal is a kind of material	nongold
56	a container is a kind of object	nongold
57	recycling reduces the resources needed to make something	nongold
58	helping means something can be done; completed more easily; better	nongold
59	an animal is a kind of living thing	nongold
60	negative impact is the opposite of positive impact	nongold
61	An example of conservation is avoiding waste	nongold
62	waste must be removed	nongold
63	help means advantage	nongold
64	aluminum is a kind of matter	nongold
65	water is a kind of natural resource	nongold
66	water is a kind of natural resource	nongold
67	an animal is a kind of organism	nongold
68	humans discarding waste in an environment causes harm to that environment	nongold
69	best means most positive	nongold
70	aluminum is a kind of element	nongold
71	to depend on; to rely on; to need means to require	nongold
72	to make something easier means to help	nongold
73	a living thing is a kind of object	nongold
74	beneficial means helpful	nongold
75	metal is a kind of substance	nongold
76	An example of recycling is using an object to make a new object	nongold
77	all living things eliminate waste	nongold
78	an event is a kind of action	nongold
79	protecting nature has a positive impact on the environment	nongold
80	harming something has a  negative impact on; effect on that something	nongold
81	better means good	nongold
82	an organism is a living thing	nongold
83	a plant is a kind of organism	nongold
84	plants are a kind of resource	nongold
85	a trashcan contains trash; garbage; waste	nongold
86	a positive impact is a helpful effect	nongold
87	material means substance	nongold
88	rocks sometimes contain aluminum	nongold
89	fertilizers have a negative impact on the environment; natural resources	nongold
90	if a living thing requires something then that something has a positive impact on that living thing	nongold
91	trees are a kind of natural resource	nongold
92	steel is a kind of metal	nongold
93	objects are made of materials; substances; matter	nongold
94	a positive impact is  a benefit	nongold
95	to be good for means to have a positive impact on	nongold
96	organisms are a part of an environment	nongold
97	a source of something emits; produces; generates; provides that something	nongold
98	if an object is made of a material then that object has the properties of that material	nongold
99	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
