Question	The burning of fossil fuels has increased the carbon dioxide content of the atmosphere. What is a possible effect that the increased amount of carbon dioxide is likely to have on our planet?	question
Answer	A warmer climate	answer
0	burning fossil fuels increases the carbon in the atmosphere	nongold
1	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	gold
2	a climate is synonymous with an environment	nongold
3	to change means to have an effect	gold
4	warmer means greater; higher in temperature; warmth	gold
5	colder; cooler means lower in temperature	nongold
6	fossil fuels release carbon dioxide into the atmosphere	nongold
7	planets have climate	nongold
8	fire causes burning	nongold
9	fossil fuels burning causes pollution	nongold
10	to cause means to have an effect	nongold
11	gases released during the use of fossil fuels causes global warming	nongold
12	increase means more	nongold
13	an increase is the opposite of a decrease	nongold
14	cooler means colder	nongold
15	global warming is when worldwide temperature increases	nongold
16	carbon dioxide is a kind of greenhouse gas	nongold
17	an increase is a kind of change	gold
18	a source of something increases the amount of that something	nongold
19	impact means effect	nongold
20	carbon dioxide is a kind of gas	nongold
21	Earth is a kind of planet	nongold
22	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
23	a decrease is a kind of change	nongold
24	if something emits something else then that something increases the amount of that something else	nongold
25	as the amount of a source of something decreases , the amount of that something will decrease	nongold
26	climate is the usual kind of weather in a location over a period of time	gold
27	burning is a kind of action	nongold
28	to combust means to catch fire	nongold
29	high is similar to increase	gold
30	to reduce means to decrease	nongold
31	sulfur dioxide is formed by the combustion of fossil fuels	nongold
32	to lower means to decrease	nongold
33	temperature is a property of weather	gold
34	atmosphere means  air	nongold
35	if something releases something else then that something else decreases in that something	nongold
36	worldwide temperature means atmospheric temperature	nongold
37	a fossil fuel is a kind of natural resource	nongold
38	oil is a kind of fossil fuel	nongold
39	a planet is a kind of location	nongold
40	a planet is a kind of place	nongold
41	change is a kind of impact	nongold
42	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
43	as the cause of something decreases , that something will decrease	nongold
44	the atmosphere contains gases; liquids; solids	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
47	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
48	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
49	a planet contains environments	nongold
50	if something releases something else then that something is the source of that something else	nongold
51	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
52	a fire requires  oxygen to burn	nongold
53	affected means changed	nongold
54	to add means to increase	nongold
55	greenhouse gases building up can cause global warming	nongold
56	petroleum is a kind of fossil fuel	nongold
57	less is similar to decrease	nongold
58	combustion is a kind of chemical change	nongold
59	greenhouse gases are a part of the atmosphere	nongold
60	fossil fuels are a kind of energy resource	nongold
61	warm up means increase temperature	nongold
62	fossil fuels are a nonrenewable resource	nongold
63	as the oxygen a fire is exposed to increases the longer that fire will burn	nongold
64	low is similar to decrease	nongold
65	an event is a kind of action	nongold
66	causing is a kind of affecting	nongold
67	an environment means an area	nongold
68	the atmosphere is a part of nature; the environment	nongold
69	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
70	atmospheric means of the atmosphere	nongold
71	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
72	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
73	as the use of alternative fuels increases , the use of gasoline will decrease	nongold
74	air temperature is a kind of temperature	nongold
75	weather is a property of a environment	nongold
76	burning gasoline; oil is a source of air pollution	nongold
77	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
78	temperature is a measure of heat energy	nongold
79	the atmosphere of a planet holds heat	nongold
80	warm-weather organisms live in warm climates	nongold
81	to impact means to affect	nongold
82	fossil fuel contains chemical energy	nongold
83	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
84	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
85	using the fuel requires burning the fuel	nongold
86	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
87	heat means temperature increases	nongold
88	if a planet does not have an atmosphere then that planet will not hold heat	nongold
89	global warming is a kind of environmental problem	nongold
90	burning a living thing usually causes harm to that living thing	nongold
91	more burning causes fire to be hotter	nongold
92	animals are a source of carbon dioxide by exhaling	nongold
93	absorbing something from the air decreases the  amount of  that something in the air	nongold
94	the effects of something is a property of that something	nongold
95	carbon dioxide concentrations in the air have increased over the last decade dramatically	nongold
96	reducing is a kind of change	nongold
97	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
98	more likely means increased likelihood	nongold
99	to give off means to be the source of	nongold
