Question	The Periodic Table of the Elements is arranged so that elements with similar characteristics are in the same column. Which element is a highly reactive metal?	question
Answer	helium	answer
0	the periodic table is arranged in rows and columns	nongold
1	helium is a kind of element	nongold
2	helium is a kind of gas	nongold
3	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
4	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
5	the chemical symbol for helium is He	nongold
6	helium has a low atomic number	nongold
7	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
8	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
9	the most reactive metals are located on the column at the far left side of the periodic table	nongold
10	arrangement means how something is arranged	nongold
11	elements in the same group on the Periodic Table of Elements have similar properties	nongold
12	the Periodic Table is a table displays elements	nongold
13	hydrogen is located on the left side; first column on the periodic table	nongold
14	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
15	the most reactive nonmetals are located on the second column from the right side of the periodic table	nongold
16	characteristic means property	nongold
17	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
18	a group; family in the periodic table means a column in the periodic table	nongold
19	an  element is a kind of atom	nongold
20	classifying means grouping objects; materials by their properties	nongold
21	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
22	a metal is a kind of element	nongold
23	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
24	if the elements have similar chemical reactivity , then the elements will react with other elements in a similar way	nongold
25	an element is made of one kind of atoms	nongold
26	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
27	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
28	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
29	metals are found on the left side of the periodic table of elements	nongold
30	noble gases are located on the rightmost side   of the periodic table	nongold
31	an element is a kind of  substance	nongold
32	an element is a kind of material	nongold
33	helium has lower; less density than air	nongold
34	the  arrangement of particles is different in different substances	nongold
35	a compound can be chemically separated into the elements that it is made of	nongold
36	hydrogen is a kind of element	nongold
37	hydrogen is a kind of gas at room temperature	nongold
38	metal is a kind of substance	nongold
39	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
40	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
41	substances are made of elements	nongold
42	the majority of the elements on the periodic table are metals	nongold
43	substances have chemical properties	nongold
44	chemical compounds contain chemical bonds between atoms; between elements	nongold
45	substances are made of matter	nongold
46	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
47	materials are made of matter	nongold
48	matter; materials; substances are made of atoms; particles	nongold
49	a compound is made of two or more elements that have been chemically combined	nongold
50	a part of something means a characteristic of something	nongold
51	an atom is made of protons; neutrons; electrons	nongold
52	a metal is usually a solid at room temperature	nongold
53	different materials usually have different properties	nongold
54	oxygen is a kind of gas at room temperature	nongold
55	a compound is a kind of material	nongold
56	compound is a kind of chemical	nongold
57	metal is a kind of material	nongold
58	iron is a kind of metal	nongold
59	non-reactive means unreactive	nongold
60	atom cannot be divided into smaller substances	nongold
61	elements in noble gases family are gases at room temperature	nongold
62	what an object is made of is a kind of characteristic	nongold
63	oxygen  is a kind of element	nongold
64	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
65	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
66	a table is a kind of object	nongold
67	iron is a kind of solid	nongold
68	different types of matter have different chemical properties	nongold
69	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
70	a chemical compound is a kind of compound	nongold
71	all elements are a kind of pure substance	nongold
72	chromium is a kind of metal	nongold
73	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
74	nonmetal means not metal	nongold
75	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
76	the nitrogen family is a kind of group in periodic table	nongold
77	gas is a kind of nonmetal	nongold
78	gas is a kind of state of matter	nongold
79	alkali metals are located on the left side; first column on the periodic table	nongold
80	a molecule is made of atoms chemically combined; bonded	nongold
81	a nonmetal is a kind of element	nongold
82	iron sulfide is made of iron and sulfur	nongold
83	aluminum is a kind of metal	nongold
84	organizing is sorting something by their properties in order	nongold
85	An example of a chemical property is how a material reacts chemically	nongold
86	An example of a chemical property is the elements a compound is made of	nongold
87	gas is a kind of material	nongold
88	a column is a kind of tube	nongold
89	chlorine is a kind of element	nongold
90	reactive is the opposite of unreactive	nongold
91	sodium is a kind of metal	nongold
92	iron is a kind of element	nongold
93	sodium is a kind of element	nongold
94	if two objects are similar , then the two objects share properties	nongold
95	tungsten is a kind of metal	nongold
96	alkaline earth metals are highly reactive	gold
97	nitrogen is a kind of gas	nongold
98	electron configuration is a property of elements	nongold
99	resemble means similar characteristics	nongold
