Question	Why do satellites and spacecraft launched from Earth need to reach a specific speed to escape Earth's surface?	question
Answer	to overcome Earth's gravitational force	answer
0	satellites; spacecraft launched from Earth need to reach a specific speed to escape Earth's surface to overcome earth's gravitational force	gold
1	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
2	a satellite orbits a planet	nongold
3	Earth is a kind of planet	nongold
4	gravity is a kind of force	nongold
5	to depend on; to rely on; to need means to require	nongold
6	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
7	launching is a kind of motion	nongold
8	a moon is a kind of satellite	nongold
9	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
10	a rocket is a kind of vehicle	nongold
11	a rocket is a kind of object	nongold
12	propulsion is used for flying by a spacecraft	nongold
13	to reach somewhere requires traveling	nongold
14	speed is a measure of how fast an object is moving	nongold
15	requiring something means needing that something	nongold
16	escaping air is used for propelling a spacecraft forward by that spacecraft's propulsion system	nongold
17	high speed means fast	nongold
18	a surface is a part of an object	nongold
19	speed up means increase	nongold
20	certain is similar to specific	nongold
21	orbit means orbital path	nongold
22	a satellite is a kind of instrument for observing Earth's surface	nongold
23	gravity causes orbits	nongold
24	a surface is a kind of object	nongold
25	propulsion is a kind of subsystem of a spacecraft	nongold
26	rate is similar to speed	nongold
27	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
28	orbiting is a kind of action	nongold
29	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
30	revolving  around something means orbiting that something	nongold
31	to be released is similar to escape	nongold
32	events occur at a specific place; at a specific time; with a specific frequency	nongold
33	Earth's surface is made of rock	nongold
34	speed is a property of an object and includes values of slow; fast	nongold
35	a planet is a kind of celestial object; body	nongold
36	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
37	an event is a kind of action	nongold
38	force causes the speed of an object to increase; to decrease	nongold
39	escape means avoid	nongold
40	a vehicle is a kind of object	nongold
41	if something causes a process then that something is required for that process	nongold
42	satellites are a kind of technological advancement	nongold
43	requiring is similar to needing help	nongold
44	fastest means greatest in  speed	nongold
45	the mass of a planet causes the pull of gravity on that planet	nongold
46	a motion is a kind of event; action	nongold
47	a space probe is a kind of spacecraft	nongold
48	faster means an increase; higher in speed	nongold
49	if an event is required for a process then that event must occur before that process can occur	nongold
50	the ground means Earth's surface	nongold
51	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
52	if something exists on a surface then that surface contains that something	nongold
53	a surface is a part of a material	nongold
54	as the speed of an object increases , the force that object exerts will increase	nongold
55	a rocket is a kind of mechanical system	nongold
56	extreme means very high in value	nongold
57	fast is the opposite of slow	nongold
58	a vehicle is used for travel	nongold
59	slowest means lowest in  speed	nongold
60	to be required means to be necessary	nongold
61	calculating speed requires knowing distance travelled	nongold
62	bodies of water are located on Earth's surface	nongold
63	planets have cleared their orbits	nongold
64	force requires energy	nongold
65	a process is a kind of event	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	a meteorite is formed by a meteoroid impacting the surface of a planet	nongold
68	helping something has a  positive impact on that something	nongold
69	Earth is made of rock	nongold
70	can be means able to be	nongold
71	gravitational fore is a kind of non-contact force	nongold
72	when something reaches something else , that something has usually completed its movement	nongold
73	a wall is a kind of surface	nongold
74	affected means changed	nongold
75	a moon is a kind of celestial object; body	nongold
76	if an object accelerates then that object will go faster	nongold
77	intense means extreme	nongold
78	rising is a kind of motion	nongold
79	a force is a kind of push or pull on an object	nongold
80	a velocity is a measure of a speed in a direction	nongold
81	to be used for something means to be required by that something	nongold
82	instantaneously means short in time	nongold
83	if something performs a task then that task is that something's function	nongold
84	the mass of an object causes the gravitational force exerted by that object	nongold
85	to make possible means to be required	nongold
86	a human is a kind of animal	nongold
87	weathering occurs at the surface of the Earth	nongold
88	as an object is moving down , the speed of the object  will increase	nongold
89	something is used for that something's purpose	nongold
90	the moon orbits the Earth	nongold
91	how long something takes is a kind of measurement of time	nongold
92	if something is required for a process then keeping that something from reaching that process can stop that process	nongold
93	a measure of time is a length of time	nongold
94	planets orbit stars	nongold
95	Earth is a planet that is closer to the  Sun than Jupiter	nongold
96	a vehicle for something allows; enables that something to occur	nongold
97	must have means require	nongold
98	landform means surface feature; physical feature; land feature	nongold
99	a space probe is a kind of unpiloted robotic vehicle that can orbit or land on other planets	nongold
